event,horizon_eval,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
ESTABLISHED_MLB,7,7,22546,677,0.030027,0.960536,0.437437,14.567871,0.021215,0.027458,0.914440,0.272266,0.000000,0.500000,121,73,21796,556,0.623711,0.178730,0.277842,0.972101,194
STAR_PLUS_ELITE,7,7,22546,138,0.006121,0.963120,0.174204,28.460814,0.005467,0.004832,0.789407,0.125128,0.000000,0.500000,0,0,22408,138,,0.000000,,0.993879,0
TOP_100_PROSPECT,8,8,20404,231,0.011321,0.979832,0.493392,43.580830,0.007587,0.011988,1.058916,0.175855,0.000000,0.500000,78,44,20129,153,0.639344,0.337662,0.441926,0.990345,122
MLB_DEBUT,8,8,20636,1774,0.085966,0.950053,0.665049,7.736164,0.044434,0.085001,0.988773,0.437018,0.000000,0.500000,832,388,18474,942,0.681967,0.468997,0.555778,0.935550,1220
ESTABLISHED_MLB,8,8,20636,712,0.034503,0.957463,0.445326,12.906950,0.024089,0.031787,0.921275,0.289234,0.000000,0.500000,136,90,19834,576,0.601770,0.191011,0.289979,0.967726,226
STAR_PLUS_ELITE,8,8,20636,152,0.007366,0.960918,0.190524,25.866204,0.006507,0.005911,0.802456,0.136527,0.000000,0.500000,0,0,20484,152,,0.000000,,0.992634,0
TOP_100_PROSPECT,9,9,18486,218,0.011793,0.978622,0.487414,41.331791,0.007950,0.012636,1.071528,0.178984,0.000000,0.500000,73,43,18225,145,0.629310,0.334862,0.437126,0.989830,116
MLB_DEBUT,9,9,18701,1663,0.088926,0.948343,0.659661,7.418117,0.046157,0.088895,0.999651,0.442070,0.000000,0.500000,786,374,16664,877,0.677586,0.472640,0.556854,0.933105,1160
ESTABLISHED_MLB,9,9,18701,714,0.038180,0.955274,0.446009,11.681821,0.026447,0.035581,0.931931,0.302223,0.000000,0.500000,141,99,17888,573,0.587500,0.197479,0.295597,0.964066,240
STAR_PLUS_ELITE,9,9,18701,164,0.008770,0.958668,0.192134,21.909086,0.007724,0.006885,0.785137,0.148138,0.000000,0.500000,0,0,18537,164,,0.000000,,0.991230,0
TOP_100_PROSPECT,10,10,16493,206,0.012490,0.977055,0.486605,38.959121,0.008446,0.013380,1.071225,0.183533,0.000000,0.500000,67,41,16246,139,0.620370,0.325243,0.426752,0.989086,108
MLB_DEBUT,10,10,16686,1544,0.092533,0.945411,0.653768,7.065272,0.048383,0.092911,1.004094,0.447110,0.000000,0.500000,728,352,14790,816,0.674074,0.471503,0.554878,0.930001,1080
ESTABLISHED_MLB,10,10,16686,697,0.041772,0.953201,0.459289,10.995272,0.028531,0.037837,0.905815,0.314092,0.000000,0.500000,139,90,15899,558,0.606987,0.199426,0.300216,0.961165,229
STAR_PLUS_ELITE,10,10,16686,170,0.010188,0.956380,0.200383,19.668194,0.008940,0.007370,0.723353,0.158760,0.000000,0.500000,0,0,16516,170,,0.000000,,0.989812,0
