event,snap_offset,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
ESTABLISHED_MLB,9,6,1400,0,0.000000,,,,0.000003,0.000482,,,,0.500000,0,0,1400,0,,,,1.000000,0
ESTABLISHED_MLB,10,6,1231,0,0.000000,,,,0.000001,0.000345,,,,0.500000,0,0,1231,0,,,,1.000000,0
STAR_PLUS_ELITE,0,6,3357,28,0.008341,0.923583,0.094653,11.348218,0.007953,0.006876,0.824424,0.133448,0.000000,0.500000,0,0,3329,28,,0.000000,,0.991659,0
STAR_PLUS_ELITE,1,6,3156,33,0.010456,0.931350,0.209895,20.073642,0.009289,0.007643,0.730911,0.151994,0.000000,0.500000,0,0,3123,33,,0.000000,,0.989544,0
STAR_PLUS_ELITE,2,6,2925,34,0.011624,0.952408,0.203259,17.486268,0.010386,0.006984,0.600791,0.167980,0.000000,0.500000,0,0,2891,34,,0.000000,,0.988376,0
STAR_PLUS_ELITE,3,6,2646,14,0.005291,0.963906,0.294735,55.704880,0.004612,0.004637,0.876311,0.116584,0.000000,0.500000,0,0,2632,14,,0.000000,,0.994709,0
STAR_PLUS_ELITE,4,6,2379,7,0.002942,0.970128,0.172876,58.753191,0.002691,0.002679,0.910341,0.088210,0.000016,0.500000,0,0,2372,7,,0.000000,,0.997058,0
STAR_PLUS_ELITE,5,6,2131,0,0.000000,,,,0.000016,0.001008,,,,0.500000,0,0,2131,0,,,,1.000000,0
STAR_PLUS_ELITE,6,6,1933,0,0.000000,,,,0.000003,0.000457,,,,0.500000,0,0,1933,0,,,,1.000000,0
STAR_PLUS_ELITE,7,6,1741,1,0.000574,0.959770,0.014085,24.521127,0.000574,0.000217,0.377005,0.038160,0.111459,0.500000,0,0,1740,1,,0.000000,,0.999426,0
STAR_PLUS_ELITE,8,6,1562,1,0.000640,0.998078,0.250000,390.500000,0.000637,0.000156,0.243702,0.043642,0.084657,0.500000,0,0,1561,1,,0.000000,,0.999360,0
STAR_PLUS_ELITE,9,6,1400,0,0.000000,,,,0.000000,0.000098,,,,0.500000,0,0,1400,0,,,,1.000000,0
STAR_PLUS_ELITE,10,6,1231,0,0.000000,,,,0.000000,0.000081,,,,0.500000,0,0,1231,0,,,,1.000000,0
