event,snap_offset,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
ESTABLISHED_MLB,7,6,1899,1,0.000527,0.976291,0.021739,41.282609,0.000586,0.001121,2.129378,0.037852,0.099150,0.600000,0,0,1898,1,,0.000000,,0.999473,0
ESTABLISHED_MLB,8,6,1710,1,0.000585,0.991223,0.062500,106.875000,0.000597,0.000683,1.168602,0.041138,0.089013,0.600000,0,0,1709,1,,0.000000,,0.999415,0
ESTABLISHED_MLB,9,6,1535,0,0.000000,,,,0.000009,0.000376,,,,0.600000,0,0,1535,0,,,,1.000000,0
ESTABLISHED_MLB,10,6,1350,0,0.000000,,,,0.000009,0.000312,,,,0.600000,0,0,1350,0,,,,1.000000,0
STAR_PLUS_ELITE,0,6,3524,23,0.006527,0.930144,0.060696,9.299623,0.006481,0.004668,0.715263,0.119986,0.000000,0.600000,0,0,3501,23,,0.000000,,0.993473,0
STAR_PLUS_ELITE,1,6,3297,19,0.005763,0.943724,0.195932,33.999418,0.005209,0.004796,0.832169,0.116350,0.000000,0.600000,0,0,3278,19,,0.000000,,0.994237,0
STAR_PLUS_ELITE,2,6,3062,18,0.005879,0.956855,0.277133,47.143473,0.005186,0.005047,0.858521,0.120982,0.000000,0.600000,0,0,3044,18,,0.000000,,0.994121,0
STAR_PLUS_ELITE,3,6,2796,8,0.002861,0.971978,0.333318,116.494804,0.002563,0.003368,1.177037,0.087331,0.000004,0.600000,0,0,2788,8,,0.000000,,0.997139,0
STAR_PLUS_ELITE,4,6,2541,4,0.001574,0.984233,0.303571,192.843750,0.001442,0.002046,1.299986,0.066501,0.000796,0.600000,0,0,2537,4,,0.000000,,0.998426,0
STAR_PLUS_ELITE,5,6,2304,0,0.000000,,,,0.000025,0.000899,,,,0.600000,0,0,2304,0,,,,1.000000,0
STAR_PLUS_ELITE,6,6,2104,0,0.000000,,,,0.000006,0.000432,,,,0.600000,0,0,2104,0,,,,1.000000,0
STAR_PLUS_ELITE,7,6,1899,1,0.000527,0.983667,0.031250,59.343750,0.000526,0.000214,0.407049,0.038438,0.094023,0.600000,0,0,1898,1,,0.000000,,0.999473,0
STAR_PLUS_ELITE,8,6,1710,1,0.000585,0.985957,0.040000,68.400000,0.000584,0.000144,0.245886,0.040697,0.092496,0.600000,0,0,1709,1,,0.000000,,0.999415,0
STAR_PLUS_ELITE,9,6,1535,0,0.000000,,,,0.000000,0.000108,,,,0.600000,0,0,1535,0,,,,1.000000,0
STAR_PLUS_ELITE,10,6,1350,0,0.000000,,,,0.000000,0.000097,,,,0.600000,0,0,1350,0,,,,1.000000,0
