event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,v3,0.01053519270999332,-0.00010528376522024303,0.020587123914479113
MLB_DEBUT,3,mix_v3,0.015611109046103305,0.00941813109109705,0.02109733010330375
MLB_DEBUT,6,v3,0.004058345898930477,-0.00517059955736317,0.01330704413977862
MLB_DEBUT,6,mix_v3,0.010225915046492595,0.005734912582300275,0.015183309820886691
TOP_100_PROSPECT,3,v3,-0.008730301813156809,-0.038990821550353764,0.028727102967378775
TOP_100_PROSPECT,3,mix_v3,0.010598857627672759,-0.005576047398542637,0.028419819702245438
TOP_100_PROSPECT,6,v3,-0.011860832061843761,-0.041155356642474425,0.013898724389650912
TOP_100_PROSPECT,6,mix_v3,0.008153459694188842,-0.007490414740153347,0.02135672275298195
ESTABLISHED_MLB,3,v3,0.00240431194935104,-0.029713665079001975,0.030281390898360006
ESTABLISHED_MLB,3,mix_v3,0.014337771264736916,0.0006058079771815206,0.026520466344136448
ESTABLISHED_MLB,3,v3cond,0.01857830638564941,-0.011971220863935601,0.05326651161224086
ESTABLISHED_MLB,3,mix_cond,0.023074186650883698,0.007562176818369032,0.03935559625809307
ESTABLISHED_MLB,6,v3,0.01029265378408043,-0.005901640266202399,0.02466582520618111
ESTABLISHED_MLB,6,mix_v3,0.012670265413264525,0.003985809455414287,0.021898730330144972
ESTABLISHED_MLB,6,v3cond,0.02243412421868529,0.00444176408641649,0.04030188972364938
ESTABLISHED_MLB,6,mix_cond,0.018867843700158843,0.00963232600021767,0.028642476172465924
STAR_PLUS_ELITE,3,v3,-0.01747819331678143,-0.0751387127795436,0.01838781101785761
STAR_PLUS_ELITE,3,mix_v3,-0.001414509755544418,-0.03109071290111382,0.02472338117780423
STAR_PLUS_ELITE,3,v3cond,0.004565700351235855,-0.05790134531483755,0.06404561404988282
STAR_PLUS_ELITE,3,mix_cond,0.015026618187163528,-0.020096817600029657,0.06252666757885396
STAR_PLUS_ELITE,6,v3,0.001426695636528076,-0.02109797984961373,0.02491672825970374
STAR_PLUS_ELITE,6,mix_v3,0.008323458414762359,-0.004981722403434466,0.023416160765196616
STAR_PLUS_ELITE,6,v3cond,0.008463221645168516,-0.01683148631717002,0.037501871037335724
STAR_PLUS_ELITE,6,mix_cond,0.011024952370364827,-0.0034094260503710247,0.03545322201458817
