event,h,arm,ap,calib,d_vs_blend,lo,hi
TOP_100_PROSPECT,3,control,0.4550399249131201,0.9702307953935627,-0.005439561512475795,-0.021121494940723413,0.011653489477941162
TOP_100_PROSPECT,3,nhaz,0.37092343463604743,0.7527528150261739,-0.08844875673206437,-0.1315658479462291,-0.04890125049570071
TOP_100_PROSPECT,3,spec_blend,0.46069111406186847,0.9387146059371438,0.0,0.0,0.0
TOP_100_PROSPECT,3,spec_blend+nhaz,0.45721833654597577,0.8767273423001539,-0.0028087635924716773,-0.01537988663495534,0.00982345791480898
TOP_100_PROSPECT,6,control,0.43028776672720964,0.9862659532472999,-0.009006729278834611,-0.02385786297445871,0.006421322295593098
TOP_100_PROSPECT,6,nhaz,0.3608188930070463,0.7141246043118509,-0.07838125083082154,-0.12098677370704604,-0.04022090992544625
TOP_100_PROSPECT,6,spec_blend,0.4391565474394007,0.9893668620298166,0.0,0.0,0.0
TOP_100_PROSPECT,6,spec_blend+nhaz,0.43760679429970584,0.8976194427904948,-0.0018466623992390637,-0.01352102652737167,0.00851016514451345
MLB_DEBUT,3,control,0.5310208825556558,0.889263960379514,-0.011304267127681025,-0.017066919423785153,-0.00551089165405727
MLB_DEBUT,3,nhaz,0.5333355755687392,0.7343106675584934,-0.008854994830081172,-0.021729337935948317,0.0013525321859424056
MLB_DEBUT,3,spec_blend,0.5423817200242101,0.9214367196779515,0.0,0.0,0.0
MLB_DEBUT,3,spec_blend+nhaz,0.548989010711293,0.8590613689714653,0.006692778262190611,0.0024959125659679503,0.01033352741184167
MLB_DEBUT,6,control,0.5671287577366119,0.9171852759560398,-0.006785540907119729,-0.011648790773065545,-0.001908918685238666
MLB_DEBUT,6,nhaz,0.5644056493403716,0.7810133300550351,-0.009341609752384518,-0.019641021715304872,-0.00017004633286246034
MLB_DEBUT,6,spec_blend,0.5737688591478931,0.92526980595816,0.0,0.0,0.0
MLB_DEBUT,6,spec_blend+nhaz,0.57760650438906,0.8771843139904518,0.0038193804237559997,0.00017673276025032827,0.007668374921385924
ESTABLISHED_MLB,3,control,0.24838576097671292,0.6185125472073258,-0.028048813949888157,-0.051972452366031346,-0.008967875523227795
ESTABLISHED_MLB,3,nhaz,0.25133115446747617,0.6730780973628958,-0.026956605849540113,-0.06978315922912416,0.012056062141125614
ESTABLISHED_MLB,3,spec_blend,0.2771384991587694,0.7712147835653073,0.0,0.0,0.0
ESTABLISHED_MLB,3,spec_blend+nhaz,0.2817156624462425,0.751587446324825,0.004303764932400003,-0.0036117029726233066,0.011408298749994323
ESTABLISHED_MLB,6,control,0.32507182789451816,0.736610845486163,-0.023343081098534727,-0.03696737411133948,-0.007502988041826563
ESTABLISHED_MLB,6,nhaz,0.3155896737700349,0.7942208710357843,-0.03302015803822382,-0.05690539945255187,-0.009162020836020359
ESTABLISHED_MLB,6,spec_blend,0.3481359231803594,0.8113385904692634,0.0,0.0,0.0
ESTABLISHED_MLB,6,spec_blend+nhaz,0.34910749762728105,0.8079150465825676,0.0009681815065980657,-0.003737127170847135,0.00531342742924574
STAR_PLUS_ELITE,3,control,0.05987537158504156,0.4707565494107395,-0.06526990133565133,-0.15658665135316108,-0.0027027800514109936
STAR_PLUS_ELITE,3,nhaz,0.052288387043905926,0.9843002419454897,-0.07733341835262539,-0.2270220393273981,0.008527299778980958
STAR_PLUS_ELITE,3,spec_blend,0.120719997019582,0.6537260940747412,0.0,0.0,0.0
STAR_PLUS_ELITE,3,spec_blend+nhaz,0.10187834746615212,0.7639174766983242,-0.01696909011651079,-0.05535840474974804,0.00645264603289511
STAR_PLUS_ELITE,6,control,0.13505504813261549,0.7663588683014106,-0.05693253309498933,-0.09955665028304658,-0.0199144969806098
STAR_PLUS_ELITE,6,nhaz,0.15294621702429295,1.0289903304286296,-0.038749085167898975,-0.10033222278804614,0.015359477300304009
STAR_PLUS_ELITE,6,spec_blend,0.19062570158822056,0.877652627674365,0.0,0.0,0.0
STAR_PLUS_ELITE,6,spec_blend+nhaz,0.1972015874918672,0.9280985285924535,0.007753009072115109,-0.009324844524146239,0.023919865562592086
