event,horizon_eval,horizon,n,pos,base_rate,auc,ap,ap_lift,brier,mean_pred,calib_ratio,spearman_rho,spearman_p,threshold,tp,fp,tn,fn,precision,recall,f1,accuracy,predicted_positives
ESTABLISHED_MLB,7,7,22368,581,0.025975,0.960638,0.416609,16.039100,0.018848,0.024471,0.942114,0.253811,0.000000,0.600000,51,20,21767,530,0.718310,0.087780,0.156442,0.975411,71
STAR_PLUS_ELITE,7,7,22368,138,0.006170,0.967571,0.200026,32.421635,0.005431,0.004945,0.801507,0.126830,0.000000,0.600000,1,0,22230,137,1.000000,0.007246,0.014388,0.993875,1
TOP_100_PROSPECT,8,8,20318,217,0.010680,0.980895,0.518659,48.562754,0.007017,0.011086,1.037965,0.171237,0.000000,0.600000,55,18,20083,162,0.753425,0.253456,0.379310,0.991141,73
MLB_DEBUT,8,8,20463,1793,0.087622,0.946524,0.670440,7.651545,0.045441,0.086245,0.984294,0.437349,0.000000,0.600000,636,201,18469,1157,0.759857,0.354713,0.483650,0.933636,837
ESTABLISHED_MLB,8,8,20463,619,0.030250,0.957608,0.423839,14.011321,0.021747,0.028427,0.939755,0.271503,0.000000,0.600000,54,31,19813,565,0.635294,0.087237,0.153409,0.970874,85
STAR_PLUS_ELITE,8,8,20463,152,0.007428,0.965138,0.207633,27.952652,0.006485,0.005978,0.804830,0.138354,0.000000,0.600000,2,0,20311,150,1.000000,0.013158,0.025974,0.992670,2
TOP_100_PROSPECT,9,9,18407,203,0.011028,0.979473,0.512907,46.507775,0.007322,0.011614,1.053083,0.173462,0.000000,0.600000,52,17,18187,151,0.753623,0.256158,0.382353,0.990873,69
MLB_DEBUT,9,9,18535,1683,0.090801,0.944487,0.665294,7.326932,0.047232,0.090090,0.992172,0.442410,0.000000,0.600000,599,198,16654,1084,0.751568,0.355912,0.483065,0.930834,797
ESTABLISHED_MLB,9,9,18535,624,0.033666,0.954807,0.426563,12.670438,0.024089,0.032029,0.951389,0.284170,0.000000,0.600000,65,38,17873,559,0.631068,0.104167,0.178817,0.967791,103
STAR_PLUS_ELITE,9,9,18535,164,0.008848,0.962701,0.221811,25.068720,0.007672,0.007048,0.796605,0.150102,0.000000,0.600000,2,0,18371,162,1.000000,0.012195,0.024096,0.991260,2
TOP_100_PROSPECT,10,10,16424,190,0.011568,0.978493,0.512954,44.340825,0.007713,0.012392,1.071172,0.177246,0.000000,0.600000,50,17,16217,140,0.746269,0.263158,0.389105,0.990441,67
MLB_DEBUT,10,10,16530,1564,0.094616,0.941315,0.661786,6.994450,0.049509,0.094138,0.994945,0.447442,0.000000,0.600000,552,185,14781,1012,0.748982,0.352941,0.479791,0.927586,737
ESTABLISHED_MLB,10,10,16530,613,0.037084,0.952598,0.434712,11.722329,0.026221,0.034409,0.927854,0.296273,0.000000,0.600000,64,39,15878,549,0.621359,0.104405,0.178771,0.964428,103
STAR_PLUS_ELITE,10,10,16530,170,0.010284,0.961177,0.228571,22.225182,0.008893,0.007729,0.751565,0.161176,0.000000,0.600000,2,0,16360,168,1.000000,0.011765,0.023256,0.989837,2
