event,horizon,n_scouted,pos_scouted,base_rate_scouted,model_ap,fv_ap,ap_ratio_model_over_fv,model_auc,fv_auc,model_spearman,fv_spearman,model_ap_full_pop
TOP_100_PROSPECT,6,166,20,0.120482,0.798165,0.406926,1.961447,0.941438,0.841096,0.497797,0.472646,0.522778
MLB_DEBUT,6,212,117,0.551887,0.997035,0.749638,1.330023,0.995771,0.734773,0.854075,0.452630,0.666657
ESTABLISHED_MLB,6,212,15,0.070755,0.635795,0.113333,5.609954,0.964805,0.654315,0.412866,0.153401,0.409065
STAR_PLUS_ELITE,6,212,1,0.004717,1.000000,0.027778,36.000000,1.000000,0.888626,0.118678,0.103232,0.191244
