event,h,arm,n,pos,ap,auc,calib
ESTABLISHED_MLB,3,deployed_4x,42119,291,0.24799555656590586,0.9675543717406615,0.6569979889419167
ESTABLISHED_MLB,3,joint_small,42119,291,0.1831636017025051,0.9596606886588737,0.845215296484786
ESTABLISHED_MLB,3,joint_small_xcal,42119,291,0.1823697975884597,0.9557125531591163,1.0087039827012114
ESTABLISHED_MLB,3,mcw100,42119,291,0.189696404521809,0.959082022039529,0.894097156720268
ESTABLISHED_MLB,3,mcw100_xcal,42119,291,0.19019018822244954,0.9543819115888433,1.0099225549917914
ESTABLISHED_MLB,3,mcw20,42119,291,0.19727375696299637,0.9589864744739297,0.9017461651481714
ESTABLISHED_MLB,3,mcw20_xcal,42119,291,0.19773098874259837,0.9544153491289973,1.0041022027758935
ESTABLISHED_MLB,3,mcw5,42119,291,0.2173385681140361,0.9606691960892373,0.9145408382933727
ESTABLISHED_MLB,3,mcw5_xcal,42119,291,0.21627047188909423,0.955034313324375,1.0034564943125799
ESTABLISHED_MLB,3,mcw1,42119,291,0.2168269008359365,0.9581467978667013,0.8398611658233573
ESTABLISHED_MLB,3,mcw1_xcal,42119,291,0.21511783684405641,0.9530232958602846,1.0042735528647029
ESTABLISHED_MLB,3,spw10,42119,291,0.11931696634408918,0.948739675851392,1.488484180289164
ESTABLISHED_MLB,3,spw10_xcal,42119,291,0.13381223506327974,0.9468135667355791,1.0018574644787626
ESTABLISHED_MLB,3,cond,42119,291,0.2106624628992604,0.9621579471092055,0.9054443631289187
ESTABLISHED_MLB,3,cond_xcal,42119,291,0.20787096462071072,0.9597090786125607,1.006249177772707
ESTABLISHED_MLB,3,rank,42119,291,0.1389616058577632,0.9417949370141904,2.980630561417128
ESTABLISHED_MLB,3,rank_xcal,42119,291,0.14222566704524778,0.9388165312569525,1.0049060178511056
ESTABLISHED_MLB,6,deployed_4x,35279,956,0.3226204076550771,0.9355539827947565,0.7555611883227656
ESTABLISHED_MLB,6,joint_small,35279,956,0.26216499114288927,0.9249557672453801,0.7960618040154233
ESTABLISHED_MLB,6,joint_small_xcal,35279,956,0.26782860474536724,0.9245805629195545,1.0019441588970497
ESTABLISHED_MLB,6,mcw100,35279,956,0.27073547778922075,0.9259293053671636,0.8159005822239748
ESTABLISHED_MLB,6,mcw100_xcal,35279,956,0.27782038176766505,0.9253607617859233,1.0004860028031957
ESTABLISHED_MLB,6,mcw20,35279,956,0.2736750255260846,0.9239733606300079,0.7955231147186994
ESTABLISHED_MLB,6,mcw20_xcal,35279,956,0.27815408863608854,0.923162792506385,1.002516133724753
ESTABLISHED_MLB,6,mcw5,35279,956,0.2810762572131981,0.9246973618943932,0.7775573420794252
ESTABLISHED_MLB,6,mcw5_xcal,35279,956,0.2860633014664238,0.9241286659335378,1.0024435655704753
ESTABLISHED_MLB,6,mcw1,35279,956,0.27527904138908993,0.9223107466515799,0.7261442362163294
ESTABLISHED_MLB,6,mcw1_xcal,35279,956,0.28015262709810956,0.9221373081738742,1.0017190642221703
ESTABLISHED_MLB,6,spw10,35279,956,0.2349023983783686,0.9177619408628125,1.3588338185366726
ESTABLISHED_MLB,6,spw10_xcal,35279,956,0.2490640953031979,0.9199795975885987,1.0047065250285216
ESTABLISHED_MLB,6,cond,35279,956,0.2887828819950901,0.9286919934996074,0.8219127039577048
ESTABLISHED_MLB,6,cond_xcal,35279,956,0.29029357466196054,0.9279577980389841,1.0020671124529823
ESTABLISHED_MLB,6,rank,35279,956,0.24282642541688743,0.9125830758422601,1.5902585658246076
ESTABLISHED_MLB,6,rank_xcal,35279,956,0.24723010631675835,0.9148043439649202,1.0028678668016136
STAR_PLUS_ELITE,3,deployed_4x,42119,44,0.05418363962106615,0.9626357154432021,0.5623308071836537
STAR_PLUS_ELITE,3,joint_small,42119,44,0.03563434728669836,0.953285799168152,0.7477181259600911
STAR_PLUS_ELITE,3,joint_small_xcal,42119,44,0.02642530201275441,0.9519642953600173,0.9698720321728886
STAR_PLUS_ELITE,3,mcw100,42119,44,0.037106193757091364,0.956490304110625,0.8884065863239812
STAR_PLUS_ELITE,3,mcw100_xcal,42119,44,0.03181627158090917,0.9544468751688003,0.9670972606376519
STAR_PLUS_ELITE,3,mcw20,42119,44,0.04828740204360229,0.9486930805380003,1.038991794368485
