event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,v3,0.003934262519881958,-0.0070174973630178685,0.015459748350979022
MLB_DEBUT,3,mix_v3,0.012978153377798627,0.0069034728052032954,0.019251574356957395
MLB_DEBUT,6,v3,0.004081530972939385,-0.006149929153660788,0.012499552741632575
MLB_DEBUT,6,mix_v3,0.010522553239554684,0.005297473029200325,0.015001062652400574
TOP_100_PROSPECT,3,v3,-0.015107887013620824,-0.0478205703738519,0.017868474823977236
TOP_100_PROSPECT,3,mix_v3,0.009984169164465673,-0.007121225633395327,0.02682136865763698
TOP_100_PROSPECT,6,v3,-0.01575570319933541,-0.04880574424934824,0.011423326340358819
TOP_100_PROSPECT,6,mix_v3,0.007746510516247251,-0.00731649941231801,0.02130476765554501
ESTABLISHED_MLB,3,v3,0.008806743597502952,-0.024708560572890562,0.03612670231703909
ESTABLISHED_MLB,3,mix_v3,0.016929408329310718,0.0020952895927607825,0.03176143472440901
ESTABLISHED_MLB,3,v3cond,0.006791403614054954,-0.0261430454730458,0.038499321787629576
ESTABLISHED_MLB,3,mix_cond,0.01718830561059479,-6.596792376335132e-05,0.0336901669609395
ESTABLISHED_MLB,6,v3,0.01731189655489972,-0.00471798537219368,0.035530454520751605
ESTABLISHED_MLB,6,mix_v3,0.01778564247606301,0.006301466254926837,0.028221187687233102
ESTABLISHED_MLB,6,v3cond,0.024250080051835696,0.003628253598822119,0.04403553207919856
ESTABLISHED_MLB,6,mix_cond,0.019836721583140534,0.008532803456451427,0.030498087973225604
STAR_PLUS_ELITE,3,v3,-0.014712644407738102,-0.06768203500001813,0.01621582928843184
STAR_PLUS_ELITE,3,mix_v3,0.007184418782974059,-0.015267782903433813,0.039962202800464156
STAR_PLUS_ELITE,3,v3cond,0.022056549969819247,-0.032220843093369415,0.08579375103473809
STAR_PLUS_ELITE,3,mix_cond,0.020934820892191994,-0.019792988077848347,0.06664479229925625
STAR_PLUS_ELITE,6,v3,0.005470387728806294,-0.018992017810283774,0.03129496047854609
STAR_PLUS_ELITE,6,mix_v3,0.010368753552870258,-0.00225048199202021,0.026821651859286193
STAR_PLUS_ELITE,6,v3cond,0.011450431755219178,-0.014739728770060804,0.04732848106700697
STAR_PLUS_ELITE,6,mix_cond,0.013434240853438069,-0.0026573840645598614,0.03631582965897417
