event,yip,slab,slab_lo,slab_hi,n,tp,rate,base_rate,lift,score_lo,score_hi,score_mean
MLB_DEBUT,4,1.5-2.0%,1.5,2,18,9,0.5,0.051375,9.73235,0.618301,0.680297,0.641168
MLB_DEBUT,4,2-3%,2,3,34,15,0.441176,0.051375,8.58737,0.514326,0.618301,0.561937
MLB_DEBUT,4,3-4%,3,4,34,18,0.529412,0.051375,10.3048,0.41948,0.514326,0.463862
MLB_DEBUT,4,4-5%,4,5,34,8,0.235294,0.051375,4.57993,0.347926,0.41948,0.382905
MLB_DEBUT,4,5-10%,5,10,166,32,0.192771,0.051375,3.75223,0.167826,0.347926,0.246287
MLB_DEBUT,4,10-20%,10,20,332,22,0.0662651,0.051375,1.28983,0.0357641,0.167826,0.0829734
MLB_DEBUT,4,20-50%,20,50,994,23,0.0231388,0.051375,0.450391,0.00392344,0.0357641,0.0124136
MLB_DEBUT,4,bottom 50%,50,100,1655,6,0.00362538,0.051375,0.0705669,0.000516581,0.00392344,0.00200835
MLB_DEBUT,5,0.0-0.5%,0,0.5,17,13,0.764706,0.0278724,27.4359,0.708296,0.831933,0.770635
MLB_DEBUT,5,0.5-1.0%,0.5,1,17,6,0.352941,0.0278724,12.6627,0.566859,0.708296,0.638844
MLB_DEBUT,5,1.0-1.5%,1,1.5,17,4,0.235294,0.0278724,8.44183,0.513808,0.566859,0.537177
MLB_DEBUT,5,1.5-2.0%,1.5,2,17,7,0.411765,0.0278724,14.7732,0.46348,0.513808,0.487825
MLB_DEBUT,5,2-3%,2,3,33,6,0.181818,0.0278724,6.52323,0.35974,0.46348,0.407797
MLB_DEBUT,5,3-4%,3,4,34,4,0.117647,0.0278724,4.22092,0.276966,0.35974,0.321746
MLB_DEBUT,5,4-5%,4,5,33,5,0.151515,0.0278724,5.43603,0.220623,0.276966,0.242718
MLB_DEBUT,5,5-10%,5,10,162,19,0.117284,0.0278724,4.20789,0.0725653,0.220623,0.134502
MLB_DEBUT,5,10-20%,10,20,324,15,0.0462963,0.0278724,1.66101,0.0173767,0.0725653,0.0374849
MLB_DEBUT,5,20-50%,20,50,970,9,0.00927835,0.0278724,0.332887,0.00201907,0.0173767,0.00581001
MLB_DEBUT,5,bottom 50%,50,100,1615,2,0.00123839,0.0278724,0.0444307,0.000304862,0.00201907,0.00110231
MLB_DEBUT,6,0.0-0.5%,0,0.5,16,11,0.6875,0.0172576,39.8375,0.564343,0.745953,0.633969
