========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17_prod.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  ALL          10%    +5.885   130   13  10.0%  17.29    3.76%
  ALL          25%         -     -    -      -      -        -
  ALL          50%         -     -    -      -      -        -
  ALL          75%         -     -    -      -      -        -
  R1            5%    -0.020    57    5   8.8%   1.00  100.00%
  R1           10%    +2.269    50    5  10.0%   1.14   87.72%
  R1           25%         -     -    -      -      -        -
  R1           50%         -     -    -      -      -        -
  R1           75%         -     -    -      -      -        -
  R2-R3         5%    +5.728    40    2   5.0%   2.45   40.82%
  R2-R3        10%    +6.558    20    2  10.0%   4.90   20.41%
  R2-R3        25%         -     -    -      -      -        -
  R2-R3        50%         -     -    -      -      -        -
  R2-R3        75%         -     -    -      -      -        -
  R4-R10        5%    +4.405    60    3   5.0%   4.65   21.51%
  R4-R10       10%    +5.707    20    2  10.0%   9.30    7.17%
  R4-R10       25%         -     -    -      -      -        -
  R4-R10       50%         -     -    -      -      -        -
  R4-R10       75%         -     -    -      -      -        -
  R10+          5%    +4.698    20    1   5.0%  19.60    1.70%
  R10+         10%    +5.566    10    1  10.0%  39.20    0.85%
  R10+         25%         -     -    -      -      -        -
  R10+         50%         -     -    -      -      -        -
  R10+         75%         -     -    -      -      -        -
  IFA           5%    +4.094    80    4   5.0%  13.20    4.33%
  IFA          10%    +5.462    40    4  10.0%  26.40    2.16%
  IFA          25%         -     -    -      -      -        -
  IFA          50%         -     -    -      -      -        -
  IFA          75%         -     -    -      -      -        -
