snap_offset,bucket,event,pct_lo,pct_hi,label,score_lo,score_hi,score_mean,n,pos,rate,base_rate,lift,small_sample
2,ALL,TOP_100_PROSPECT,0,10,0-10%,3.31535156144871,10.063382523973486,5.113932869254109,342,25,0.07309941520467836,0.009364940005853088,7.805646929824561,False
2,ALL,TOP_100_PROSPECT,10,20,10-20%,1.7008780573717344,3.3152806759758238,2.3310380062344773,341,2,0.005865102639296188,0.009364940005853088,0.626282991202346,False
2,ALL,TOP_100_PROSPECT,20,30,20-30%,1.0076127193959474,1.694923734330126,1.3253087186675492,342,2,0.005847953216374269,0.009364940005853088,0.6244517543859649,False
2,ALL,TOP_100_PROSPECT,30,40,30-40%,0.6227690565045456,1.0068910495237193,0.807589095278172,342,1,0.0029239766081871343,0.009364940005853088,0.31222587719298245,False
2,ALL,TOP_100_PROSPECT,40,50,40-50%,0.38153462172580843,0.6225694789146505,0.4915847034511033,341,1,0.002932551319648094,0.009364940005853088,0.313141495601173,False
2,ALL,TOP_100_PROSPECT,50,60,50-60%,0.22997714012425355,0.38142555156152097,0.3002159185299204,342,0,0.0,0.009364940005853088,0.0,False
2,ALL,TOP_100_PROSPECT,60,70,60-70%,0.14719393052104626,0.22916754590116717,0.1855378718833243,342,0,0.0,0.009364940005853088,0.0,False
2,ALL,TOP_100_PROSPECT,70,80,70-80%,0.08597108985846394,0.14713951989908042,0.115861758020759,342,0,0.0,0.009364940005853088,0.0,False
2,ALL,TOP_100_PROSPECT,80,90,80-90%,0.027349747976639138,0.0859376210902413,0.05340269116398482,341,1,0.002932551319648094,0.009364940005853088,0.313141495601173,False
2,ALL,TOP_100_PROSPECT,90,95,90-95%,-0.020550187081970595,0.027141470095323306,0.0068217733279482195,171,0,0.0,0.009364940005853088,0.0,False
2,ALL,TOP_100_PROSPECT,95,99,95-99%,-0.12450685520593174,-0.020684675478057468,-0.05684469547140354,137,0,0.0,0.009364940005853088,0.0,False
2,ALL,TOP_100_PROSPECT,99,100,99-100%,-0.5165441371660486,-0.12476463672951171,-0.27555516713292366,34,0,0.0,0.009364940005853088,0.0,False
2,ALL,MLB_DEBUT,0,10,0-10%,3.5231799271707023,10.063382523973486,5.555121698739922,346,211,0.6098265895953757,0.10555234239444766,5.777480402248792,False
2,ALL,MLB_DEBUT,10,20,10-20%,1.7741284868398624,3.5208977490335815,2.4956717392047403,346,94,0.27167630057803466,0.10555234239444766,2.573853828489983,False
2,ALL,MLB_DEBUT,20,30,20-30%,1.0581951835350356,1.7639322572644505,1.3863637229224832,345,30,0.08695652173913043,0.10555234239444766,0.823823704586063,False
2,ALL,MLB_DEBUT,30,40,30-40%,0.6472553208254724,1.0579844445807334,0.8389272666142665,346,13,0.03757225433526012,0.10555234239444766,0.35595850819542324,False
2,ALL,MLB_DEBUT,40,50,40-50%,0.393837140064882,0.6456005152683031,0.5078511827042487,346,6,0.017341040462427744,0.10555234239444766,0.16428854224404146,False
2,ALL,MLB_DEBUT,50,60,50-60%,0.23649617445399645,0.3937831493816122,0.30839867290922535,346,0,0.0,0.10555234239444766,0.0,False
2,ALL,MLB_DEBUT,60,70,60-70%,0.14932600469584117,0.23523377201272372,0.18898317579246904,346,4,0.011560693641618497,0.10555234239444766,0.10952569482936099,False
2,ALL,MLB_DEBUT,70,80,70-80%,0.0873877893044866,0.14929887085097654,0.11775757140197905,345,1,0.002898550724637681,0.10555234239444766,0.02746079015286877,False
2,ALL,MLB_DEBUT,80,90,80-90%,0.028955967886473366,0.08723933172176163,0.05455941638966389,346,2,0.005780346820809248,0.10555234239444766,0.054762847414680495,False
2,ALL,MLB_DEBUT,90,95,90-95%,-0.018197553090910035,0.028436759813767115,0.007625825662453605,173,2,0.011560693641618497,0.10555234239444766,0.10952569482936099,False
2,ALL,MLB_DEBUT,95,99,95-99%,-0.12212535096738686,-0.020257644174127676,-0.055826262721974294,138,2,0.014492753623188406,0.10555234239444766,0.13730395076434385,False
2,ALL,MLB_DEBUT,99,100,99-100%,-0.5165441371660486,-0.12450685520593174,-0.2712395010778667,35,0,0.0,0.10555234239444766,0.0,False
2,ALL,ESTABLISHED_MLB,0,10,0-10%,3.5231799271707023,10.063382523973486,5.555121698739922,346,59,0.17052023121387283,0.021688837478311164,7.8621194605009626,False
2,ALL,ESTABLISHED_MLB,10,20,10-20%,1.7741284868398624,3.5208977490335815,2.4956717392047403,346,12,0.03468208092485549,0.021688837478311164,1.5990751445086702,False
2,ALL,ESTABLISHED_MLB,20,30,20-30%,1.0581951835350356,1.7639322572644505,1.3863637229224832,345,3,0.008695652173913044,0.021688837478311164,0.40092753623188404,False
2,ALL,ESTABLISHED_MLB,30,40,30-40%,0.6472553208254724,1.0579844445807334,0.8389272666142665,346,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,40,50,40-50%,0.393837140064882,0.6456005152683031,0.5078511827042487,346,1,0.002890173410404624,0.021688837478311164,0.1332562620423892,False
2,ALL,ESTABLISHED_MLB,50,60,50-60%,0.23649617445399645,0.3937831493816122,0.30839867290922535,346,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,60,70,60-70%,0.14932600469584117,0.23523377201272372,0.18898317579246904,346,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,70,80,70-80%,0.0873877893044866,0.14929887085097654,0.11775757140197905,345,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,80,90,80-90%,0.028955967886473366,0.08723933172176163,0.05455941638966389,346,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,90,95,90-95%,-0.018197553090910035,0.028436759813767115,0.007625825662453605,173,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,95,99,95-99%,-0.12212535096738686,-0.020257644174127676,-0.055826262721974294,138,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,99,100,99-100%,-0.5165441371660486,-0.12450685520593174,-0.2712395010778667,35,0,0.0,0.021688837478311164,0.0,False
2,ALL,STAR_PLUS_ELITE,0,10,0-10%,3.5231799271707023,10.063382523973486,5.555121698739922,346,15,0.04335260115606936,0.00578368999421631,7.495664739884393,False
2,ALL,STAR_PLUS_ELITE,10,20,10-20%,1.7741284868398624,3.5208977490335815,2.4956717392047403,346,2,0.005780346820809248,0.00578368999421631,0.999421965317919,False
2,ALL,STAR_PLUS_ELITE,20,30,20-30%,1.0581951835350356,1.7639322572644505,1.3863637229224832,345,2,0.005797101449275362,0.00578368999421631,1.00231884057971,False
2,ALL,STAR_PLUS_ELITE,30,40,30-40%,0.6472553208254724,1.0579844445807334,0.8389272666142665,346,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,40,50,40-50%,0.393837140064882,0.6456005152683031,0.5078511827042487,346,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,50,60,50-60%,0.23649617445399645,0.3937831493816122,0.30839867290922535,346,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,60,70,60-70%,0.14932600469584117,0.23523377201272372,0.18898317579246904,346,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,70,80,70-80%,0.0873877893044866,0.14929887085097654,0.11775757140197905,345,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,80,90,80-90%,0.028955967886473366,0.08723933172176163,0.05455941638966389,346,1,0.002890173410404624,0.00578368999421631,0.4997109826589595,False
2,ALL,STAR_PLUS_ELITE,90,95,90-95%,-0.018197553090910035,0.028436759813767115,0.007625825662453605,173,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,95,99,95-99%,-0.12212535096738686,-0.020257644174127676,-0.055826262721974294,138,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,99,100,99-100%,-0.5165441371660486,-0.12450685520593174,-0.2712395010778667,35,0,0.0,0.00578368999421631,0.0,False
