event,yip,slab,slab_lo,slab_hi,n,tp,rate,base_rate,lift,score_lo,score_hi,score_mean
TOP_100_PROSPECT,3,bottom 50%,50,100,1662,0,0,0.00511432,0,5.18947e-05,0.000173189,0.000115997
TOP_100_PROSPECT,4,0.0-0.5%,0,0.5,17,5,0.294118,0.00215983,136.176,0.0603811,0.526594,0.244488
TOP_100_PROSPECT,4,0.5-1.0%,0.5,1,17,1,0.0588235,0.00215983,27.2353,0.0223205,0.0603811,0.040526
TOP_100_PROSPECT,4,1.0-1.5%,1,1.5,17,0,0,0.00215983,0,0.0102838,0.0223205,0.0152898
TOP_100_PROSPECT,4,1.5-2.0%,1.5,2,17,0,0,0.00215983,0,0.00816562,0.0102838,0.00901711
TOP_100_PROSPECT,4,2-3%,2,3,34,0,0,0.00215983,0,0.00317752,0.00816562,0.00534957
TOP_100_PROSPECT,4,3-4%,3,4,33,0,0,0.00215983,0,0.00201863,0.00317752,0.00256008
TOP_100_PROSPECT,4,4-5%,4,5,34,0,0,0.00215983,0,0.00137268,0.00201863,0.0016295
TOP_100_PROSPECT,4,5-10%,5,10,163,1,0.00613497,0.00215983,2.84049,0.000457128,0.00137268,0.000746191
TOP_100_PROSPECT,4,10-20%,10,20,325,0,0,0.00215983,0,0.00030011,0.000457128,0.000359846
TOP_100_PROSPECT,4,20-50%,20,50,973,0,0,0.00215983,0,0.000124424,0.00030011,0.000183067
TOP_100_PROSPECT,4,bottom 50%,50,100,1621,0,0,0.00215983,0,4.27475e-05,0.000124424,8.81698e-05
TOP_100_PROSPECT,5,0.0-0.5%,0,0.5,16,1,0.0625,0.000315457,198.125,0.00371936,0.088119,0.015289
TOP_100_PROSPECT,5,0.5-1.0%,0.5,1,17,0,0,0.000315457,0,0.00210033,0.00371936,0.00290094
TOP_100_PROSPECT,5,1.0-1.5%,1,1.5,17,0,0,0.000315457,0,0.00129743,0.00210033,0.0017026
TOP_100_PROSPECT,5,1.5-2.0%,1.5,2,17,0,0,0.000315457,0,0.00092225,0.00129743,0.00106069
TOP_100_PROSPECT,5,2-3%,2,3,33,0,0,0.000315457,0,0.00067143,0.00092225,0.000781757
TOP_100_PROSPECT,5,3-4%,3,4,32,0,0,0.000315457,0,0.000551461,0.00067143,0.000598092
TOP_100_PROSPECT,5,4-5%,4,5,33,0,0,0.000315457,0,0.000437022,0.000551461,0.00049507
TOP_100_PROSPECT,5,5-10%,5,10,159,0,0,0.000315457,0,0.000328688,0.000437022,0.000362059
TOP_100_PROSPECT,5,10-20%,10,20,317,0,0,0.000315457,0,0.00020722,0.000328249,0.000272632
TOP_100_PROSPECT,5,20-50%,20,50,951,0,0,0.000315457,0,0.000102996,0.0002072,0.000138535
TOP_100_PROSPECT,5,bottom 50%,50,100,1585,0,0,0.000315457,0,4.11069e-05,0.000102973,7.68985e-05
