event,yip,slab,slab_lo,slab_hi,n,tp,rate,base_rate,lift,score_lo,score_hi,score_mean
STAR_PLUS_ELITE,3,bottom 50%,50,100,1696,0,0,0.00383255,0,4.76422e-05,0.000157163,9.64861e-05
STAR_PLUS_ELITE,4,0.0-0.5%,0,0.5,17,2,0.117647,0.00181324,64.8824,0.054264,0.0864303,0.06458
STAR_PLUS_ELITE,4,0.5-1.0%,0.5,1,18,2,0.111111,0.00181324,61.2778,0.0402246,0.054264,0.0471638
STAR_PLUS_ELITE,4,1.0-1.5%,1,1.5,17,0,0,0.00181324,0,0.0232168,0.0402246,0.0303649
STAR_PLUS_ELITE,4,1.5-2.0%,1.5,2,18,0,0,0.00181324,0,0.015129,0.0232168,0.0191986
STAR_PLUS_ELITE,4,2-3%,2,3,34,0,0,0.00181324,0,0.00819309,0.015129,0.0108183
STAR_PLUS_ELITE,4,3-4%,3,4,34,0,0,0.00181324,0,0.00583387,0.00819309,0.00688035
STAR_PLUS_ELITE,4,4-5%,4,5,34,1,0.0294118,0.00181324,16.2206,0.00375203,0.00583387,0.00482878
STAR_PLUS_ELITE,4,5-10%,5,10,166,0,0,0.00181324,0,0.00125418,0.00375203,0.00219665
STAR_PLUS_ELITE,4,10-20%,10,20,332,1,0.00301205,0.00181324,1.66114,0.000443308,0.00125418,0.00071321
STAR_PLUS_ELITE,4,20-50%,20,50,994,0,0,0.00181324,0,0.000104517,0.000443308,0.000195167
STAR_PLUS_ELITE,4,bottom 50%,50,100,1655,0,0,0.00181324,0,3.00501e-05,0.000104517,6.34885e-05
STAR_PLUS_ELITE,5,0.0-0.5%,0,0.5,17,0,0,0.000309693,0,0.0167302,0.0369944,0.0264581
STAR_PLUS_ELITE,5,0.5-1.0%,0.5,1,17,0,0,0.000309693,0,0.0084208,0.0167302,0.0109436
STAR_PLUS_ELITE,5,1.0-1.5%,1,1.5,17,0,0,0.000309693,0,0.00501164,0.0084208,0.00636879
STAR_PLUS_ELITE,5,1.5-2.0%,1.5,2,17,0,0,0.000309693,0,0.00343121,0.00501164,0.004103
STAR_PLUS_ELITE,5,2-3%,2,3,33,0,0,0.000309693,0,0.00249726,0.00343121,0.00301919
STAR_PLUS_ELITE,5,3-4%,3,4,34,0,0,0.000309693,0,0.0016581,0.00249726,0.0020641
STAR_PLUS_ELITE,5,4-5%,4,5,33,0,0,0.000309693,0,0.00130184,0.0016581,0.00147458
STAR_PLUS_ELITE,5,5-10%,5,10,162,1,0.00617284,0.000309693,19.9321,0.000552084,0.00130184,0.000838306
STAR_PLUS_ELITE,5,10-20%,10,20,324,0,0,0.000309693,0,0.000261637,0.000552084,0.000372782
STAR_PLUS_ELITE,5,20-50%,20,50,970,0,0,0.000309693,0,7.99016e-05,0.000261637,0.000133322
STAR_PLUS_ELITE,5,bottom 50%,50,100,1615,0,0,0.000309693,0,3.03069e-05,7.99016e-05,5.35581e-05
STAR_PLUS_ELITE,6,0.0-0.5%,0,0.5,16,0,0,0.000313775,0,0.00859252,0.0250179,0.0130226
STAR_PLUS_ELITE,6,0.5-1.0%,0.5,1,17,0,0,0.000313775,0,0.00273932,0.00859252,0.00426809
STAR_PLUS_ELITE,6,1.0-1.5%,1,1.5,17,0,0,0.000313775,0,0.00193997,0.00273932,0.00228106
STAR_PLUS_ELITE,6,1.5-2.0%,1.5,2,17,0,0,0.000313775,0,0.00157317,0.00193997,0.00174701
STAR_PLUS_ELITE,6,2-3%,2,3,33,1,0.030303,0.000313775,96.5758,0.00117496,0.00157317,0.00134467
STAR_PLUS_ELITE,6,3-4%,3,4,33,0,0,0.000313775,0,0.00088012,0.00117496,0.00102566
STAR_PLUS_ELITE,6,4-5%,4,5,33,0,0,0.000313775,0,0.000725379,0.00088012,0.000795893
STAR_PLUS_ELITE,6,5-10%,5,10,160,0,0,0.000313775,0,0.000393363,0.000725379,0.000531836
STAR_PLUS_ELITE,6,10-20%,10,20,320,0,0,0.000313775,0,0.000189852,0.000393363,0.000276344
STAR_PLUS_ELITE,6,20-50%,20,50,957,0,0,0.000313775,0,6.8823e-05,0.000189852,0.00011116
STAR_PLUS_ELITE,6,bottom 50%,50,100,1594,0,0,0.000313775,0,3.26169e-05,6.8823e-05,4.86179e-05
STAR_PLUS_ELITE,7,0.0-0.5%,0,0.5,15,0,0,0.000336022,0,0.00257843,0.00721652,0.0043065
STAR_PLUS_ELITE,7,0.5-1.0%,0.5,1,16,0,0,0.000336022,0,0.00162458,0.00257843,0.00195912
STAR_PLUS_ELITE,7,1.0-1.5%,1,1.5,16,0,0,0.000336022,0,0.00127047,0.00162458,0.00140788
STAR_PLUS_ELITE,7,1.5-2.0%,1.5,2,16,0,0,0.000336022,0,0.00107135,0.00127047,0.00116151
STAR_PLUS_ELITE,7,2-3%,2,3,31,1,0.0322581,0.000336022,96,0.000877749,0.00107135,0.000972787
STAR_PLUS_ELITE,7,3-4%,3,4,31,0,0,0.000336022,0,0.000737495,0.000877749,0.000792022
STAR_PLUS_ELITE,7,4-5%,4,5,30,0,0,0.000336022,0,0.000619133,0.000737495,0.000664135
STAR_PLUS_ELITE,7,5-10%,5,10,150,0,0,0.000336022,0,0.000354772,0.000619133,0.000453937
STAR_PLUS_ELITE,7,10-20%,10,20,299,0,0,0.000336022,0,0.00018077,0.000354772,0.000257774
STAR_PLUS_ELITE,7,20-50%,20,50,893,0,0,0.000336022,0,6.4278e-05,0.00018077,0.000102703
STAR_PLUS_ELITE,7,bottom 50%,50,100,1488,0,0,0.000336022,0,3.3719e-05,6.42031e-05,4.82328e-05
STAR_PLUS_ELITE,8,0.0-0.5%,0,0.5,14,0,0,0.000359971,0,0.00162382,0.00533003,0.00257615
STAR_PLUS_ELITE,8,0.5-1.0%,0.5,1,15,1,0.0666667,0.000359971,185.2,0.00109138,0.00162382,0.00127142
STAR_PLUS_ELITE,8,1.0-1.5%,1,1.5,15,0,0,0.000359971,0,0.000949995,0.00109138,0.00101064
STAR_PLUS_ELITE,8,1.5-2.0%,1.5,2,15,0,0,0.000359971,0,0.000763949,0.000949995,0.000845108
STAR_PLUS_ELITE,8,2-3%,2,3,29,0,0,0.000359971,0,0.000658048,0.000763949,0.000702148
STAR_PLUS_ELITE,8,3-4%,3,4,29,0,0,0.000359971,0,0.000567116,0.000658048,0.000609924
STAR_PLUS_ELITE,8,4-5%,4,5,28,0,0,0.000359971,0,0.000500597,0.000567116,0.000531823
STAR_PLUS_ELITE,8,5-10%,5,10,140,0,0,0.000359971,0,0.000312506,0.000500597,0.00039683
STAR_PLUS_ELITE,8,10-20%,10,20,279,0,0,0.000359971,0,0.000173882,0.000312506,0.000236211
STAR_PLUS_ELITE,8,20-50%,20,50,834,0,0,0.000359971,0,6.12382e-05,0.000173882,9.67684e-05
STAR_PLUS_ELITE,8,bottom 50%,50,100,1389,0,0,0.000359971,0,3.52601e-05,6.1105e-05,4.79303e-05
