event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,v3,0.007918653605482353,-0.002813948494991708,0.01890251363722978
MLB_DEBUT,3,mix_v3,0.014381750412594749,0.008901532294094568,0.020103996302411574
MLB_DEBUT,6,v3,0.004303643241706324,-0.005990629804289963,0.012720209015371346
MLB_DEBUT,6,mix_v3,0.010166010367209792,0.00505240275534298,0.014448509285782974
TOP_100_PROSPECT,3,v3,-0.012241392447559698,-0.04621797730613478,0.019996091600196775
TOP_100_PROSPECT,3,mix_v3,0.013083511495952254,-0.0030893121950604937,0.03194116797938926
TOP_100_PROSPECT,6,v3,-0.012830884339289512,-0.04238009442432765,0.01609999934491023
TOP_100_PROSPECT,6,mix_v3,0.00927025697132362,-0.006240957010077861,0.0248632786180318
ESTABLISHED_MLB,3,v3,-0.012788636675754956,-0.04426619937555894,0.01620093090860478
ESTABLISHED_MLB,3,mix_v3,0.00830214651414685,-0.003858639978638926,0.02373641295486233
ESTABLISHED_MLB,3,v3cond,-0.0025446036833751996,-0.03537942598451711,0.029672381863784614
ESTABLISHED_MLB,3,mix_cond,0.013795744351379957,-0.0013649736326149344,0.03068683200159399
ESTABLISHED_MLB,6,v3,0.02003728931936196,0.0021411028341575106,0.03791669207253139
ESTABLISHED_MLB,6,mix_v3,0.018948743584114105,0.008395223887340673,0.029292941848945372
ESTABLISHED_MLB,6,v3cond,0.02051464132505687,0.0014724200384812678,0.038372037327285065
ESTABLISHED_MLB,6,mix_cond,0.018200268431238283,0.006898779457200274,0.028397052847414613
STAR_PLUS_ELITE,3,v3,-0.026587848292266247,-0.09565917625622362,0.015216976246979153
STAR_PLUS_ELITE,3,mix_v3,0.004712236441797569,-0.02413781265138637,0.03376436439276741
STAR_PLUS_ELITE,3,v3cond,0.018818746488836403,-0.050474822766579705,0.09493984155348194
STAR_PLUS_ELITE,3,mix_cond,0.021203841756688623,-0.014387723590698715,0.06614569678564584
STAR_PLUS_ELITE,6,v3,-0.004962315764863617,-0.028207553506748483,0.01620972326064729
STAR_PLUS_ELITE,6,mix_v3,0.0049642662710417005,-0.006798885712798049,0.020359256215101238
STAR_PLUS_ELITE,6,v3cond,-0.0027026438758466107,-0.031907377170445526,0.02741816995267714
STAR_PLUS_ELITE,6,mix_cond,0.004092995922179255,-0.011091958983007945,0.024080515938375874
