event,h,arm,n,pos,ap,auc,calib
ESTABLISHED_MLB,3,deployed_4x,42119,291,0.24799555656590586,0.9675543717406615,0.6569979889419167
ESTABLISHED_MLB,3,joint_small,42119,291,0.2477587541566595,0.9646027488779938,0.8178038783115414
ESTABLISHED_MLB,3,joint_small_xcal,42119,291,0.24859094368312198,0.962080884670227,1.0077951592725038
ESTABLISHED_MLB,3,cond,42119,291,0.253069134799521,0.9679119973236823,0.7915932455442565
ESTABLISHED_MLB,3,cond_xcal,42119,291,0.25223318731869593,0.9660380984210579,1.0035529690411857
ESTABLISHED_MLB,3,blendj30,42119,291,0.2534388983378653,0.9665809038947587,0.8099406750015018
ESTABLISHED_MLB,3,blendj30_xcal,42119,291,0.25601011158446935,0.9646193444138933,1.0060487085722116
ESTABLISHED_MLB,3,blendj,42119,291,0.2586137169385722,0.9672848175164732,0.8046984945286283
ESTABLISHED_MLB,3,blendj_xcal,42119,291,0.25708511835757314,0.9654016349724792,1.0052605660304554
ESTABLISHED_MLB,3,blendj70,42119,291,0.26099254994694243,0.9676962553569897,0.7994563814550254
ESTABLISHED_MLB,3,blendj70_xcal,42119,291,0.25883907536818296,0.9658682817245029,1.0050475760962683
ESTABLISHED_MLB,6,deployed_4x,35279,956,0.3226204076550771,0.9355539827947565,0.7555611883227656
ESTABLISHED_MLB,6,joint_small,35279,956,0.3205556469197163,0.9337000714477539,0.8069479744082558
ESTABLISHED_MLB,6,joint_small_xcal,35279,956,0.32280123999871496,0.9336252835327494,1.0050897568141894
ESTABLISHED_MLB,6,cond,35279,956,0.33397268327230656,0.93608906381256,0.8182503453487039
ESTABLISHED_MLB,6,cond_xcal,35279,956,0.3378994002199326,0.9353459389065021,1.0021929987589557
ESTABLISHED_MLB,6,blendj30,35279,956,0.3284873422891063,0.9353892756689862,0.8103386169537184
ESTABLISHED_MLB,6,blendj30_xcal,35279,956,0.3313444433410826,0.9351056210158064,1.0042479921468654
ESTABLISHED_MLB,6,blendj,35279,956,0.3328310339286318,0.9359300556843876,0.8125990911418081
ESTABLISHED_MLB,6,blendj_xcal,35279,956,0.3361904538994728,0.9355416857598323,1.0043819962406453
ESTABLISHED_MLB,6,blendj70,35279,956,0.3345213892389691,0.9361937181320892,0.8148597028032413
ESTABLISHED_MLB,6,blendj70_xcal,35279,956,0.33937848015197136,0.9356693341632535,1.0036225849416194
STAR_PLUS_ELITE,3,deployed_4x,42119,44,0.05418363962106615,0.9626357154432021,0.5623308071836537
STAR_PLUS_ELITE,3,joint_small,42119,44,0.0595146012222329,0.9606984281315831,0.6666382664261619
STAR_PLUS_ELITE,3,joint_small_xcal,42119,44,0.045857622934481534,0.9594714524928429,0.9526708423346565
STAR_PLUS_ELITE,3,cond,42119,44,0.05392655171584233,0.955684924107384,0.7961815328453667
STAR_PLUS_ELITE,3,cond_xcal,42119,44,0.03841615670773513,0.951198347107438,0.9492302093841254
STAR_PLUS_ELITE,3,blendj30,42119,44,0.062472323366992405,0.9599810943661211,0.705501240779995
STAR_PLUS_ELITE,3,blendj30_xcal,42119,44,0.045541728705098435,0.9578636633716847,0.9469821481612671
STAR_PLUS_ELITE,3,blendj,42119,44,0.06213654663817115,0.9593291200777831,0.731409927495406
STAR_PLUS_ELITE,3,blendj_xcal,42119,44,0.04598471918854454,0.9565094798249879,0.9422345495563615
STAR_PLUS_ELITE,3,blendj70,42119,44,0.06092189651545895,0.9582968724679954,0.7573185027722502
STAR_PLUS_ELITE,3,blendj70_xcal,42119,44,0.046521587231827366,0.954881434667531,0.9479511211727001
STAR_PLUS_ELITE,6,deployed_4x,35279,153,0.13224661761549966,0.9491023724489133,0.774079373971208
STAR_PLUS_ELITE,6,joint_small,35279,153,0.12825275354469814,0.9476468280948621,0.7768073137986528
STAR_PLUS_ELITE,6,joint_small_xcal,35279,153,0.112090533327712,0.9442190188151784,0.9995705427054812
STAR_PLUS_ELITE,6,cond,35279,153,0.13933517439372825,0.94668316376637,0.7751001372470769
STAR_PLUS_ELITE,6,cond_xcal,35279,153,0.11260006706598974,0.9431440837262234,0.9800437311664006
STAR_PLUS_ELITE,6,blendj30,35279,153,0.13300499732387425,0.9488739696755545,0.7762951984137199
STAR_PLUS_ELITE,6,blendj30_xcal,35279,153,0.11911767193361336,0.9456470245863725,0.9897079731903425
STAR_PLUS_ELITE,6,blendj,35279,153,0.13715010398841876,0.9489201154089909,0.7759536986796222
STAR_PLUS_ELITE,6,blendj_xcal,35279,153,0.11976922613989952,0.9456777263848279,0.9858002414845752
STAR_PLUS_ELITE,6,blendj70,35279,153,0.1405413555369067,0.9486050963496865,0.7756123063184953
STAR_PLUS_ELITE,6,blendj70_xcal,35279,153,0.11855059166872732,0.9453320055270681,0.9815599194887097
