event,h,arm,d_ap,lo,hi
ESTABLISHED_MLB,3,deployed_4x,0.001200122036063251,-0.013715790707272277,0.018885503688001654
ESTABLISHED_MLB,3,cond,0.006723763846304951,-0.016824187320775157,0.03103426814458013
ESTABLISHED_MLB,3,cond_xcal,0.005377797312176905,-0.021757830815598303,0.029732093848241607
ESTABLISHED_MLB,3,blendj30,0.006354632966182183,-0.0009914724796287154,0.014543547843601482
ESTABLISHED_MLB,3,blendj30_xcal,0.007701706225425519,-0.001133278372969655,0.016423298900512057
ESTABLISHED_MLB,3,blendj,0.011388961831928734,3.4447568459072516e-06,0.023683035539498968
ESTABLISHED_MLB,3,blendj_xcal,0.009497124193199424,-0.002858454679496578,0.02175187333999078
ESTABLISHED_MLB,3,blendj70,0.013677291409484826,-0.002886933490779525,0.030132584141309118
ESTABLISHED_MLB,3,blendj70_xcal,0.010996566832840097,-0.0059032833765277504,0.027892068823576595
ESTABLISHED_MLB,6,deployed_4x,0.002569424100842975,-0.00791581477154081,0.012502425821136422
ESTABLISHED_MLB,6,cond,0.013956411902799478,-0.00034638897281480673,0.026822127832168502
ESTABLISHED_MLB,6,cond_xcal,0.015284301423849718,-8.37962108361746e-05,0.03041666963670509
ESTABLISHED_MLB,6,blendj30,0.008042384772330336,0.003861501831063022,0.011787922802048085
ESTABLISHED_MLB,6,blendj30_xcal,0.008417476911318259,0.004119685852195666,0.01284966983086475
ESTABLISHED_MLB,6,blendj,0.012361719079743597,0.005430607304584729,0.018841090844885607
ESTABLISHED_MLB,6,blendj_xcal,0.013285580922043176,0.0054576487514010315,0.02088163789937904
ESTABLISHED_MLB,6,blendj70,0.01422048458507137,0.004010665869373947,0.022925562414783385
ESTABLISHED_MLB,6,blendj70_xcal,0.016506501237384577,0.004835147274594577,0.026914551220690593
STAR_PLUS_ELITE,3,deployed_4x,-0.00634236759803364,-0.029973363508425322,0.007375738816262182
STAR_PLUS_ELITE,3,cond,-0.0058307449863679575,-0.04361831111695435,0.02060228627600251
STAR_PLUS_ELITE,3,cond_xcal,-0.008589090866722807,-0.055659251749055456,0.02832221042036729
STAR_PLUS_ELITE,3,blendj30,0.0023782527486906836,-0.006932512760954359,0.0106619583492276
STAR_PLUS_ELITE,3,blendj30_xcal,-0.0007177615445379636,-0.01345425507906219,0.0064210439279735205
STAR_PLUS_ELITE,3,blendj,0.002217032218762962,-0.009783904401954193,0.011819384497139542
STAR_PLUS_ELITE,3,blendj_xcal,-0.00048662772694799665,-0.016901179205213817,0.012780235912935823
STAR_PLUS_ELITE,3,blendj70,0.0014039804742008747,-0.01889513878274776,0.01632481719951283
STAR_PLUS_ELITE,3,blendj70_xcal,-0.0003715237393709344,-0.02504492523084151,0.020504702801471226
STAR_PLUS_ELITE,6,deployed_4x,0.0045263798675697796,-0.0166332831680157,0.02353258591865947
STAR_PLUS_ELITE,6,cond,0.01301563620179933,-0.013848719068973888,0.046841175354872075
STAR_PLUS_ELITE,6,cond_xcal,0.0007958319011973819,-0.02544785864029278,0.025892765067288784
STAR_PLUS_ELITE,6,blendj30,0.006253315603160953,-0.0021316662264217953,0.015860048751320948
STAR_PLUS_ELITE,6,blendj30_xcal,0.007274382639388221,-0.0014028307944401988,0.017801733748116087
STAR_PLUS_ELITE,6,blendj,0.010484718675048283,-0.0018661171945970464,0.026518165927384443
STAR_PLUS_ELITE,6,blendj_xcal,0.007851692179457042,-0.004514710864163922,0.022108747976283274
STAR_PLUS_ELITE,6,blendj70,0.013901538467269431,-0.0020873762078676573,0.03540337338251501
STAR_PLUS_ELITE,6,blendj70_xcal,0.006680855864548446,-0.010185141439530233,0.024572405741632473
