snap_offset,bucket,event,pct_lo,pct_hi,label,score_lo,score_hi,score_mean,n,pos,rate,base_rate,lift,small_sample
2,ALL,TOP_100_PROSPECT,0,10,0-10%,1.470321055294332,10.101418682750582,4.6148965857229545,342,18,0.05263157894736842,0.009364940005853088,5.620065789473684,False
2,ALL,TOP_100_PROSPECT,10,20,10-20%,0.4003966520846075,1.4657680885119204,0.8080485440771881,341,5,0.01466275659824047,0.009364940005853088,1.5657074780058653,False
2,ALL,TOP_100_PROSPECT,20,30,20-30%,0.13936352211239295,0.39717361055161826,0.2471981565624393,342,0,0.0,0.009364940005853088,0.0,False
2,ALL,TOP_100_PROSPECT,30,40,30-40%,0.06351868949015638,0.13917979406208308,0.08742617168797925,342,4,0.011695906432748537,0.009364940005853088,1.2489035087719298,False
2,ALL,TOP_100_PROSPECT,40,50,40-50%,0.038637042519518355,0.0634463175659836,0.052052777642700145,341,3,0.008797653958944282,0.009364940005853088,0.9394244868035192,False
2,ALL,TOP_100_PROSPECT,50,60,50-60%,0.03149967689735908,0.03860013993631414,0.03539596743761655,342,0,0.0,0.009364940005853088,0.0,False
2,ALL,TOP_100_PROSPECT,60,70,60-70%,0.009384046433083326,0.03140889655328061,0.015480055517864395,342,1,0.0029239766081871343,0.009364940005853088,0.31222587719298245,False
2,ALL,TOP_100_PROSPECT,70,80,70-80%,-0.017585378531665474,0.009383258194718858,-0.004133068483499099,342,0,0.0,0.009364940005853088,0.0,False
2,ALL,TOP_100_PROSPECT,80,90,80-90%,-0.059343093387755064,-0.017689065211750565,-0.037415561366621004,341,1,0.002932551319648094,0.009364940005853088,0.313141495601173,False
2,ALL,TOP_100_PROSPECT,90,95,90-95%,-0.08450376049030395,-0.059386684066710604,-0.06997437769261361,171,0,0.0,0.009364940005853088,0.0,False
2,ALL,TOP_100_PROSPECT,95,99,95-99%,-0.22741274008547663,-0.08467042796246016,-0.11184167758216619,137,0,0.0,0.009364940005853088,0.0,False
2,ALL,TOP_100_PROSPECT,99,100,99-100%,-1.0585580305690225,-0.23459183742156098,-0.33948701782690904,34,0,0.0,0.009364940005853088,0.0,False
2,ALL,MLB_DEBUT,0,10,0-10%,1.7923425014721688,10.101418682750582,5.234167053392302,346,191,0.5520231213872833,0.10555234239444766,5.229851928101987,False
2,ALL,MLB_DEBUT,10,20,10-20%,0.44252728326383567,1.7683979641407628,0.9265335012461573,346,75,0.21676300578034682,0.10555234239444766,2.0536067780505185,False
2,ALL,MLB_DEBUT,20,30,20-30%,0.15025579085188817,0.44180335664659065,0.2717013994154442,345,38,0.11014492753623188,0.10555234239444766,1.0435100258090133,False
2,ALL,MLB_DEBUT,30,40,30-40%,0.06448174439395624,0.1501894313726005,0.09398586233011952,346,24,0.06936416184971098,0.10555234239444766,0.6571541689761659,False
2,ALL,MLB_DEBUT,40,50,40-50%,0.039214883379873194,0.06447873756117867,0.053681889968348495,346,11,0.031791907514450865,0.10555234239444766,0.3011956607807427,False
2,ALL,MLB_DEBUT,50,60,50-60%,0.03191024119553784,0.03920858751560832,0.03577084725404031,346,8,0.023121387283236993,0.10555234239444766,0.21905138965872198,False
2,ALL,MLB_DEBUT,60,70,60-70%,0.009618280291588344,0.03186993126644164,0.01643664179381328,346,5,0.014450867052023121,0.10555234239444766,0.13690711853670123,False
2,ALL,MLB_DEBUT,70,80,70-80%,-0.016920919172987492,0.009613304318136229,-0.003315414788410196,345,5,0.014492753623188406,0.10555234239444766,0.13730395076434385,False
2,ALL,MLB_DEBUT,80,90,80-90%,-0.05892669066037526,-0.017039379781941644,-0.03664095964070768,346,5,0.014450867052023121,0.10555234239444766,0.13690711853670123,False
2,ALL,MLB_DEBUT,90,95,90-95%,-0.08445630952978073,-0.05894483097288289,-0.06955562660778386,173,1,0.005780346820809248,0.10555234239444766,0.054762847414680495,False
2,ALL,MLB_DEBUT,95,99,95-99%,-0.2272549124776686,-0.08450155607782356,-0.11060798844376393,138,2,0.014492753623188406,0.10555234239444766,0.13730395076434385,False
2,ALL,MLB_DEBUT,99,100,99-100%,-1.0585580305690225,-0.22741274008547663,-0.33628489560572533,35,0,0.0,0.10555234239444766,0.0,False
2,ALL,ESTABLISHED_MLB,0,10,0-10%,1.7923425014721688,10.101418682750582,5.234167053392302,346,51,0.14739884393063585,0.021688837478311164,6.796069364161849,False
2,ALL,ESTABLISHED_MLB,10,20,10-20%,0.44252728326383567,1.7683979641407628,0.9265335012461573,346,15,0.04335260115606936,0.021688837478311164,1.9988439306358379,False
2,ALL,ESTABLISHED_MLB,20,30,20-30%,0.15025579085188817,0.44180335664659065,0.2717013994154442,345,4,0.011594202898550725,0.021688837478311164,0.5345700483091788,False
2,ALL,ESTABLISHED_MLB,30,40,30-40%,0.06448174439395624,0.1501894313726005,0.09398586233011952,346,2,0.005780346820809248,0.021688837478311164,0.2665125240847784,False
2,ALL,ESTABLISHED_MLB,40,50,40-50%,0.039214883379873194,0.06447873756117867,0.053681889968348495,346,1,0.002890173410404624,0.021688837478311164,0.1332562620423892,False
2,ALL,ESTABLISHED_MLB,50,60,50-60%,0.03191024119553784,0.03920858751560832,0.03577084725404031,346,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,60,70,60-70%,0.009618280291588344,0.03186993126644164,0.01643664179381328,346,2,0.005780346820809248,0.021688837478311164,0.2665125240847784,False
2,ALL,ESTABLISHED_MLB,70,80,70-80%,-0.016920919172987492,0.009613304318136229,-0.003315414788410196,345,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,80,90,80-90%,-0.05892669066037526,-0.017039379781941644,-0.03664095964070768,346,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,90,95,90-95%,-0.08445630952978073,-0.05894483097288289,-0.06955562660778386,173,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,95,99,95-99%,-0.2272549124776686,-0.08450155607782356,-0.11060798844376393,138,0,0.0,0.021688837478311164,0.0,False
2,ALL,ESTABLISHED_MLB,99,100,99-100%,-1.0585580305690225,-0.22741274008547663,-0.33628489560572533,35,0,0.0,0.021688837478311164,0.0,False
2,ALL,STAR_PLUS_ELITE,0,10,0-10%,1.7923425014721688,10.101418682750582,5.234167053392302,346,13,0.03757225433526012,0.00578368999421631,6.496242774566475,False
2,ALL,STAR_PLUS_ELITE,10,20,10-20%,0.44252728326383567,1.7683979641407628,0.9265335012461573,346,5,0.014450867052023121,0.00578368999421631,2.4985549132947975,False
2,ALL,STAR_PLUS_ELITE,20,30,20-30%,0.15025579085188817,0.44180335664659065,0.2717013994154442,345,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,30,40,30-40%,0.06448174439395624,0.1501894313726005,0.09398586233011952,346,1,0.002890173410404624,0.00578368999421631,0.4997109826589595,False
2,ALL,STAR_PLUS_ELITE,40,50,40-50%,0.039214883379873194,0.06447873756117867,0.053681889968348495,346,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,50,60,50-60%,0.03191024119553784,0.03920858751560832,0.03577084725404031,346,1,0.002890173410404624,0.00578368999421631,0.4997109826589595,False
2,ALL,STAR_PLUS_ELITE,60,70,60-70%,0.009618280291588344,0.03186993126644164,0.01643664179381328,346,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,70,80,70-80%,-0.016920919172987492,0.009613304318136229,-0.003315414788410196,345,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,80,90,80-90%,-0.05892669066037526,-0.017039379781941644,-0.03664095964070768,346,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,90,95,90-95%,-0.08445630952978073,-0.05894483097288289,-0.06955562660778386,173,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,95,99,95-99%,-0.2272549124776686,-0.08450155607782356,-0.11060798844376393,138,0,0.0,0.00578368999421631,0.0,False
2,ALL,STAR_PLUS_ELITE,99,100,99-100%,-1.0585580305690225,-0.22741274008547663,-0.33628489560572533,35,0,0.0,0.00578368999421631,0.0,False
2,R1,TOP_100_PROSPECT,0,10,0-10%,8.75933188585855,10.101418682750582,9.225334623936781,4,3,0.75,0.2857142857142857,2.625,False
2,R1,TOP_100_PROSPECT,10,20,10-20%,8.410553389351062,8.654716028706789,8.556939948403977,3,2,0.6666666666666666,0.2857142857142857,2.3333333333333335,False
2,R1,TOP_100_PROSPECT,20,30,20-30%,5.047955382091826,8.279806963962729,7.0844417028562425,3,1,0.3333333333333333,0.2857142857142857,1.1666666666666667,False
2,R1,TOP_100_PROSPECT,30,40,30-40%,3.2375674597174804,3.4643637014964748,3.350637849128192,4,3,0.75,0.2857142857142857,2.625,False
2,R1,TOP_100_PROSPECT,40,50,40-50%,1.5486855263036912,2.5110425646997445,2.017099096599075,4,1,0.25,0.2857142857142857,0.875,False
2,R1,TOP_100_PROSPECT,50,60,50-60%,0.946486483344422,1.236932228683692,1.1232921898267216,3,0,0.0,0.2857142857142857,0.0,False
2,R1,TOP_100_PROSPECT,60,70,60-70%,0.5812732805983456,0.8835726585418138,0.700354907383451,3,0,0.0,0.2857142857142857,0.0,False
2,R1,TOP_100_PROSPECT,70,80,70-80%,0.22847839288680255,0.5555869841934302,0.40690011481435917,4,0,0.0,0.2857142857142857,0.0,False
2,R1,TOP_100_PROSPECT,80,90,80-90%,0.07440024116117494,0.21261080083127312,0.14054629981703903,4,0,0.0,0.2857142857142857,0.0,False
2,R1,TOP_100_PROSPECT,90,95,90-95%,0.0634463175659836,0.0634463175659836,0.0634463175659836,1,0,0.0,0.2857142857142857,0.0,False
2,R1,TOP_100_PROSPECT,95,99,95-99%,0.05545038173228842,0.057046502174232266,0.05624844195326034,2,0,0.0,0.2857142857142857,0.0,False
2,R1,MLB_DEBUT,0,10,0-10%,9.436281327534813,10.101418682750582,9.844802682960985,6,6,1.0,0.5789473684210527,1.7272727272727273,False
2,R1,MLB_DEBUT,10,20,10-20%,8.654716028706789,9.068942075735997,8.855165449807334,5,4,0.8,0.5789473684210527,1.3818181818181818,False
2,R1,MLB_DEBUT,20,30,20-30%,8.050592345480398,8.610401557780953,8.372711795121655,6,6,1.0,0.5789473684210527,1.7272727272727273,False
2,R1,MLB_DEBUT,30,40,30-40%,6.016466370772403,7.925562762514175,7.148434793729918,6,4,0.6666666666666666,0.5789473684210527,1.1515151515151514,False
2,R1,MLB_DEBUT,40,50,40-50%,3.4643637014964748,5.847642777757338,5.014012046896061,5,4,0.8,0.5789473684210527,1.3818181818181818,False
2,R1,MLB_DEBUT,50,60,50-60%,2.346024014683261,3.406214693538988,2.9295087747796877,6,4,0.6666666666666666,0.5789473684210527,1.1515151515151514,False
2,R1,MLB_DEBUT,60,70,60-70%,1.3303963723370629,2.2163257939206953,1.8191570621019901,6,2,0.3333333333333333,0.5789473684210527,0.5757575757575757,False
2,R1,MLB_DEBUT,70,80,70-80%,0.5812732805983456,1.236932228683692,0.9118235486050863,6,3,0.5,0.5789473684210527,0.8636363636363636,False
2,R1,MLB_DEBUT,80,90,80-90%,0.21261080083127312,0.5555869841934302,0.36804225201774193,5,0,0.0,0.5789473684210527,0.0,False
2,R1,MLB_DEBUT,90,95,90-95%,0.07440024116117494,0.16519735715662898,0.11652479947896098,3,0,0.0,0.5789473684210527,0.0,False
2,R1,MLB_DEBUT,95,99,95-99%,0.057046502174232266,0.0634463175659836,0.06024640987010793,2,0,0.0,0.5789473684210527,0.0,False
2,R1,MLB_DEBUT,99,100,99-100%,0.05545038173228842,0.05545038173228842,0.05545038173228842,1,0,0.0,0.5789473684210527,0.0,False
2,R1,ESTABLISHED_MLB,0,10,0-10%,9.436281327534813,10.101418682750582,9.844802682960985,6,3,0.5,0.22807017543859648,2.1923076923076925,False
2,R1,ESTABLISHED_MLB,10,20,10-20%,8.654716028706789,9.068942075735997,8.855165449807334,5,1,0.2,0.22807017543859648,0.876923076923077,False
2,R1,ESTABLISHED_MLB,20,30,20-30%,8.050592345480398,8.610401557780953,8.372711795121655,6,4,0.6666666666666666,0.22807017543859648,2.923076923076923,False
2,R1,ESTABLISHED_MLB,30,40,30-40%,6.016466370772403,7.925562762514175,7.148434793729918,6,1,0.16666666666666666,0.22807017543859648,0.7307692307692307,False
2,R1,ESTABLISHED_MLB,40,50,40-50%,3.4643637014964748,5.847642777757338,5.014012046896061,5,0,0.0,0.22807017543859648,0.0,False
2,R1,ESTABLISHED_MLB,50,60,50-60%,2.346024014683261,3.406214693538988,2.9295087747796877,6,2,0.3333333333333333,0.22807017543859648,1.4615384615384615,False
2,R1,ESTABLISHED_MLB,60,70,60-70%,1.3303963723370629,2.2163257939206953,1.8191570621019901,6,1,0.16666666666666666,0.22807017543859648,0.7307692307692307,False
2,R1,ESTABLISHED_MLB,70,80,70-80%,0.5812732805983456,1.236932228683692,0.9118235486050863,6,1,0.16666666666666666,0.22807017543859648,0.7307692307692307,False
2,R1,ESTABLISHED_MLB,80,90,80-90%,0.21261080083127312,0.5555869841934302,0.36804225201774193,5,0,0.0,0.22807017543859648,0.0,False
2,R1,ESTABLISHED_MLB,90,95,90-95%,0.07440024116117494,0.16519735715662898,0.11652479947896098,3,0,0.0,0.22807017543859648,0.0,False
2,R1,ESTABLISHED_MLB,95,99,95-99%,0.057046502174232266,0.0634463175659836,0.06024640987010793,2,0,0.0,0.22807017543859648,0.0,False
2,R1,ESTABLISHED_MLB,99,100,99-100%,0.05545038173228842,0.05545038173228842,0.05545038173228842,1,0,0.0,0.22807017543859648,0.0,False
2,R1,STAR_PLUS_ELITE,0,10,0-10%,9.436281327534813,10.101418682750582,9.844802682960985,6,0,0.0,0.08771929824561403,0.0,False
2,R1,STAR_PLUS_ELITE,10,20,10-20%,8.654716028706789,9.068942075735997,8.855165449807334,5,1,0.2,0.08771929824561403,2.2800000000000002,False
2,R1,STAR_PLUS_ELITE,20,30,20-30%,8.050592345480398,8.610401557780953,8.372711795121655,6,2,0.3333333333333333,0.08771929824561403,3.8,False
2,R1,STAR_PLUS_ELITE,30,40,30-40%,6.016466370772403,7.925562762514175,7.148434793729918,6,0,0.0,0.08771929824561403,0.0,False
2,R1,STAR_PLUS_ELITE,40,50,40-50%,3.4643637014964748,5.847642777757338,5.014012046896061,5,0,0.0,0.08771929824561403,0.0,False
2,R1,STAR_PLUS_ELITE,50,60,50-60%,2.346024014683261,3.406214693538988,2.9295087747796877,6,1,0.16666666666666666,0.08771929824561403,1.9,False
2,R1,STAR_PLUS_ELITE,60,70,60-70%,1.3303963723370629,2.2163257939206953,1.8191570621019901,6,1,0.16666666666666666,0.08771929824561403,1.9,False
2,R1,STAR_PLUS_ELITE,70,80,70-80%,0.5812732805983456,1.236932228683692,0.9118235486050863,6,0,0.0,0.08771929824561403,0.0,False
2,R1,STAR_PLUS_ELITE,80,90,80-90%,0.21261080083127312,0.5555869841934302,0.36804225201774193,5,0,0.0,0.08771929824561403,0.0,False
2,R1,STAR_PLUS_ELITE,90,95,90-95%,0.07440024116117494,0.16519735715662898,0.11652479947896098,3,0,0.0,0.08771929824561403,0.0,False
2,R1,STAR_PLUS_ELITE,95,99,95-99%,0.057046502174232266,0.0634463175659836,0.06024640987010793,2,0,0.0,0.08771929824561403,0.0,False
2,R1,STAR_PLUS_ELITE,99,100,99-100%,0.05545038173228842,0.05545038173228842,0.05545038173228842,1,0,0.0,0.08771929824561403,0.0,False
2,R2-R3,TOP_100_PROSPECT,0,10,0-10%,8.629119899215947,9.193155281141335,8.903885960575355,9,1,0.1111111111111111,0.05434782608695652,2.0444444444444443,False
