snap_offset,bucket,event,target_rate,score_threshold,k,realized,rate,base_rate,lift,pct_of_cohort,achievable
2,R2-R3,ESTABLISHED_MLB,0.1,-0.012493572399106145,98,16,0.16326530612244897,0.16326530612244897,1.0,1.0,True
2,R2-R3,ESTABLISHED_MLB,0.25,3.8089247435051807,52,13,0.25,0.16326530612244897,1.5312500000000002,0.5306122448979592,True
2,R2-R3,ESTABLISHED_MLB,0.5,8.460448388130033,14,7,0.5,0.16326530612244897,3.0625000000000004,0.14285714285714285,True
2,R2-R3,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.16326530612244897,nan,nan,False
2,R2-R3,STAR_PLUS_ELITE,0.05,5.949354440869622,40,2,0.05,0.02040816326530612,2.45,0.40816326530612246,True
2,R2-R3,STAR_PLUS_ELITE,0.1,7.771523686795209,20,2,0.1,0.02040816326530612,4.9,0.20408163265306123,True
2,R2-R3,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.02040816326530612,nan,nan,False
2,R2-R3,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.02040816326530612,nan,nan,False
2,R2-R3,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.02040816326530612,nan,nan,False
2,R4-R10,TOP_100_PROSPECT,0.05,7.6850566969887835,20,1,0.05,0.007194244604316547,6.95,0.07194244604316546,True
2,R4-R10,TOP_100_PROSPECT,0.1,8.32672092252173,10,1,0.1,0.007194244604316547,13.9,0.03597122302158273,True
2,R4-R10,TOP_100_PROSPECT,0.25,nan,0,0,nan,0.007194244604316547,nan,nan,False
2,R4-R10,TOP_100_PROSPECT,0.5,nan,0,0,nan,0.007194244604316547,nan,nan,False
2,R4-R10,TOP_100_PROSPECT,0.75,nan,0,0,nan,0.007194244604316547,nan,nan,False
2,R4-R10,MLB_DEBUT,0.05,-0.11260254323907587,279,64,0.22939068100358423,0.22939068100358423,1.0,1.0,True
2,R4-R10,MLB_DEBUT,0.1,-0.11260254323907587,279,64,0.22939068100358423,0.22939068100358423,1.0,1.0,True
2,R4-R10,MLB_DEBUT,0.25,0.01722393420705781,256,64,0.25,0.22939068100358423,1.08984375,0.9175627240143369,True
2,R4-R10,MLB_DEBUT,0.5,3.7014149661822717,52,26,0.5,0.22939068100358423,2.1796875,0.1863799283154122,True
2,R4-R10,MLB_DEBUT,0.75,nan,0,0,nan,0.22939068100358423,nan,nan,False
2,R4-R10,ESTABLISHED_MLB,0.05,-0.11260254323907587,279,15,0.053763440860215055,0.053763440860215055,1.0,1.0,True
2,R4-R10,ESTABLISHED_MLB,0.1,0.6225331946980748,130,13,0.1,0.053763440860215055,1.86,0.4659498207885305,True
2,R4-R10,ESTABLISHED_MLB,0.25,5.955931190498189,32,8,0.25,0.053763440860215055,4.65,0.11469534050179211,True
2,R4-R10,ESTABLISHED_MLB,0.5,nan,0,0,nan,0.053763440860215055,nan,nan,False
2,R4-R10,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.053763440860215055,nan,nan,False
2,R4-R10,STAR_PLUS_ELITE,0.05,3.0632094175168305,60,3,0.05,0.010752688172043012,4.6499999999999995,0.21505376344086022,True
2,R4-R10,STAR_PLUS_ELITE,0.1,6.562990502233381,30,3,0.1,0.010752688172043012,9.299999999999999,0.10752688172043011,True
2,R4-R10,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.010752688172043012,nan,nan,False
2,R4-R10,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.010752688172043012,nan,nan,False
2,R4-R10,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.010752688172043012,nan,nan,False
2,R10+,TOP_100_PROSPECT,0.05,5.374725042603847,20,1,0.05,0.001702127659574468,29.375000000000004,0.01702127659574468,True
2,R10+,TOP_100_PROSPECT,0.1,7.277705515285826,10,1,0.1,0.001702127659574468,58.75000000000001,0.00851063829787234,True
2,R10+,TOP_100_PROSPECT,0.25,nan,0,0,nan,0.001702127659574468,nan,nan,False
2,R10+,TOP_100_PROSPECT,0.5,nan,0,0,nan,0.001702127659574468,nan,nan,False
2,R10+,TOP_100_PROSPECT,0.75,nan,0,0,nan,0.001702127659574468,nan,nan,False
2,R10+,MLB_DEBUT,0.05,-0.14384160334367835,1176,79,0.06717687074829932,0.06717687074829932,1.0,1.0,True
2,R10+,MLB_DEBUT,0.1,0.0060786935330678915,760,76,0.1,0.06717687074829932,1.4886075949367088,0.6462585034013606,True
2,R10+,MLB_DEBUT,0.25,0.2775871964596384,228,57,0.25,0.06717687074829932,3.721518987341772,0.19387755102040816,True
2,R10+,MLB_DEBUT,0.5,3.289486265506528,42,21,0.5,0.06717687074829932,7.443037974683544,0.03571428571428571,True
2,R10+,MLB_DEBUT,0.75,nan,0,0,nan,0.06717687074829932,nan,nan,False
2,R10+,ESTABLISHED_MLB,0.05,0.5348519553161915,160,8,0.05,0.007653061224489796,6.533333333333334,0.1360544217687075,True
2,R10+,ESTABLISHED_MLB,0.1,1.7502290022992089,70,7,0.1,0.007653061224489796,13.066666666666668,0.05952380952380952,True
2,R10+,ESTABLISHED_MLB,0.25,nan,0,0,nan,0.007653061224489796,nan,nan,False
2,R10+,ESTABLISHED_MLB,0.5,nan,0,0,nan,0.007653061224489796,nan,nan,False
2,R10+,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.007653061224489796,nan,nan,False
2,R10+,STAR_PLUS_ELITE,0.05,5.72328708860312,20,1,0.05,0.002551020408163265,19.6,0.017006802721088437,True
2,R10+,STAR_PLUS_ELITE,0.1,7.847501784773407,10,1,0.1,0.002551020408163265,39.2,0.008503401360544218,True
2,R10+,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.002551020408163265,nan,nan,False
2,R10+,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.002551020408163265,nan,nan,False
2,R10+,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.002551020408163265,nan,nan,False
2,IFA,TOP_100_PROSPECT,0.05,4.107103954963014,40,2,0.05,0.007076755579749592,7.065384615384616,0.021774632553075667,True
2,IFA,TOP_100_PROSPECT,0.1,7.1512561993395645,10,1,0.1,0.007076755579749592,14.130769230769232,0.005443658138268917,True
2,IFA,TOP_100_PROSPECT,0.25,nan,0,0,nan,0.007076755579749592,nan,nan,False
2,IFA,TOP_100_PROSPECT,0.5,nan,0,0,nan,0.007076755579749592,nan,nan,False
2,IFA,TOP_100_PROSPECT,0.75,nan,0,0,nan,0.007076755579749592,nan,nan,False
2,IFA,MLB_DEBUT,0.05,-1.0585580305690225,1848,133,0.07196969696969698,0.07196969696969698,1.0,1.0,True
2,IFA,MLB_DEBUT,0.1,0.012909382719138801,1230,123,0.1,0.07196969696969698,1.3894736842105262,0.6655844155844156,True
2,IFA,MLB_DEBUT,0.25,0.17829920467761828,372,93,0.25,0.07196969696969698,3.4736842105263155,0.2012987012987013,True
2,IFA,MLB_DEBUT,0.5,1.5260755850442824,106,53,0.5,0.07196969696969698,6.947368421052631,0.05735930735930736,True
2,IFA,MLB_DEBUT,0.75,7.1512561993395645,18,14,0.7777777777777778,0.07196969696969698,10.807017543859649,0.00974025974025974,True
2,IFA,ESTABLISHED_MLB,0.05,0.16658237925628416,380,19,0.05,0.011904761904761904,4.2,0.20562770562770563,True
2,IFA,ESTABLISHED_MLB,0.1,0.9908572594009464,160,16,0.1,0.011904761904761904,8.4,0.08658008658008658,True
2,IFA,ESTABLISHED_MLB,0.25,nan,0,0,nan,0.011904761904761904,nan,nan,False
2,IFA,ESTABLISHED_MLB,0.5,nan,0,0,nan,0.011904761904761904,nan,nan,False
2,IFA,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.011904761904761904,nan,nan,False
2,IFA,STAR_PLUS_ELITE,0.05,6.898981814659033,20,1,0.05,0.003787878787878788,13.200000000000001,0.010822510822510822,True
2,IFA,STAR_PLUS_ELITE,0.1,8.220704584217057,10,1,0.1,0.003787878787878788,26.400000000000002,0.005411255411255411,True
2,IFA,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.003787878787878788,nan,nan,False
2,IFA,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.003787878787878788,nan,nan,False
2,IFA,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.003787878787878788,nan,nan,False
