event,snap_offset,mean_fwd_years,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%
TOP_100_PROSPECT,0,14.638303927148549,3503,83,0.023693976591493006,0.00825480829811547,0.9371133657436764,0.9088593214378855,0.958968932664061,0.019145395148739797,0.1723620229030426,0.016250666448633884,0.0,27.73459552495697,0.27710843373493976,35,13.5055421686747,0.6746987951807228,175,7.596867469879518,0.7590361445783133,350
TOP_100_PROSPECT,1,13.605331040412725,3468,61,0.017589388696655134,0.011736073603782565,0.958465454440472,0.9357235606545454,0.9781049659656443,0.010671676089720764,0.38242622733668963,0.007135656270600383,1.9423923851569214e-06,43.857611241217796,0.4426229508196721,35,15.445465744338101,0.7704918032786885,173,8.51967685548259,0.8524590163934426,347
TOP_100_PROSPECT,2,12.585887796414113,3417,32,0.009364940005853088,0.00885350134191728,0.9531388478581979,0.9335430465913017,0.9745660350653835,0.005872170358157689,0.3670346261914751,0.002609469340229535,0.6551344145820688,53.390625,0.53125,34,13.737938596491228,0.6875,171,7.493421052631579,0.75,342
TOP_100_PROSPECT,3,11.579273693534102,3350,16,0.004776119402985075,0.006143868539624942,0.9890709358128374,0.9797859905809955,0.998093962774378,0.0032378428189554767,0.31882327842441827,0.0017583370708118488,0.1831619319930735,67.73897058823529,0.6875,34,18.694196428571427,0.9375,168,10.0,1.0,335
TOP_100_PROSPECT,4,10.59629404617254,3267,6,0.0018365472910927456,0.0031610398462410426,0.9987733823980375,0.9960930359260457,1.0,0.0005289904992209005,0.7114347093714123,0.00146980228055,0.07557763579878918,99.0,1.0,33,20.042944785276074,1.0,163,9.990825688073395,1.0,327
TOP_100_PROSPECT,5,9.634321372854915,3187,0,0.0,0.001059738787906403,nan,nan,nan,2.5948034898340104e-05,nan,0.001059738787906403,0.06278825926849518,nan,nan,0,nan,nan,0,nan,nan,0
TOP_100_PROSPECT,6,8.653054764165875,3145,0,0.0,0.000913273351545777,nan,nan,nan,2.5698208873590746e-06,nan,0.000913273351545777,0.08966655341209817,nan,nan,0,nan,nan,0,nan,nan,0
TOP_100_PROSPECT,7,7.6885403329065305,3117,0,0.0,0.006794673038860299,nan,nan,nan,0.000508362737229321,nan,0.0067946730388603,1.7139001384780528e-06,nan,nan,0,nan,nan,0,nan,nan,0
TOP_100_PROSPECT,8,7.26401384083045,2885,0,0.0,0.011858571077093993,nan,nan,nan,0.0009478322653458284,nan,0.011858571077093993,1.0749083845240648e-09,nan,nan,0,nan,nan,0,nan,nan,0
TOP_100_PROSPECT,9,6.766407119021134,2692,0,0.0,0.014833902852183794,nan,nan,nan,0.0010663657229787085,nan,0.014833902852183792,5.402078784300102e-11,nan,nan,0,nan,nan,0,nan,nan,0
TOP_100_PROSPECT,10,6.292233787029624,2493,0,0.0,0.019501124478383532,nan,nan,nan,0.001607661296722775,nan,0.019501124478383532,3.361755318564974e-13,nan,nan,0,nan,nan,0,nan,nan,0
MLB_DEBUT,0,14.638303927148549,3514,421,0.11980648833238475,0.022948355320086742,0.7883582036826701,0.771677981411325,0.806032284611,0.10896627613226706,-0.033317079537777516,0.10181151057810361,0.0,5.723515439429929,0.057007125890736345,35,3.4620222414165407,0.17339667458432304,176,3.0200648300410773,0.3016627078384798,351
MLB_DEBUT,1,13.605331040412725,3489,396,0.11349957007738606,0.041530365728362245,0.8170290032559675,0.7976815936666861,0.8366362460622369,0.09152398485833953,0.09037632869044876,0.07785735318903103,0.0,5.538095238095238,0.05555555555555555,35,5.266109369557646,0.26262626262626265,174,3.9382651732221934,0.3939393939393939,349
MLB_DEBUT,2,12.585887796414113,3458,365,0.10555234239444766,0.07686377844733311,0.8647108583677682,0.8465109071427689,0.8855699581699876,0.07184193756827455,0.23905156164014985,0.04603086465360882,0.0,8.391232876712328,0.08493150684931507,35,6.242964605273577,0.31232876712328766,173,5.175089080687306,0.5178082191780822,346
MLB_DEBUT,3,11.579273693534102,3387,294,0.08680248007085917,0.09542084915602889,0.9036512115353739,0.8873586175538266,0.9207017110821413,0.05353062208540286,0.3246864975003464,0.024318868200142528,0.0126949213571792,11.18157262905162,0.11224489795918367,34,8.043835285593527,0.4013605442176871,169,6.11703088314972,0.6122448979591837,339
MLB_DEBUT,4,10.59629404617254,3292,199,0.060449574726609966,0.08735688879019045,0.9183583614808605,0.8966315938953865,0.9380575847052771,0.03949417836242163,0.3046239321784302,0.0269078951251301,3.6215475063272606e-13,14.036241815136288,0.1407035175879397,33,10.226404751027866,0.5125628140703518,165,6.9388889737441,0.6934673366834171,329
MLB_DEBUT,5,9.634321372854915,3205,112,0.03494539781591264,0.07413716221483758,0.918687358551568,0.8884001438741844,0.9488638203859491,0.028904456905283465,0.142916886222073,0.039191764398924946,0.0,16.990792410714285,0.16964285714285715,32,12.340680803571429,0.6160714285714286,160,7.69056919642857,0.7678571428571429,320
MLB_DEBUT,6,8.653054764165875,3159,66,0.020892687559354226,0.0712811208977071,0.9266868490922808,0.8857250623452164,0.9522739523332002,0.02374399626137459,-0.16072466054926804,0.05038843333835289,0.0,31.410511363636363,0.3181818181818182,32,12.420310701956272,0.6212121212121212,158,7.421892980437284,0.7424242424242424,316
