event,bucket,snap_offset,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%
TOP_100_PROSPECT,ALL,2,3417,32,0.009364940005853088,0.00885350134191728,0.9531388478581979,0.9335430465913017,0.9745660350653835,0.005872170358157689,0.3670346261914751,0.002609469340229535,0.6551344145820688,53.390625,0.53125,34,13.737938596491228,0.6875,171,7.493421052631579,0.75,342
TOP_100_PROSPECT,R1,2,35,10,0.2857142857142857,0.18287571879692288,0.988,0.9489439132296275,1.0,0.08563809057359453,0.5803733561893868,0.10283856691736284,0.00494657622874195,3.5,0.1,1,3.5,0.2,2,3.5,0.4,4
TOP_100_PROSPECT,R2-R3,2,92,5,0.05434782608695652,0.08832999942198684,0.7310344827586207,0.44364522794782385,1.0,0.04709916594466991,0.08356933205589379,0.054149315367268205,0.09237169575803916,18.400000000000002,0.2,1,11.04,0.6,5,6.133333333333333,0.6,9
TOP_100_PROSPECT,R4-R10,2,278,2,0.007194244604316547,0.015734771799738118,0.8985507246376812,0.7620938628158844,1.0,0.005719335979275013,0.19925151843788014,0.009052167750409635,0.1642716992931832,46.33333333333333,0.5,3,9.928571428571427,0.5,14,4.9642857142857135,0.5,28
TOP_100_PROSPECT,R10+,2,1175,2,0.001702127659574468,0.0025901849006958492,0.9646206308610401,0.9183986371379899,1.0,0.0009865218381820337,0.4194302161807032,0.000888111809837703,0.44657716878113307,48.95833333333333,0.5,12,9.957627118644067,0.5,59,9.957627118644067,1.0,118
TOP_100_PROSPECT,IFA,2,1837,13,0.007076755579749592,0.004522411628726965,0.9329453441295548,0.884726056175895,0.9715962131614461,0.005435825321032681,0.22640150060003617,0.003462216188472717,0.04394928289624356,47.1025641025641,0.46153846153846156,18,10.751672240802677,0.5384615384615384,92,6.9117892976588635,0.6923076923076923,184
MLB_DEBUT,ALL,2,3458,365,0.10555234239444766,0.07686377844733311,0.8647108583677682,0.8465109071427689,0.8855699581699876,0.07184193756827455,0.23905156164014985,0.04603086465360882,0.0,8.391232876712328,0.08493150684931507,35,6.242964605273577,0.31232876712328766,173,5.175089080687306,0.5178082191780822,346
MLB_DEBUT,R1,2,57,33,0.5789473684210527,0.4584535691711781,0.8623737373737375,0.7601074777737181,0.9642378917378917,0.18772354032401342,0.22990684026171782,0.20183638916476448,0.002794226205777628,1.7272727272727273,0.030303030303030304,1,1.7272727272727273,0.09090909090909091,3,1.4393939393939394,0.15151515151515152,6
MLB_DEBUT,R2-R3,2,98,56,0.5714285714285714,0.465920907144069,0.8001700680272109,0.6894225644305593,0.8796550694911351,0.20707582318607556,0.15444038865685805,0.14744125790589346,0.0016555632737380588,1.75,0.017857142857142856,1,1.75,0.08928571428571429,5,1.5750000000000002,0.16071428571428573,10
MLB_DEBUT,R4-R10,2,279,64,0.22939068100358423,0.20874571949380394,0.7406976744186047,0.6814870178542,0.8165637841470065,0.17551673339620916,0.007093165385587241,0.1298235531963282,0.2193932524728155,2.90625,0.03125,3,2.802455357142857,0.140625,14,2.4910714285714284,0.25,28
MLB_DEBUT,R10+,2,1176,79,0.06717687074829932,0.047629193156576925,0.8599056113912511,0.8189864548762487,0.8958085891416581,0.054456129360571696,0.13098415750013293,0.03473622517270704,5.2169260523537986e-05,8.683544303797468,0.08860759493670886,12,5.803046556532933,0.2911392405063291,59,4.919974254451834,0.4936708860759494,118
