model,h,n,ap,auc,calib,ece,brier,top_n,top_pred,top_actual
A (deployed v2.4),1,45376,0.3839968431560011,0.9651193594473433,0.872753966266239,0.0031313632218167194,0.01310319686248738,67,0.7673081191118433,0.7014925373134329
A (deployed v2.4),3,42119,0.5221769364632545,0.9424199742684868,0.8846166595116041,0.007155132671763467,0.033854031302868015,395,0.8147895991228434,0.7772151898734178
A (deployed v2.4),6,35279,0.5630618574613828,0.9239464793269008,0.9188058503792924,0.009894645836973718,0.0528543038670692,632,0.8034173434569235,0.7927215189873418
v3 (recency),1,45376,0.39209856351359906,0.9504981745473824,0.8949968008209737,0.002540821027967893,0.013037481381440107,61,0.7694768114411666,0.7377049180327869
v3 (recency),3,42119,0.5297932567402275,0.931423569839024,0.9447853684959606,0.005295586667493404,0.033897509302606384,482,0.8228804504032685,0.7904564315352697
v3 (recency),6,35279,0.5492972780121587,0.9074542828399327,0.9148454695822029,0.009937065172590734,0.05440360840424445,666,0.8120672229707584,0.7957957957957958
v3-flat,1,45376,0.404062541355646,0.9654807961030301,0.9680090813971024,0.0010192215036590904,0.012798064482738599,66,0.7643815805711989,0.7121212121212122
v3-flat,3,42119,0.5419549822611142,0.9425928719318126,0.9803284202000757,0.003990018700894671,0.033257821456057005,515,0.8255869537394218,0.7902912621359224
v3-flat,6,35279,0.5709000698147437,0.9234396571509923,0.9547742210606879,0.008549561692216196,0.052551219288014754,704,0.8212981528242299,0.7954545454545454
