event,h,d_ap,lo,hi
TOP_100_PROSPECT,3,-0.010437081141453626,-0.023914581560450104,0.0038235911062864192
TOP_100_PROSPECT,6,-0.010610530826056978,-0.022385502128954227,0.0023539240843536424
MLB_DEBUT,3,0.001073167545112928,-0.0035522344536650665,0.00588667447020205
MLB_DEBUT,6,-0.0012526868082281231,-0.00536139270885041,0.002263382732229364
ESTABLISHED_MLB,3,0.0061018607921136826,-0.008201567755912149,0.02244901698638637
ESTABLISHED_MLB,6,-0.0019013754727137178,-0.011574280275986247,0.007531806319253362
STAR_PLUS_ELITE,3,0.001653800728523184,-0.016822647991389158,0.02837929017937439
STAR_PLUS_ELITE,6,-0.0026171233262551963,-0.011504565540621988,0.0063480156225709265
