========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17_prod.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  R2-R3        30-40%    10    0   0.0%   0.00    +5.989    +6.931     +6.445
  R2-R3        40-50%    10    0   0.0%   0.00    +4.212    +5.949     +5.171
  R2-R3        50-60%    10    2  20.0%   1.23    +2.221    +4.047     +3.019
  R2-R3        60-70%    10    1  10.0%   0.61    +1.200    +2.174     +1.694
  R2-R3        70-80%     9    0   0.0%   0.00    +0.355    +1.081     +0.591
  R2-R3        80-90%    10    1  10.0%   0.61    +0.138    +0.345     +0.246
  R2-R3        90-95%     5    0   0.0%   0.00    +0.058    +0.112     +0.077
  R2-R3        95-99%     4    0   0.0%   0.00    +0.026    +0.055     +0.043
  R2-R3       99-100%     1    0   0.0%   0.00    -0.012    -0.012     -0.012
  R4-R10        0-10%    28    6  21.4%   3.99    +7.200    +9.736     +8.142
  R4-R10       10-20%    28    2   7.1%   1.33    +3.344    +7.136     +4.802
  R4-R10       20-30%    28    1   3.6%   0.66    +1.577    +3.229     +2.383
  R4-R10       30-40%    28    3  10.7%   1.99    +0.813    +1.573     +1.090
  R4-R10       40-50%    28    1   3.6%   0.66    +0.510    +0.791     +0.656
  R4-R10       50-60%    27    0   0.0%   0.00    +0.318    +0.472     +0.388
  R4-R10       60-70%    28    0   0.0%   0.00    +0.171    +0.312     +0.244
  R4-R10       70-80%    28    1   3.6%   0.66    +0.082    +0.167     +0.121
  R4-R10       80-90%    28    0   0.0%   0.00    +0.032    +0.077     +0.053
  R4-R10       90-95%    14    1   7.1%   1.33    -0.010    +0.031     +0.013
  R4-R10       95-99%    11    0   0.0%   0.00    -0.080    -0.011     -0.041
  R4-R10      99-100%     3    0   0.0%   0.00    -0.113    -0.087     -0.100
  R10+          0-10%   118    7   5.9%   7.75    +0.919    +9.845     +3.114
  R10+         10-20%   117    1   0.9%   1.12    +0.259    +0.919     +0.485
  R10+         20-30%   118    1   0.8%   1.11    +0.109    +0.258     +0.176
  R10+         30-40%   117    0   0.0%   0.00    +0.039    +0.108     +0.066
  R10+         40-50%   118    0   0.0%   0.00    +0.025    +0.039     +0.036
  R10+         50-60%   118    0   0.0%   0.00    +0.010    +0.024     +0.013
  R10+         60-70%   117    0   0.0%   0.00    -0.015    +0.010     +0.001
  R10+         70-80%   118    0   0.0%   0.00    -0.040    -0.015     -0.027
  R10+         80-90%   117    0   0.0%   0.00    -0.067    -0.041     -0.052
  R10+         90-95%    59    0   0.0%   0.00    -0.085    -0.067     -0.075
  R10+         95-99%    47    0   0.0%   0.00    -0.095    -0.086     -0.091
  R10+        99-100%    12    0   0.0%   0.00    -0.144    -0.095     -0.118
  IFA           0-10%   185   16   8.6%   7.26    +0.754    +9.707     +2.954
  IFA          10-20%   185    3   1.6%   1.36    +0.183    +0.751     +0.388
  IFA          20-30%   184    1   0.5%   0.46    +0.069    +0.179     +0.101
  IFA          30-40%   185    1   0.5%   0.45    +0.058    +0.068     +0.062
  IFA          40-50%   185    0   0.0%   0.00    +0.037    +0.058     +0.044
  IFA          50-60%   185    0   0.0%   0.00    +0.031    +0.037     +0.034
  IFA          60-70%   185    1   0.5%   0.45    +0.009    +0.031     +0.016
  IFA          70-80%   184    0   0.0%   0.00    -0.015    +0.009     -0.003
  IFA          80-90%   185    0   0.0%   0.00    -0.060    -0.015     -0.033
  IFA          90-95%    93    0   0.0%   0.00    -0.091    -0.060     -0.072
  IFA          95-99%    74    0   0.0%   0.00    -0.294    -0.092     -0.163
  IFA         99-100%    18    0   0.0%   0.00    -1.059    -0.301     -0.407

--- event: STAR_PLUS_ELITE ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  ALL           0-10%   346   13   3.8%   6.50    +1.792   +10.101     +5.234
  ALL          10-20%   346    5   1.4%   2.50    +0.443    +1.768     +0.927
  ALL          20-30%   345    0   0.0%   0.00    +0.150    +0.442     +0.272
  ALL          30-40%   346    1   0.3%   0.50    +0.064    +0.150     +0.094
  ALL          40-50%   346    0   0.0%   0.00    +0.039    +0.064     +0.054
  ALL          50-60%   346    1   0.3%   0.50    +0.032    +0.039     +0.036
  ALL          60-70%   346    0   0.0%   0.00    +0.010    +0.032     +0.016
  ALL          70-80%   345    0   0.0%   0.00    -0.017    +0.010     -0.003
  ALL          80-90%   346    0   0.0%   0.00    -0.059    -0.017     -0.037
  ALL          90-95%   173    0   0.0%   0.00    -0.084    -0.059     -0.070
  ALL          95-99%   138    0   0.0%   0.00    -0.227    -0.085     -0.111
  ALL         99-100%    35    0   0.0%   0.00    -1.059    -0.227     -0.336
  R1            0-10%     6    0   0.0%   0.00    +9.436   +10.101     +9.845
  R1           10-20%     5    1  20.0%   2.28    +8.655    +9.069     +8.855
  R1           20-30%     6    2  33.3%   3.80    +8.051    +8.610     +8.373
  R1           30-40%     6    0   0.0%   0.00    +6.016    +7.926     +7.148
  R1           40-50%     5    0   0.0%   0.00    +3.464    +5.848     +5.014
  R1           50-60%     6    1  16.7%   1.90    +2.346    +3.406     +2.930
  R1           60-70%     6    1  16.7%   1.90    +1.330    +2.216     +1.819
  R1           70-80%     6    0   0.0%   0.00    +0.581    +1.237     +0.912
  R1           80-90%     5    0   0.0%   0.00    +0.213    +0.556     +0.368
  R1           90-95%     3    0   0.0%   0.00    +0.074    +0.165     +0.117
  R1           95-99%     2    0   0.0%   0.00    +0.057    +0.063     +0.060
  R1          99-100%     1    0   0.0%   0.00    +0.055    +0.055     +0.055
  R2-R3         0-10%    10    2  20.0%   9.80    +8.735    +9.922     +9.113
  R2-R3        10-20%    10    0   0.0%   0.00    +7.772    +8.671     +8.250
  R2-R3        20-30%     9    0   0.0%   0.00    +7.121    +7.733     +7.400
  R2-R3        30-40%    10    0   0.0%   0.00    +5.989    +6.931     +6.445
  R2-R3        40-50%    10    0   0.0%   0.00    +4.212    +5.949     +5.171
  R2-R3        50-60%    10    0   0.0%   0.00    +2.221    +4.047     +3.019
  R2-R3        60-70%    10    0   0.0%   0.00    +1.200    +2.174     +1.694
  R2-R3        70-80%     9    0   0.0%   0.00    +0.355    +1.081     +0.591
  R2-R3        80-90%    10    0   0.0%   0.00    +0.138    +0.345     +0.246
  R2-R3        90-95%     5    0   0.0%   0.00    +0.058    +0.112     +0.077
  R2-R3        95-99%     4    0   0.0%   0.00    +0.026    +0.055     +0.043
  R2-R3       99-100%     1    0   0.0%   0.00    -0.012    -0.012     -0.012
  R4-R10        0-10%    28    2   7.1%   6.64    +7.200    +9.736     +8.142
  R4-R10       10-20%    28    1   3.6%   3.32    +3.344    +7.136     +4.802
  R4-R10       20-30%    28    0   0.0%   0.00    +1.577    +3.229     +2.383
  R4-R10       30-40%    28    0   0.0%   0.00    +0.813    +1.573     +1.090
  R4-R10       40-50%    28    0   0.0%   0.00    +0.510    +0.791     +0.656
  R4-R10       50-60%    27    0   0.0%   0.00    +0.318    +0.472     +0.388
  R4-R10       60-70%    28    0   0.0%   0.00    +0.171    +0.312     +0.244
  R4-R10       70-80%    28    0   0.0%   0.00    +0.082    +0.167     +0.121
  R4-R10       80-90%    28    0   0.0%   0.00    +0.032    +0.077     +0.053
  R4-R10       90-95%    14    0   0.0%   0.00    -0.010    +0.031     +0.013
  R4-R10       95-99%    11    0   0.0%   0.00    -0.080    -0.011     -0.041
  R4-R10      99-100%     3    0   0.0%   0.00    -0.113    -0.087     -0.100
  R10+          0-10%   118    1   0.8%   3.32    +0.919    +9.845     +3.114
  R10+         10-20%   117    1   0.9%   3.35    +0.259    +0.919     +0.485
  R10+         20-30%   118    0   0.0%   0.00    +0.109    +0.258     +0.176
  R10+         30-40%   117    0   0.0%   0.00    +0.039    +0.108     +0.066
  R10+         40-50%   118    1   0.8%   3.32    +0.025    +0.039     +0.036
  R10+         50-60%   118    0   0.0%   0.00    +0.010    +0.024     +0.013
  R10+         60-70%   117    0   0.0%   0.00    -0.015    +0.010     +0.001
  R10+         70-80%   118    0   0.0%   0.00    -0.040    -0.015     -0.027
  R10+         80-90%   117    0   0.0%   0.00    -0.067    -0.041     -0.052
  R10+         90-95%    59    0   0.0%   0.00    -0.085    -0.067     -0.075
  R10+         95-99%    47    0   0.0%   0.00    -0.095    -0.086     -0.091
  R10+        99-100%    12    0   0.0%   0.00    -0.144    -0.095     -0.118
  IFA           0-10%   185    5   2.7%   7.14    +0.754    +9.707     +2.954
  IFA          10-20%   185    1   0.5%   1.43    +0.183    +0.751     +0.388
  IFA          20-30%   184    1   0.5%   1.43    +0.069    +0.179     +0.101
  IFA          30-40%   185    0   0.0%   0.00    +0.058    +0.068     +0.062
  IFA          40-50%   185    0   0.0%   0.00    +0.037    +0.058     +0.044
  IFA          50-60%   185    0   0.0%   0.00    +0.031    +0.037     +0.034
  IFA          60-70%   185    0   0.0%   0.00    +0.009    +0.031     +0.016
  IFA          70-80%   184    0   0.0%   0.00    -0.015    +0.009     -0.003
  IFA          80-90%   185    0   0.0%   0.00    -0.060    -0.015     -0.033
  IFA          90-95%    93    0   0.0%   0.00    -0.091    -0.060     -0.072
  IFA          95-99%    74    0   0.0%   0.00    -0.294    -0.092     -0.163
  IFA         99-100%    18    0   0.0%   0.00    -1.059    -0.301     -0.407

THRESHOLDS: smallest score s.t. realized rate >= target  (k = players above)

--- event: TOP_100_PROSPECT ---
  bucket    target   score>=     k  pos   rate   lift  %cohort
  ALL           5%    +0.991   440   22   5.0%   5.34   12.88%
  ALL          10%    +5.806   120   12  10.0%  10.68    3.51%
  ALL          25%    +8.500    28    7  25.0%  26.70    0.82%
  ALL          50%    +8.781    12    6  50.0%  53.39    0.35%
  ALL          75%         -     -    -      -      -        -
  R1            5%    +0.055    35   10  28.6%   1.00  100.00%
  R1           10%    +0.055    35   10  28.6%   1.00  100.00%
  R1           25%    +0.055    35   10  28.6%   1.00  100.00%
  R1           50%    +1.186    20   10  50.0%   1.75   57.14%
  R1           75%         -     -    -      -      -        -
  R2-R3         5%    -0.012    92    5   5.4%   1.00  100.00%
  R2-R3        10%    +7.461    20    2  10.0%   1.84   21.74%
  R2-R3        25%         -     -    -      -      -        -
  R2-R3        50%         -     -    -      -      -        -
  R2-R3        75%         -     -    -      -      -        -
  R4-R10        5%    +7.685    20    1   5.0%   6.95    7.19%
  R4-R10       10%    +8.327    10    1  10.0%  13.90    3.60%
  R4-R10       25%         -     -    -      -      -        -
  R4-R10       50%         -     -    -      -      -        -
  R4-R10       75%         -     -    -      -      -        -
  R10+          5%    +5.375    20    1   5.0%  29.38    1.70%
  R10+         10%    +7.278    10    1  10.0%  58.75    0.85%
  R10+         25%         -     -    -      -      -        -
  R10+         50%         -     -    -      -      -        -
  R10+         75%         -     -    -      -      -        -
  IFA           5%    +4.107    40    2   5.0%   7.07    2.18%
  IFA          10%    +7.151    10    1  10.0%  14.13    0.54%
  IFA          25%         -     -    -      -      -        -
  IFA          50%         -     -    -      -      -        -
  IFA          75%         -     -    -      -      -        -

--- event: MLB_DEBUT ---
