event,h,combo,ap,d_ap,lo,hi,calib
MLB_DEBUT,3,control+v3,0.5428664039173395,0.01175118504895552,0.006678680259856381,0.017392954808366008,0.9362360071908454
MLB_DEBUT,3,control+v3+haz,0.5414709126593616,0.010340293965265219,0.0032995319067366915,0.017593074061120713,0.9285775163925452
MLB_DEBUT,6,control+v3,0.5728024639660493,0.00561334247951471,0.001846630063319385,0.009613526853912103,0.9361331374935723
MLB_DEBUT,6,control+v3+haz,0.5724521033498159,0.005152023968085604,-0.0003426601208716045,0.011626075901450374,0.9343111395702144
TOP_100_PROSPECT,3,control+v3,0.46478921407276924,0.009766898272260927,-0.0008469634710501717,0.019847181679877604,0.9575138625274912
TOP_100_PROSPECT,3,control+haz,0.4657273436144648,0.010697085554807828,-0.0025220359989597927,0.024251360558197595,0.90304135192036
TOP_100_PROSPECT,3,control+v3+haz,0.46702176760168596,0.011932793065584233,-0.0028545841587122004,0.025181586675451714,0.9169598778340464
TOP_100_PROSPECT,6,control+v3,0.43695081903248123,0.007014271627099941,-0.0024221794954485494,0.015977667413531568,0.9545791429789726
TOP_100_PROSPECT,6,control+haz,0.441860459120738,0.011934483905048147,-0.002353737908807074,0.025500388586183975,0.9483265815907489
TOP_100_PROSPECT,6,control+v3+haz,0.441262394383793,0.011556976920085314,-0.0020025535257188767,0.02640332144623881,0.9398484986307144
ESTABLISHED_MLB,3,control+v3cond,0.2709227543610002,0.02258542027454568,0.008210016597299554,0.03619480324280358,0.7323407496743533
ESTABLISHED_MLB,3,control+v3,0.26735511163671294,0.01879273699708384,0.005904715651597977,0.03294533784476779,0.6840801196652685
ESTABLISHED_MLB,3,v3cond+haz,0.26888551742128586,0.019516175216662855,-0.0045200425755912675,0.0454675689226802,0.8235449616818556
ESTABLISHED_MLB,3,control+v3cond+haz,0.2699373953076942,0.021534762815851132,0.004410478731655145,0.04067466501887166,0.7552008235236789
ESTABLISHED_MLB,3,control+v3+v3cond+haz,0.2732545223708053,0.024767038566904015,0.007162711587660772,0.04438870192093145,0.7538125406735622
ESTABLISHED_MLB,6,control+v3cond,0.33805126386860707,0.012927137309260006,0.003676278393128206,0.021096354548221646,0.7860159547243425
ESTABLISHED_MLB,6,control+v3,0.3396009586299923,0.01460763322699209,0.005802525127798246,0.02310286509343872,0.7722860976856711
ESTABLISHED_MLB,6,v3cond+haz,0.34292215050574076,0.018002893589941962,0.0008954081450167644,0.031871338799682354,0.8157465206738326
ESTABLISHED_MLB,6,control+v3cond+haz,0.3418065281303822,0.016958711207347134,0.0047472272795044766,0.02683466281611969,0.7893679622779427
ESTABLISHED_MLB,6,control+v3+v3cond+haz,0.34320612923158633,0.018311585519056504,0.005793596283460327,0.029456753621341297,0.794016309179752
STAR_PLUS_ELITE,3,v3cond,0.1115797124800441,0.05206297762272593,0.0013893770568164914,0.12264276780634892,0.6687517417344853
STAR_PLUS_ELITE,3,haz,0.10041378241536109,0.043874939027930354,-0.003971994887153753,0.11953716822473094,0.5335727372769675
STAR_PLUS_ELITE,3,control+v3cond,0.09147088206948528,0.036362313332406984,0.0028101767552529966,0.09315170208422884,0.5697541455726123
STAR_PLUS_ELITE,3,v3cond+haz,0.11239133314978332,0.05410019547527713,0.0005269946180939378,0.13085068821643706,0.6011622395057263
STAR_PLUS_ELITE,3,control+v3cond+haz,0.09289591765295244,0.03844793114687185,0.0013467447611820254,0.09744550264805217,0.5576936761407308
STAR_PLUS_ELITE,3,v3+v3cond+haz,0.10584689997710155,0.04688994690948618,-0.0012067479703444244,0.12417289658881937,0.5922061998671686
STAR_PLUS_ELITE,6,v3cond,0.18994812143061354,0.05524818218889464,0.020392992608187083,0.10160271045935847,0.8935130871669664
STAR_PLUS_ELITE,6,haz,0.1853126026646647,0.050932201230370025,0.01026582446057109,0.09919124972610947,0.7082197616771401
STAR_PLUS_ELITE,6,control+v3cond,0.1730755203864004,0.03979261693907175,0.014011372676656343,0.07708372642464226,0.8299359777341886
STAR_PLUS_ELITE,6,v3cond+haz,0.19571961513112865,0.06125244038817605,0.02366426866558417,0.1055584660671673,0.8008664244220532
STAR_PLUS_ELITE,6,control+v3cond+haz,0.18180887805529228,0.04826937210021339,0.01852329123031006,0.08750410305246409,0.7893639057151723
STAR_PLUS_ELITE,6,v3+v3cond+haz,0.18945507609241105,0.05474778220435618,0.019630577301878546,0.09999362987208214,0.8012758911598942
