scorer,event,h,n,pos,base,auc,ap,brier,calib
G_raw(fullraw bag),TOP_100_PROSPECT,1,23519,123,0.005229814192780305,0.9917510741187083,0.6140743335119183,0.003063523376297018,0.9723828698048844
G_raw(fullraw bag),TOP_100_PROSPECT,2,22852,218,0.0095396464204446,0.9817375094543972,0.5688614918028222,0.005913528693110494,0.9027195471666295
G_raw(fullraw bag),TOP_100_PROSPECT,3,22076,276,0.012502264903062148,0.9757188206355538,0.5439262062815703,0.007972295821173111,0.8965853387521813
G_raw(fullraw bag),TOP_100_PROSPECT,4,21158,297,0.014037243595803005,0.9730939938024931,0.539347285819636,0.008995204116418815,0.8975704455298317
G_raw(fullraw bag),TOP_100_PROSPECT,5,20088,303,0.01508363201911589,0.9712218227129764,0.5325175278759848,0.009744981505349254,0.8979409552534034
G_raw(fullraw bag),TOP_100_PROSPECT,6,18863,302,0.01601017865662938,0.9695994342620411,0.5311890855098443,0.01036148656396623,0.8922951273243176
G_raw(fullraw bag),TOP_100_PROSPECT,7,17518,296,0.016896906039502228,0.9678959894164284,0.5254544367529046,0.011022603446907066,0.8774205152535615
G_raw(fullraw bag),TOP_100_PROSPECT,8,16155,285,0.017641597028783658,0.9662728971136095,0.5249377308717883,0.01152215431675846,0.8619240015265014
G_raw(fullraw bag),TOP_100_PROSPECT,9,14780,272,0.018403247631935047,0.9644212523719166,0.5227612986746311,0.01209482220676185,0.8500481624337427
G_raw(fullraw bag),TOP_100_PROSPECT,10,13404,256,0.019098776484631454,0.962259587960146,0.5175799915903381,0.012653537591023547,0.8466092740594391
G_raw(fullraw bag),MLB_DEBUT,1,23864,650,0.027237680187730474,0.958883763776501,0.45165828256859974,0.01920712230616365,0.9187188144313851
G_raw(fullraw bag),MLB_DEBUT,2,23192,1281,0.05523456364263539,0.9464303839915011,0.5593614445080564,0.03437368425483673,0.8921250732076045
G_raw(fullraw bag),MLB_DEBUT,3,22409,1852,0.08264536570128074,0.9348187665733931,0.613648900147817,0.04776157609681287,0.8954303945077183
G_raw(fullraw bag),MLB_DEBUT,4,21482,2252,0.10483195233218509,0.9277784743716568,0.6368747701196478,0.058349309862032246,0.8876827735062247
G_raw(fullraw bag),MLB_DEBUT,5,20398,2456,0.12040396117266398,0.9243577954044465,0.6512238947478972,0.06524631043639016,0.8830492752912764
