player_id,season_year,level,org,age_during_season,pa,avg,obp,slg,woba,iso,k_pct,bb_pct,babip,home_runs,stolen_bases,ip,era,fip,whip,k9,bb9,hr9,velo_avg,primary_position,stats_type,pulled_at
draft_2012_tomas_nido_r8p260,2024,AAA,TOL,,9,0.222,0.222,0.333,,0.111,0.2222222222222222,0.0,0.286,0,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:29
draft_2019_kerry_carpenter_r19p562,2024,AAA,TOL,,15,0.214,0.267,0.286,,0.072,0.3333333333333333,0.06666666666666667,0.333,0,0,0.0,,,,,,,,RF,batting,2026-07-28T13:03:29
draft_2019_riley_greene_r1p5,2024,AAA,TOL,,6,0.167,0.167,0.333,,0.166,0.16666666666666666,0.0,0.2,0,0,0.0,,,,,,,,LF,batting,2026-07-28T13:03:29
ifa_670919,2024,AAA,TOL,,9,0.125,0.222,0.125,,0.0,0.3333333333333333,0.1111111111111111,0.2,0,0,0.0,,,,,,,,2B,batting,2026-07-28T13:03:29
ifa_694201,2024,AAA,TOL,,1,0.0,0.0,0.0,,0.0,1.0,0.0,,0,0,0.0,,,,,,,,SS,batting,2026-07-28T13:03:29
ifa_685337,2024,AAA,TOL,,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:29
draft_2018_alec_bohm_r1p3,2024,AAA,LHV,,4,0.5,0.5,0.75,,0.25,0.25,0.0,0.667,0,0,0.0,,,,,,,,3B,batting,2026-07-28T13:03:30
draft_2018_ruben_cardenas_r16p493,2024,AAA,LHV,,117,0.269,0.342,0.587,,0.318,0.1111111111111111,0.08547008547008547,0.229,9,5,0.0,,,,,,,,OF,batting,2026-07-28T13:03:30
ifa_679032,2024,AAA,LHV,,38,0.382,0.417,0.5,,0.118,0.15789473684210525,0.05263157894736842,0.444,1,6,0.0,,,,,,,,CF,batting,2026-07-28T13:03:30
draft_2018_cal_stevenson_r10p296,2024,AAA,LHV,,397,0.302,0.421,0.486,,0.184,0.16624685138539042,0.1712846347607053,0.356,8,29,0.0,,,,,,,,OF,batting,2026-07-28T13:03:30
draft_2017_buddy_kennedy_r5p142,2024,AAA,LHV,,300,0.294,0.4,0.5,,0.206,0.15,0.13666666666666666,0.318,10,2,0.0,,,,,,,,1B,batting,2026-07-28T13:03:30
draft_2012_david_dahl_r1p10,2024,AAA,LHV,,295,0.285,0.353,0.502,,0.217,0.24067796610169492,0.09491525423728814,0.341,14,5,0.0,,,,,,,,LF,batting,2026-07-28T13:03:30
draft_2020_carson_taylor_r4p130,2024,AAA,LHV,,27,0.316,0.519,0.316,,0.0,0.07407407407407407,0.2222222222222222,0.353,0,0,0.0,,,,,,,,1B,batting,2026-07-28T13:03:30
draft_2016_weston_wilson_r17p501,2024,AAA,LHV,,313,0.24,0.34,0.487,,0.247,0.24281150159744408,0.134185303514377,0.257,18,14,0.0,,,,,,,,3B,batting,2026-07-28T13:03:30
draft_2018_kody_clemens_r3p79,2024,AAA,LHV,,301,0.266,0.322,0.489,,0.223,0.20930232558139536,0.0664451827242525,0.295,14,6,0.0,,,,,,,,1B,batting,2026-07-28T13:03:30
draft_2015_scott_kingery_r2p48,2024,AAA,LHV,,505,0.268,0.316,0.488,,0.22,0.2732673267326733,0.06732673267326733,0.327,25,25,0.0,,,,,,,,SS,batting,2026-07-28T13:03:30
draft_2014_jordan_luplow_r3p100,2024,AAA,LHV,,254,0.255,0.343,0.45,,0.195,0.2047244094488189,0.11023622047244094,0.286,10,12,0.0,,,,,,,,LF,batting,2026-07-28T13:03:30
draft_2018_nick_podkul_r7p206,2024,AAA,LHV,,220,0.231,0.364,0.418,,0.187,0.3181818181818182,0.15454545454545454,0.32,9,1,0.0,,,,,,,,3B,batting,2026-07-28T13:03:30
draft_2018_cody_roberts_r11p325,2024,AAA,LHV,,160,0.29,0.373,0.406,,0.116,0.31875,0.10625,0.448,1,2,0.0,,,,,,,,C,batting,2026-07-28T13:03:30
draft_2018_matt_kroon_r18p527,2024,AAA,LHV,,280,0.251,0.325,0.441,,0.19,0.25,0.07857142857142857,0.304,11,15,0.0,,,,,,,,3B,batting,2026-07-28T13:03:30
draft_2019_marcus_lee_sang_r11p330,2024,AAA,LHV,,10,0.333,0.4,0.333,,0.0,0.3,0.1,0.5,0,0,0.0,,,,,,,,CF,batting,2026-07-28T13:03:30
