llevel,mlevel,minorMasterId,playerName,playerNameRoute,UPURL,UPID,positionDB,playerTeamId,RPM,Vel,cRisk,cETA,cFV,cWeight,cHeight,cRank,cOVR,cORG,cTrend,cDraftSchool,Hit,Game,Raw,Spd,Fld,Arm,FB,SL,CB,CH,SPL,CT,CMD,cSeason,playerPageSortOrder,cCollegeCommit,ID,RowID,FirstName,LastName,Position,Age,Team,Season,Type,PlayerId,DraftRank,ProjTeam,Ovr_Rank,Org_Rank,FV_Current,Risk_Current,ETA_Current,Draft,CollegeCommit,Height,Weight,Bats,Throws,School,Summary,YouTube,pHit,fHit,pGame,fGame,pRaw,fRaw,pSpd,fSpd,pFld,fFld,pArm,fArm,pFB,fFB,pSL,fSL,pCB,fCB,pSPL,fSPL,pCMD,fCMD,bRPM,fRPM,Range,Touch,Variance,options,servicetime,pCH,fCH,pCT,fCT
MLB,MLB,sa736655,Willy Adames,Willy Adames,/players/willy-adames/15986/stats/batting,15986,SS,30.0,,,Low,2018,60,180,"6' 1""",,11,1,,Dominican Republic,45 / 55,45 / 55,55 / 55,45 / 40,45 / 50,60 / 60,,,,,,,,2018,0,,17287,1,Willy,Adames,SS,22,TBR,2018,2018 Report,15986,0,,11,1,60,0,2018,J2 2012,,73,180,R,R,Dominican Republic,"He doesn't have jaw-dropping physical tools but Adames has a well-rounded offensive skillset, a long track record of above-average offensive performance while being young for his level and he plays a competent shortstop. Adames' frame is maxed out and he's not likely to grow into much more power without better incorporating his lower half into his swing, but he'll hit plenty of doubles and reach base at an above-average clip. Even with Tim Beckham's departure, the shortstop picture in St. Petersburg is crowded by Adeiny Hechevarria, Matt Duffy, Daniel Robertson, Christian Arroyo and, some would say, Joe Wendle. It's worth noting that Adames got his first in-game reps at second base last year. He'll likely debut in 2018 and his bat will play at second base or shortstop.",b0XEzkgl-EQ,45.0,55.0,45.0,55.0,55.0,55.0,45.0,40.0,45.0,50.0,60.0,60.0,,,,,,,,,,,0,0,,0,Low,n/a,7.105,,,,
MLB,MLB,sa830372,Gleyber Torres,Gleyber Torres,/players/gleyber-torres/16997/stats/batting,16997,2B,6.0,,,Low,2018,60,185,"6' 1""",,12,1,,Venezuela,40 / 55,40 / 55,55 / 60,50 / 40,40 / 50,55 / 55,,,,,,,,2018,0,,17224,1,Gleyber,Torres,SS,21,NYY,2018,2018 Report,16997,0,,12,1,60,0,2018,J2 2013,,73,185,R,R,Venezuela,"Torres was seen as one of the top two players in his July 2nd class (along with #6 on this list RF Eloy Jimenez), with Torres the prototypical Venezuelan shortstop: advanced feel for all aspects but no flashy plus tool. He's developed largely as expected, no small feat for a celebrated 15-year-old, with his physicality and game power the biggest change in the last few years. This has gone along with some scouts questioning if he fits better at second or third base long-term, but Torres' bat will profile anywhere in the dirt and he's big league ready once he's fully recovered from Tommy John surgery last June.",1lExH63k6Rw,40.0,55.0,40.0,55.0,55.0,60.0,50.0,40.0,40.0,50.0,55.0,55.0,,,,,,,,,,,0,0,,0,Low,n/a,7.162,,,,
AAA,MLB,sa657923,Lewis Brinson,Lewis Brinson,/players/lewis-brinson/14352/stats/batting,14352,OF,,,,Medium,2018,60,195,"6' 3""",,13,1,,Coral Springs HS (FL),40 / 50,50 / 60,65 / 65,60 / 55,50 / 55,60 / 60,,,,,,,,2018,0,,17494,1,Lewis,Brinson,CF,23,MIA,2018,2018 Report,14352,0,,13,1,60,0,2018,1st rd 2012,,75,195,R,R,Coral Springs HS (FL),"Brinson has tracked as well as scouts could have hoped when he was a gangly, unrefined amateur outfielder. He's shown an ability to make mechanical adjustments and has now performed up through Triple-A, reducing his once concerning strikeout rate as he has climbed the minor league ladder. He'll likely get plenty of playing time with Miami in 2018 and, though he make take some time to adjust to big league pitching, hit for plus power while playing center field.",RR-tHu3R4Ak,40.0,50.0,50.0,60.0,65.0,65.0,60.0,55.0,50.0,55.0,60.0,60.0,,,,,,,,,,,0,0,,0,Medium,0,3.084,,,,
MLB,MLB,sa659185,Miguel Andujar,Miguel Andujar,/players/miguel-andujar/15878/stats/batting,15878,3B/OF,29.0,,,Medium,2018,60,175,"6' 0""",,14,2,,Dominican Republic,45 / 55,45 / 55,60 / 60,55 / 50,45 / 55,70 / 70,,,,,,,,2018,0,,17225,2,Miguel,Andujar,3B,23,NYY,2018,2018 Report,15878,0,,14,2,60,0,2018,J2 2011,,72,175,R,R,Dominican Republic,"Andujar has tantalized scouts since early in his pro career with a strong, athletic frame and flashy tools that are above average to plus across the board. He largely was seen as potential, even passed over by all 30 teams in the Rule 5 Draft after the 2015 season, then he broke out in a huge way in 2017 reaching a critical mass of adjustments and maturity that showed up in the counting stats. Andujar has cut down on his swing and miss while also lifting the ball more and hitting it with more authority, an obviously rare and desirable combination when you're already working with a toolsy prospect that was always young for his level. There's still some lingering maturity questions and mental lapses on defense, but that didn't stop the Pirates and other clubs from demanding Andujar in recent trade talks with the Yankees, who refused to discuss Andujar.",vbirQSL9Q8s,45.0,55.0,45.0,55.0,60.0,60.0,55.0,50.0,45.0,55.0,70.0,70.0,,,,,,,,,,,0,0,,0,Medium,n/a,6.053,,,,
,MLB,sa828706,Brent Honeywell,Brent Honeywell,/players/brent-honeywell/16466/stats/pitching,16466,P,-1.0,,,Low,2018,60,180,"6' 2""",,15,2,,Walters State JC (TN),,,,,,,60 / 60,,50 / 55,60 / 65,55 / 55,45 / 50,50 / 55,2018,0,,17288,2,Brent,Honeywell,RHP,22,TBR,2018,2018 Report,16466,0,,15,2,60,0,2018,2nd rd 2014,,74,180,R,R,Walters State JC (TN),"Honeywell's kitchen sink repertoire is headlined by a potential plus-plus changeup, but he also has a quality curveball, cutter and mid-90s fastball. He can throw just about any pitch in any count and has at least average command right now despite some mechanical inconsistency. He had a 172 to 35 strikeout-to-walk ratio at Triple-A last year and probably deserved to be in the Majors. He'll get there this year and projects as a #3 starter.",JC3Vetq_eAA,,,,,,,,,,,,,60.0,60.0,,,50.0,55.0,55.0,55.0,50.0,55.0,0,0,,0,Low,0,2.045,60.0,65.0,45.0,50.0
,MLB,sa739551,Alex Reyes,Alex Reyes,/players/alex-reyes/15015/stats/pitching,15015,P,-1.0,,,Medium,2018,60,230,"6' 3""",,16,1,,Dominican Republic,,,,,,,70 / 70,40 / 50,55 / 70,55 / 60,,,40 / 50,2018,0,,17689,1,Alex,Reyes,RHP,23,STL,2018,2018 Report,15015,0,,16,1,60,0,2018,J2 2012,,75,230,R,R,Dominican Republic,"Reyes had Tommy John early during spring training of 2017 and didn't pitch all year. He'll probably spend some time in the Cardinals bullpen to control his season-long workload coming off of surgery, but his stuff -- plus-plus fastball, curveball and plus changeup -- belong at the top of a rotation.",Z_2KQ7Utxy4,,,,,,,,,,,,,70.0,70.0,40.0,50.0,55.0,70.0,,,40.0,50.0,0,0,,0,Medium,n/a,6.056,55.0,60.0,,
AAA,MLB,sa739565,Francisco Mejía,Francisco Mejia,/players/francisco-mejia/16403/stats/batting,16403,C,,,,High,2019,60,175,"5' 10""",,17,1,,Dominican Republic,50 / 60,30 / 50,55 / 55,50 / 45,40 / 45,80 / 80,,,,,,,,2018,0,,17124,1,Francisco,Mejia,C/3B,22,CLE,2018,2018 Report,16403,0,,17,1,60,0,2019,J2 2012,,70,175,S,R,Dominican Republic,Mejia wasn't/isn't a lost cause as a defensive catching prospect but his bat is almost ready for the big leagues and this prompted a move to third base during the Arizona Fall League to accelerate Mejia's timetable to Cleveland. He certainly has the arm for third. It's an 80-grade howitzer that elicited audible gasps from AFL crowds. His hands and footwork at third remain a work in progress. Mejia's swing isn't graceful or attractive but he finds ways to get the bathead to the baseball and hit the ball hard and he has elite hand-eye coordination and bat control. He's a little too aggressive at the plate so the OBP and game power might both play down if he doesn't become more selective and we're in wait-and-see mode on the defense.,zjm3SlBQSVM,50.0,60.0,30.0,50.0,55.0,55.0,50.0,45.0,40.0,45.0,80.0,80.0,,,,,,,,,,,0,0,,0,High,n/a,5.042,,,,
AAA,MLB,sa874238,Brendan Rodgers,Brendan Rodgers,/players/brendan-rodgers/17907/stats/batting,17907,2B,3.0,,,Medium,2019,60,180,"6' 0""",,18,1,,Lake Mary HS (FL),30 / 50,40 / 55,60 / 60,50 / 45,40 / 50,55 / 55,,,,,,,,2018,0,,17472,1,Brendan,Rodgers,SS,21,COL,2018,2018 Report,17907,0,,18,1,60,0,2019,1st rd 2015,,72,180,R,R,Lake Mary HS (FL),"After demolishing the Cal League (as was expected), Rodgers had a solid 38 game run at Double-A. He turned 21 in August. He's hit everywhere he's been since high school and continues to look fine, if unspectacular, at shortstop. He's above-average in every way at the plate (the bat control, power, feel for opposite field contact, ability to punish mistakes) which means he's got a good chance to be an All Star if he stays at shortstop, and it looks like he's going to.",8R3NqST3CPs,30.0,50.0,40.0,55.0,60.0,60.0,50.0,45.0,40.0,50.0,55.0,55.0,,,,,,,,,,,0,0,,0,Medium,n/a,6.075,,,,
AAA,MLB,sa873550,Sixto Sánchez,Sixto Sanchez,/players/sixto-sanchez/19680/stats/pitching,19680,P,20.0,,,Medium,2020,60,185,"6' 0""",,19,1,,Dominican Republic,,,,,,,70 / 70,45 / 50,50 / 55,55 / 65,,,45 / 55,2018,0,,17635,1,Sixto,Sanchez,RHP,19,PHI,2018,2018 Report,19680,0,,19,1,60,0,2020,J2 2014,,72,185,R,R,Dominican Republic,"Hitters like to shorten up against Sixto after he's blown well-placed, sinking, upper-90s gas past them for strikes one and two, which leaves them vulnerable to any of his three viable secondary offerings later in at-bats. Sanchez sits 95-99 and has touched 102 with advanced command. He has a long, cutting slider in the mid-80s and a two-plane curveball, both of which flash above-average, but his best secondary is a ghosting, mid-80s changeup which embarassed hitters five years older than Sanchez in Hi-A last year. He's just 6-foot so you're not projecting on the fastball, but it's already so hard that it doesn't matter. Scouts want to see release consistency deeper into games (and in general when Sanchez throws his breaking balls) but he's athletic and has only been pitching full time for three years, so there's reason to believe he'll improve.",,,,,,,,,,,,,,70.0,70.0,45.0,50.0,50.0,55.0,,,45.0,55.0,0,0,,0,Medium,0,1.103,55.0,65.0,,
,MLB,sa828680,Michael Kopech,Michael Kopech,/players/michael-kopech/17282/stats/pitching,17282,P,-1.0,,,Medium,2019,60,195,"6' 3""",,20,2,,Mt. Pleasant HS (TX),,,,,,,70 / 70,50 / 60,,45 / 55,,,40 / 45,2018,0,,17100,2,Michael,Kopech,RHP,21,CHW,2018,2018 Report,17282,0,,20,2,60,0,2019,1st rd 2014,,75,195,R,R,Mt. Pleasant HS (TX),"Kopech was frustrating for scouts earlier in his high school career, as his quick arm was obscured by a long arm action and inconsistent delivery that led to inconsistent secondary pitches and command. Just before the draft, his quick arm sped up even quicker and early in pro ball, he was able to make his arm action a little shorter, unlocking perhaps the best fastball in the minor leagues. Depending on the gun, Kopech tops out at 102 or 105 mph and his plus slider gives him a clear second weapon. As you may guess, there's some command concerns, his changeup is still inconsistent and there's natural health questions simply because throwing that hard puts a greater level of stress on your arm than throwing 90 mph. He's now performed at the upper level and is ready to finetune his game with a big league look in 2018.",JXUYoulUEo8,,,,,,,,,,,,,70.0,70.0,50.0,60.0,,,,,40.0,45.0,0,0,,0,Medium,n/a,6.041,45.0,55.0,,
