llevel,mlevel,minorMasterId,playerName,playerNameRoute,UPURL,UPID,positionDB,playerTeamId,RPM,Vel,cRisk,cETA,cFV,cWeight,cHeight,cRank,cOVR,cORG,cTrend,cDraftSchool,Hit,Game,Raw,Spd,Fld,Arm,FB,SL,CB,CH,SPL,CT,CMD,cSeason,playerPageSortOrder,cCollegeCommit,ID,RowID,FirstName,LastName,Position,Age,Team,Season,Type,PlayerId,DraftRank,ProjTeam,Ovr_Rank,Org_Rank,FV_Current,Risk_Current,ETA_Current,Draft,CollegeCommit,Height,Weight,Bats,Throws,School,Summary,YouTube,pHit,fHit,pGame,fGame,pRaw,fRaw,pSpd,fSpd,pFld,fFld,pArm,fArm,pFB,fFB,pSL,fSL,pCB,fCB,pSPL,fSPL,pCMD,fCMD,bRPM,fRPM,Range,Touch,Variance,options,servicetime,pCH,fCH,pCT,fCT
AAA,MLB,sa828666,Touki Toussaint,Touki Toussaint,/players/touki-toussaint/16929/stats/pitching,16929,P,,,,High,2018,50,185,"6' 3""",,60,8,,Coral Springs Christian HS (FL),,,,,,,60 / 60,,65 / 65,55 / 60,,,40 / 45,2018,0,,17400,8,Touki,Touisaint,RHP,20,ATL,2018,2018 Report,16929,0,,60,8,50,0,2018,1st rd 2014,,75,185,R,R,Coral Springs Christian HS (FL),"Toussaint burst onto the scouting scene when he hit 97 mph with a plus plus curveball as a high school underclassman, but his delivery and command needed lots of work at that point. He's slowly made adjustments--just before the 2014 Draft he dialed down the high octane stuff so he could command it better--and made his biggest strides in 2017. Toussaint's changeup that had shown flashes was consistently above average to plus, his 70 curveball and 96+ fastball was still in his back pocket when needed, but he opted for a low-90's sinker and above average curveball with more command of both early in the game. His skillset now fits the changing big league game: he may continue his path into becoming the frontline starter many envisioned when he was 16 years old or he could be a Lance McCullers-like swiss army knife that's one of the most valuable piece of a staff without ever pitching 200 innings. Either way he could be a devastating big league presence by the end of 2018, particularly in 1-2 inning stints.",qaR9D8rYrhY,,,,,,,,,,,,,60.0,60.0,,,65.0,65.0,,,40.0,45.0,0,0,,0,High,0,3.115,55.0,60.0,,
MLB,MLB,sa737633,Tyler O'Neill,Tyler O'Neill,/players/tyler-oneill/15711/stats/batting,15711,OF,2.0,,,Medium,2018,50,210,"5' 11""",,61,2,,Maple Ridge HS (CAN),30 / 40,50 / 55,70 / 70,55 / 55,45 / 45,55 / 55,,,,,,,,2018,0,,17690,2,Tyler,O'Neill,OF,22,STL,2018,2018 Report,15711,0,,61,2,50,0,2018,3rd rd 2013,,71,210,R,R,Maple Ridge HS (CAN),"The more we talked about O'Neill (and the swing change he made after being traded to St. Louis) the more we started to buy his chances of tapping into most or all of his plus-plus raw power in games. He doesn't have great feel to hit nor is he an especially good defensive outfielder, but O'Neill is likely to reach base at an above-average rate and hit for a ton of power, so he's pretty likely to be a good everyday big leaguer. He does have some 4A hitter traits which is why his profile carries some variance despite his long track record of success, but we were saying the same thing about Aaron Judge last offseason.",65VN9HWZNW0,30.0,40.0,50.0,55.0,70.0,70.0,55.0,55.0,45.0,45.0,55.0,55.0,,,,,,,,,,,0,0,,0,Medium,n/a,7.059,,,,
,MLB,sa872856,Anderson Espinoza,Anderson Espinoza,/players/anderson-espinoza/18593/stats/pitching,18593,P,-1.0,,,High,2019,50,170,"6' 0""",,62,5,,Venezuela,,,,,,,55 / 60,,50 / 60,50 / 60,,,40 / 50,2018,0,,17716,5,Anderson,Espinoza,RHP,19,SDP,2018,2018 Report,18593,0,,62,5,50,0,2019,J2 2014,,72,170,R,R,Venezuela,"Espinoza was 94-97 and flashed a plus changeup and curveball during his final spring training start of 2017. Between that outing and his first regular season start for Hi-A Lake Elsinore, he felt discomfort in his elbow and was shut down. After several weeks of rest and rehab, it was decided that he needed Tommy John surgery, which he had early in August. The timing wasn't great and Espinoza may also miss all of 2018 working back from surgery. He has front end stuff but, even if it returns, he'll have missed two years of reps that he desperately needed to polish his below-average control.",LMN6OIaQsEA,,,,,,,,,,,,,55.0,60.0,,,50.0,60.0,,,40.0,50.0,0,0,,0,High,1,1.033,50.0,60.0,,
,MLB,sa738241,Dustin Fowler,Dustin Fowler,/players/dustin-fowler/17098/stats/batting,17098,OF,-1.0,,,Low,2018,50,195,"6' 0""",,63,4,,West Laurens HS (GA),50 / 55,40 / 50,55 / 55,60 / 60,45 / 50,45 / 45,,,,,,,,2018,0,,17254,4,Dustin,Fowler,CF,23,OAK,2018,2018 Report,17098,0,,63,4,50,0,2018,18th rd 2013,,72,195,L,L,West Laurens HS (GA),"Fowler is a plus runner and viable defensive center fielder who has a chance to be an above-average defender there at peak. He has plus bat speed which allows him to turn on good velocity and generate more pull-side power than is typical for a plus-running center field prospect. Fowler has a chance to hit .280 or so, with 15-18 annual homers and do lots of extra-base damage with his legs. While his aggressive approach at the plate will likely limit his on-base ability to something just beneath league average, he’s very likely to be an average everyday player and potentially a tick more than that, assuming his pre-injury speed returns.",FLb3S3KNFvk,50.0,55.0,40.0,50.0,55.0,55.0,60.0,60.0,45.0,50.0,45.0,45.0,,,,,,,,,,,0,0,,0,Low,0,1.067,,,,
MLB,MLB,sa873265,Will Smith,Will Smith,/players/will-smith/19197/stats/batting,19197,C,22.0,,,Medium,2019,50,192,"6' 0""",,64,4,,Louisville,40 / 55,40 / 50,50 / 50,55 / 50,50 / 55,60 / 60,,,,,,,,2018,0,,17553,4,Will,Smith,C,23,LAD,2018,2018 Report,19197,0,,64,4,50,0,2019,1st rd 2016,,72,192,R,R,Louisville,"Smith was an athletic, multi-positional prospect at Louisville whose stock spiked close to draft time. He was considered a potential plus defensive catcher who might hit an empty .280. In the last year, Smith has altered his stride in a way that has increased his in-game power rather significantly. He has terrific natural bat control and finds a way to get the barrel to various parts of the hitting zone and the change is offensive footwork didn't alter his peripherals. He remains a strong defensive catcthing prospect who now has a chance to hit for average and power while also moonlighting at second and third base when needed. He's an Austin Barnes sequel who's perhaps two years from the Majors.",PAOgaHuSvPg,40.0,55.0,40.0,50.0,50.0,50.0,55.0,50.0,50.0,55.0,60.0,60.0,,,,,,,,,,,0,0,,0,Medium,n/a,6.090,,,,
MLB,MLB,sa828681,Jack Flaherty,Jack Flaherty,/players/jack-flaherty/17479/stats/pitching,17479,P,6.0,,,Low,2018,50,205,"6' 4""",,65,3,,Harvard Westlake HS (CA),,,,,,,55 / 55,50 / 55,55 / 55,40 / 45,,,50 / 55,2018,0,,17691,3,Jack,Flaherty,RHP,22,STL,2018,2018 Report,17479,0,,65,3,50,0,2018,1st rd 2014,,76,205,R,R,Harvard Westlake HS (CA),"Flaherty reached the majors in 2017, just his third full pro season. His fastball ranges 90 to 95mph, sitting mostly 92-94 with enough sink to mitigate its lack of downhill plane and Flaherty will pitch with above-average fastball command. To put hitters away, Flaherty relies on a slider and curveball while occasionally mixing in a changeup. His curveball has a bit more depth and vertical action to it than the slider does and it’s his best secondary pitch on pure stuff, but Flaherty’s terrific arm-side command of his slider makes that his most effective.His fringey, sinking, upper-80s changeup induces ground balls but doesn’t miss bats right now, and well-located breaking balls are his best chance of whiffing lefties. He projects as a ready No. 3/4 starter.",vSy5LD5ZWXk,,,,,,,,,,,,,55.0,55.0,50.0,55.0,55.0,55.0,,,50.0,55.0,0,0,,0,Low,n/a,8.006,40.0,45.0,,
MLB,MLB,sa3004837,Jo Adell,Jo Adell,/players/jo-adell/20220/stats/batting,20220,OF,1.0,,,High,2021,50,195,"6' 2""",,66,2,,Ballard HS (KY),20 / 50,30 / 60,60 / 70,55 / 45,40 / 55,30 / 60,,,,,,,,2018,0,,17042,2,Jo,Adell,OF,18,LAA,2018,2018 Report,20220,0,,66,2,50,0,2021,1st rd 2017,,74,195,R,R,Ballard HS (KY),"Teams had widely varying evaluations of Adell ahead of the 2017 draft, but he raked in pro ball after signing and started to silence critics. He has huge raw power and enough straightline speed to develop as a center fielder, though he may not stay there. His arm strength evaporated last year (he was up to 94 on the mound as a rising senior but was throwing with a 30 arm during 2017 instructional league) and there's still some hit tool volatility which makes Adell quite risky, but he has middle of the order potential.",tpQIfgNoqIE,20.0,50.0,30.0,60.0,60.0,70.0,55.0,45.0,40.0,55.0,30.0,60.0,,,,,,,,,,,0,0,,0,High,0,4.085,,,,
,MLB,sa872759,Jorge Guzmán,Jorge Guzman,/players/jorge-guzman/17505/stats/pitching,17505,P,-1.0,,,High,2021,50,182,"6' 2""",,67,3,,Dominican Republic,,,,,,,70 / 80,50 / 60,,45 / 55,,,40 / 50,2018,0,,17496,3,Jorge,Guzman,RHP,22,MIA,2018,2018 Report,17505,0,,67,3,50,0,2021,J2 2013,,74,182,R,R,Dominican Republic,"In 2017, Guzman went to the New York-Penn League and threw strikes with a 96-102 mph fastball and plus slider. He struck out 88 hitters in 66 innings. His changeup is still raw, and scouts don’t like his stiff, hunched posture during his delivery, but he throws strikes and has a chance to start. He could have an 80 fastball and 70 slider at peak, which alone could make him an elite reliever. If Marlins player development can improve his changeup, or develop a different third pitch, his ceiling as a rotation piece is quite high. He enters his age-22 season in 2018.",97COg64IK0I,,,,,,,,,,,,,70.0,80.0,50.0,60.0,,,,,40.0,50.0,0,0,,0,High,1,1.005,45.0,55.0,,
,AA,sa3004968,Tristen Lutz,Tristen Lutz,/players/tristen-lutz/sa3004968/stats/batting,sa3004968,OF,-1.0,,,High,2020,50,210,"6' 3""",,68,3,,Martin HS (TX),25 / 45,25 / 60,70 / 70,50 / 45,40 / 50,60 / 60,,,,,,,,2018,0,,17575,3,Tristen,Lutz,OF,19,MIL,2018,2018 Report,sa3004968,0,,68,3,50,0,2020,1st rd 2017,,75,210,R,R,Martin HS (TX),"Lutz was about as under-the-radar as a first round pick that went to a number of high-profile showcases could be. His 70-grade raw power puts up exit velocities that would fit near the top of MLB leaderboards, along with good enough pitch selection to get to his power in games and enough athleticism to play an average defensive right field. He's only had 187 plate appearances in pro ball but could move quickly, similar to how Braves' 3B Austin Riley reached Double-A at age 20, if Lutz's tools play as quickly as some scouts expect.",HD5Gdv4-45Q,25.0,45.0,25.0,60.0,70.0,70.0,50.0,45.0,40.0,50.0,60.0,60.0,,,,,,,,,,,0,0,,0,High,R5,,,,,
MLB,MLB,sa874807,Jahmai Jones,Jahmai Jones,/players/jahmai-jones/18872/stats/batting,18872,DH/OF,6.0,,,Low,2020,50,210,"5' 11""",,69,3,,Wesleyan HS (GA),35 / 60,30 / 45,45 / 50,60 / 60,45 / 55,45 / 45,,,,,,,,2018,0,,17043,3,Jahmai,Jones,CF,20,LAA,2018,2018 Report,18872,0,,69,3,50,0,2020,2nd rd 2015,,71,210,R,R,Wesleyan HS (GA),Jones made adjustments and hit his way to Hi-A as a 19-year-old after a bad first month of 2017. He still chases breaking balls away from him too often but otherwise has great feel to hit and sprays hard contact all over the field. He's a plus runner with the speed to play center field and he should continue to develop there as he accrues more reps (Jones was a high school infielder and two-sport prospect). He profiles as a table-setting doubles machine.,p2KH9PAlrjM,35.0,60.0,30.0,45.0,45.0,50.0,60.0,60.0,45.0,55.0,45.0,45.0,,,,,,,,,,,0,0,,0,Low,0,1.148,,,,
MLB,MLB,sa917981,Jesús Luzardo,Jesus Luzardo,/players/jesus-luzardo/19959/stats/pitching,19959,P,26.0,,,Medium,2020,50,209,"5' 11""",,70,5,,Stoneman Douglas HS (FL),,,,,,,55 / 55,,50 / 60,50 / 60,,,45 / 55,2018,0,,17255,5,Jesus,Luzardo,LHP,20,OAK,2018,2018 Report,19959,0,,70,5,50,0,2020,3rd rd 2016,,71,209,L,L,Stoneman Douglas HS (FL),"Luzardo was a polished prep lefty with command of an advanced changeup and breaking ball, as well as an 88-92mph fastball that spiked into the mid-90s during his senior spring. Soon after his velo ticked up, Luzardo got hurt and needed Tommy John. The Nationals drafted him, gave him an over slot $1.4 million, and then traded him to Oakland the following year. Luzardo has remade his physique and his pre-surgery surge in velocity has been retained. He was up to 98 at times last year, sitting 90-95 with advanced command. His changeup and breaking ball should mature into above-average pitches, and Luzardo should move quickly through the minors as a potential mid-rotation starter.",XPMeIpPKW2k,,,,,,,,,,,,,55.0,55.0,,,50.0,60.0,,,45.0,55.0,0,0,,0,Medium,n/a,5.165,50.0,60.0,,
MLB,MLB,sa738162,Danny Jansen,Danny Jansen,/players/danny-jansen/16535/stats/batting,16535,C,13.0,,,Low,2018,50,225,"6' 2""",,71,4,,West HS (WI),50 / 60,30 / 45,50 / 50,30 / 30,45 / 50,55 / 55,,,,,,,,2018,0,,17351,4,Danny,Jansen,C,22,TOR,2018,2018 Report,16535,0,,71,4,50,0,2018,16th rd 2013,,74,225,R,R,West HS (WI),"Scouts' opinions of Jansen were all over the map during the first few years of his career, but those have narrowed into the 45 to 55 range now. We're buying that Jansen's 2017, which included more walks than strikeouts across three levels of the minors, is a sign of real improvement, perhaps due to the new prescription frames he got before the season. He's a fringe receiver with an above-average arm, which is fine, but he is difficult to strike out and should reach base plenty. He's a near-ready everyday catcher.",4lbMDzv8Er4,50.0,60.0,30.0,45.0,50.0,50.0,30.0,30.0,45.0,50.0,55.0,55.0,,,,,,,,,,,0,0,,0,Low,n/a,7.050,,,,
,AA,sa738344,Alec Hansen,Alec Hansen,/players/alec-hansen/sa738344/stats/pitching,sa738344,P,-2.0,,,High,2020,50,240,"6' 7""",,72,4,,Oklahoma,,,,,,,60 / 60,45 / 50,60 / 60,40 / 45,,,40 / 45,2018,0,,17102,4,Alec,Hansen,RHP,23,CHW,2018,2018 Report,sa738344,0,,72,4,50,0,2020,2nd rd 2016,,79,240,R,R,Oklahoma,"A talented enigma at Oklahoma, Hansen's prodigious stuff was finally deployed with some consistency in 2017 as he struck out a whopping 191 hitters in 141.1 innings. His fastball and curveball are both plus while his changeup, slider and command remain fringey, but fringe command is still more than a grade better than what Hansen showed in college. He's progressing but remains a volatile prospect with #2/3 starter potential",VQzZu_90hZk,,,,,,,,,,,,,60.0,60.0,45.0,50.0,60.0,60.0,,,40.0,45.0,0,0,,0,High,R5,,40.0,45.0,,
AAA,MLB,sa832877,Adonis Medina,Adonis Medina,/players/adonis-medina/19903/stats/pitching,19903,P,,,,Medium,2020,50,185,"6' 1""",,73,4,,Dominican Republic,,,,,,,55 / 60,50 / 55,40 / 45,45 / 55,,,40 / 50,2018,0,,17638,4,Adonis,Medina,RHP,21,PHI,2018,2018 Report,19903,0,,73,4,50,0,2020,J2 2013,,73,185,R,R,Dominican Republic,"After spending 2016 focusing on fastball command and breaking ball transition, Medina finally posted stats comensurate with his prodigious stuff. He sits 92-95 with a late-breaking slider and his changeup and command have progressed as expected given his delivery and athleticism. He still needs to polish his command and the demarcation between his slider and curve but Medina has made significant developmental progress during the last two seasons and should continue doing so. He projects as an above-average big league starter.",Ts8FVwBeFVY,,,,,,,,,,,,,55.0,60.0,50.0,55.0,40.0,45.0,,,40.0,50.0,0,0,,0,Medium,0,0.082,45.0,55.0,,
,MLB,sa828671,Cole Tucker,Cole Tucker,/players/cole-tucker/17326/stats/batting,17326,SS/OF,-1.0,,,Medium,2020,50,185,"6' 3""",,74,5,,Mountain Pointe HS (AZ),30 / 55,30 / 40,45 / 50,60 / 55,40 / 45,50 / 55,,,,,,,,2018,0,,17665,5,Cole,Tucker,SS,21,PIT,2018,2018 Report,17326,0,,74,5,50,0,2020,1st rd 2014,,75,185,S,R,Mountain Pointe HS (AZ),"Tucker does a little bit of everything and projects to stay at shortstop while providing modest offensive output. His arm strength has returned to something more closely resembling its pre-injury (labrum) form, bolstering confidence in his abiity to stay at short. Offensively, Tucker is patient and has a contact-first approach, but there's enough thunder in his hands and wrists to do some extra-base damage and a chance he grows into more as he ages. He's a near-ready everyday shortstop.",Tx4MkFf8AcU,30.0,55.0,30.0,40.0,45.0,50.0,60.0,55.0,40.0,45.0,50.0,55.0,,,,,,,,,,,0,0,,0,Medium,0,2.083,,,,
,MLB,sa917922,Riley Pint,Riley Pint,/players/riley-pint/21858/stats/pitching,21858,P,-2.0,,,High,2021,50,210,"6' 4""",,75,2,,St. Thomas Aquinas HS (KS),,,,,,,70 / 70,50 / 55,60 / 65,50 / 60,,,30 / 45,2018,0,,17473,2,Riley,Pint,RHP,20,COL,2018,2018 Report,21858,0,,75,2,50,0,2021,1st rd 2016,,76,210,R,R,St. Thomas Aquinas HS (KS),"Pint was identified as a potential high first round pick as a high school underclassman, showing mid-90's velocity and a long, lanky, athletic frame in tournaments. He held serve as an elite arm over the next few years, going 4th overall in 2016 and continuing to show some of the best stuff on the planet: two 70's and two 60's on some days. The issues are with just about everything else I haven't mentioned, as Pint doesn't have much deception, he has too much effort/head whack in his delivery, his fastball doesn't have much life and he may generally just throw too hard to learn the finesse aspects of being a starting pitcher. His walk rates and contact allowed are worrisome, but the stuff and athleticism are still top of the scale, so the upside remains sky high, but scouts are getting less enthusiastic.",SHwmwNMieek,,,,,,,,,,,,,70.0,70.0,50.0,55.0,60.0,65.0,,,30.0,45.0,0,0,,0,High,1,0.020,50.0,60.0,,
MLB,MLB,sa3005097,Nate Pearson,Nate Pearson,/players/nate-pearson/20160/stats/pitching,20160,P,21.0,,,High,2020,50,245,"6' 6""",,76,5,,Central Florida JC,,,,,,,65 / 70,50 / 55,,50 / 55,,,35 / 45,2018,0,,17352,5,Nate,Pearson,RHP,21,TOR,2018,2018 Report,20160,0,,76,5,50,0,2020,1st rd 2017,,78,245,R,R,Central Florida JC,"Pearson came almost out of nowhere at a low-profile Florida junior college, going from unknown to a first round pick in less than a year, fueled by a dazzling pre-draft bullpen for scouts where he sat in the high-90's and hit 100 mph. At his best, Pearson looks like a front-of-the-rotation monster, with a strudy frame, long stride, powerful delivery and triple digit heat, to go with a slider and changeup that have flashed 60 at their best. On the other hand, there's risk with hard throwers, especially those with new velocity and Pearson has had control issues ever since his velocity spiked. He's trending in the right direction, though with his best appearances coming in May and June just before the draft, then a strong pro debut. Pearson has possibly the widest variance of potential outcomes of any player on this list.",t_D8-uewjYw,,,,,,,,,,,,,65.0,70.0,50.0,55.0,,,,,35.0,45.0,0,0,,0,High,0,4.042,50.0,55.0,,
,MLB,sa828662,Nick Gordon,Nick Gordon,/players/nick-gordon/16337/stats/batting,16337,OF,-1.0,,,Low,2019,50,175,"6' 2""",,77,2,,Olympia HS (FL),40 / 50,30 / 45,55 / 55,50 / 50,45 / 50,60 / 60,,,,,,,,2018,0,,17195,2,Nick,Gordon,SS,22,MIN,2018,2018 Report,16337,0,,77,2,50,0,2019,1st rd 2014,,74,175,L,R,Olympia HS (FL),"Gordon, son of Tom Gordon and brother of Dee Gordon, was identified as a top prospect as high school freshman in the Orlando area and has made subtle improvements since then but has been a similar player for awhile. It's a card full of grade 5 tools on the 2-8 scale and while there isn't flashy or twitchy actions, Gordon gets the most of his tools, in part due to private defensive lessons by family friend Barry Larkin pre-draft. There's some questions about how good Gordon will be defensively (sliding to 2B wouldn't be too big of a deal) and his pitch selection is below average, keeping him from getting to all of his 55-grade raw power.",bXiuMCdQJP4,40.0,50.0,30.0,45.0,55.0,55.0,50.0,50.0,45.0,50.0,60.0,60.0,,,,,,,,,,,0,0,,0,Low,0,3.097,,,,
MLB,MLB,sa657860,Max Fried,Max Fried,/players/max-fried/13743/stats/pitching,13743,P,9.0,,,Medium,2018,50,185,"6' 4""",,78,9,,Harvard Westlake HS (CA),,,,,,,50 / 55,,65 / 70,50 / 55,,,45 / 50,2018,0,,17401,9,Max,Fried,LHP,24,ATL,2018,2018 Report,13743,0,,78,9,50,0,2018,1st rd 2012,,76,185,L,L,Harvard Westlake HS (CA),"Fried was part of one of the best high school pitching staffs of all time with #67 on this list RHP Jack Flaherty and White Sox RHP Lucas Giolito. Fried went 6th overall in 2012 and had Tommy John surgery within a year, then was traded to Atlanta as the headliner in the Justin Upton deal. Fried has flashed signs of brilliance since his return but a gnarly blister limited most of his 2017 and some scouts still question his command, wondering if he fits better in short stints. No one questions his knockout curveball, which gets grades as high as a 70 from scouts on the 20-80 scale. His fastball sits 90-94 and hits 97 mph while his changeup is above average and he has a good chance to open 2017 in the Braves rotation alongside #31 on this list LHP Luiz Gohara.",XU-CcBOpwzY,,,,,,,,,,,,,50.0,55.0,,,65.0,70.0,,,45.0,50.0,0,0,,0,Medium,n/a,7.148,50.0,55.0,,
AAA,MLB,sa874464,Estevan Florial,Estevan Florial,/players/estevan-florial/19151/stats/batting,19151,OF,,,,High,2020,50,185,"6' 1""",,79,5,,Haiti,20 / 40,30 / 55,60 / 60,60 / 60,40 / 50,60 / 60,,,,,,,,2018,0,,17228,5,Estevan,Florial,CF,20,NYY,2018,2018 Report,19151,0,,79,5,50,0,2020,J2 2014,,73,185,L,R,Haiti,"Florial had an unusual start to his pro career, with paperwork issues stemming from his childhood in Haiti earning him a one-year suspension from MLB and only a $200,000 bonus despite loud tools before signing. Credit the Yankees for staying on top of Florial and pouncing one his suspension was over, as his three plus tools (raw power, speed and arm strength) are quickly obvious even to amateur observers. The only question on Florial is on his contact ability, as he will show scout extremely varied looks--some think he'll get to his power but just with plenty of swing and miss, while others question if he'll ever make enough contact to be an everyday player. No one disputes the sky-high ceiling and the Yankees have rebuffed many efforts of other clubs to trade for Florial, but the variance in his possible outcomes may be the widest among any hitter on this list.",mYK2ssfvC80,20.0,40.0,30.0,55.0,60.0,60.0,60.0,60.0,40.0,50.0,60.0,60.0,,,,,,,,,,,0,0,,0,High,0,1.018,,,,
,MLB,sa830276,Yu Chang,Yu Chang,/players/yu-chang/14773/stats/batting,14773,SS,-1.0,,,Medium,2019,50,175,"6' 1""",,80,3,,Taiwan,35 / 45,45 / 55,55 / 55,50 / 50,45 / 50,50 / 50,,,,,,,,2018,0,,17126,3,Yu-Cheng,Chang,SS,22,CLE,2018,2018 Report,14773,0,,80,3,50,0,2019,J2 2012,,73,175,R,R,Taiwan,"Chang's 24 homer output at Double-A might was a bit of a surprise but his feel for impacting the ball in the air is real and he has enough raw power to hit with more thump than is typical for a shortstop. Most teams think he's going to be a solid everyday player, with just enough arm and athleticism for shortstop and plenty of stick. He is another of the players on this list with enough pitch selection to get most or all of his raw power (along with some walks), even if with a .260 or lower batting average",VDPqWbix08,35.0,45.0,45.0,55.0,55.0,55.0,50.0,50.0,45.0,50.0,50.0,50.0,,,,,,,,,,,0,0,,0,Medium,0,3.142,,,,
MLB,MLB,sa873680,Sean Murphy,Sean Murphy,/players/sean-murphy/19352/stats/batting,19352,C,16.0,,,High,2019,50,215,"6' 3""",,81,6,,Wright State,35 / 55,35 / 50,55 / 55,20 / 20,45 / 50,70 / 70,,,,,,,,2018,0,,17256,6,Sean,Murphy,C,23,OAK,2018,2018 Report,19352,0,,81,6,50,0,2019,3rd rd 2016,,75,215,R,R,Wright State,"Murphy didn't catch great stuff at Wright State and it's taken him a little while to het used to receiving pro-quality pitching, but he's improved drastically and looked great in the Arizona Fall League. He now projects as an average receiver with a plus-plus arm. Murphy's swing is simple and makes him tough to strike out while enabling him to tap into some of his strength-driven power. He's a well-rounded catching prospect who should mature into an everyday player.",tVv3ORj53mQ,35.0,55.0,35.0,50.0,55.0,55.0,20.0,20.0,45.0,50.0,70.0,70.0,,,,,,,,,,,0,0,,0,High,n/a,6.029,,,,
,MLB,sa599204,Brian Anderson,Brian Anderson,/players/brian-anderson/18289/stats/batting,18289,3B/OF,-1.0,,,Low,2018,50,175,"6' 3""",,82,4,,Arkansas,40 / 45,40 / 55,55 / 55,55 / 55,45 / 50,60 / 60,,,,,,,,2018,0,,17497,4,Brian,Anderson,3B,24,MIA,2018,2018 Report,18289,0,,82,4,50,0,2018,3rd rd 2014,,75,175,R,R,Arkansas,"Anderson is going to strike out but he has above-average pull power that he's learning to tap into in games, runs well, and should be fine at third. He has a plus arm (accuracy is sometimes an issue) and is comfortable charging slow rollers on the grass, but, generally, he is not especially polished there. Anderson hasn't played third base full-time for all that long and he should be average there at peak. He profiles as an average regular and should get plenty of playing time in 2018.",HJ4Qe7NJx4M,40.0,45.0,40.0,55.0,55.0,55.0,55.0,55.0,45.0,50.0,60.0,60.0,,,,,,,,,,,0,0,,0,Low,n/a,6.073,,,,
MLB,MLB,sa737539,Ryan McMahon,Ryan McMahon,/players/ryan-mcmahon/15112/stats/batting,15112,3B,9.0,,,Low,2018,50,185,"6' 2""",,83,3,,Mater Dei HS (CA),40 / 45,50 / 60,60 / 60,30 / 30,40 / 50,55 / 55,,,,,,,,2018,0,,17474,3,Ryan,McMahon,1B,23,COL,2018,2018 Report,15112,0,,83,3,50,0,2018,2nd rd 2013,,74,185,L,R,Mater Dei HS (CA),"We're buying McMahon's bounceback 2017. He began altering his footwork late in 2016 and continued to grow more comfortable with it through 2017. His flyball rate has actually dropped in the last year, but McMahon's timing at the palte has improved and this is probably a function of him more frequently putting the ball in play than he was in 2016. He has plus raw power and is adept at golfing out balls down and in, but he has the strength to drive them out the other way. His transition to first base continues, but he's made progress and looks like a future 50 defender there. He's seen time at second base and could be a 40 glove there in a pinch. He tasted the Majors last season and should grab hold of a job in the next year or so.",aWNFMcDTPS8,40.0,45.0,50.0,60.0,60.0,60.0,30.0,30.0,40.0,50.0,55.0,55.0,,,,,,,,,,,0,0,,0,Low,n/a,8.006,,,,
MLB,MLB,sa917946,Joey Wentz,Joey Wentz,/players/joey-wentz/19962/stats/pitching,19962,P,16.0,,,Medium,2020,50,209,"6' 5""",,84,10,,Shawnee Mission East HS (MO),,,,,,,45 / 50,,45 / 55,60 / 60,,,45 / 55,2018,0,,17402,10,Joey,Wentz,LHP,19,ATL,2018,2018 Report,19962,0,,84,10,50,0,2020,1st rd 2016,,77,209,L,L,Shawnee Mission East HS (MO),"Wentz was seen as a middle-round two-way prospect entering the spring of his draft year in 2016, then broke out as a pitcher, eliciting Cole Hamels comps on his best days, going in the comp round to the Braves for an overslot bonus to forego a scholarship to Virginia. In his first full pro season with Atlanta, Wentz's velocity was down a bit (88-92) from his best amateur outings (91-95) but his inconsistent changeup became a consistent plus pitch to the point where he didn't even need his above average curveball more than a handful of times per game. He's a good athlete with a low effort delivery (and plus power at the plate), low mileage on his arm with an outpitch, starter's repetoire and feel for his craft, so it's a little less risky than the typical teenage pitcher.",xmXHVoWqXHQ,,,,,,,,,,,,,45.0,50.0,,,45.0,55.0,,,45.0,55.0,0,0,,0,Medium,0,2.166,60.0,60.0,,
MLB,MLB,sa657963,Carson Kelly,Carson Kelly,/players/carson-kelly/13620/stats/batting,13620,C,17.0,,,Low,2018,50,200,"6' 2""",,85,4,,Westview HS (OR),40 / 50,30 / 40,50 / 50,20 / 20,55 / 60,50 / 50,,,,,,,,2018,0,,17692,4,Carson,Kelly,C,23,STL,2018,2018 Report,13620,0,,85,4,50,0,2018,2nd rd 2012,,74,200,R,R,Westview HS (OR),"Kelly begins to separate himself from most catching prospects with his glove. He was drafted as a third baseman in 2012, then moved behind the plate in 2014 and picked up the finer points of catching rather quickly. He’s a good receiver, stealing strikes on the edges of the zone and just beneath it. He’s also more agile than his square, cinder-block frame suggests, and he effectively smothers errant, dirt-bound pitches. Big-league catchers hit a combined .245/.315/.406 in 2017, averaging just 89 wRC+. Despite lackluster physical tools, Kelly should be able to clear that bar, based largely on his superlative hand-eye coordination and a sound approach, all complemented by excellent defense.",_drUP_dWklE,40.0,50.0,30.0,40.0,50.0,50.0,20.0,20.0,55.0,60.0,50.0,50.0,,,,,,,,,,,0,0,,0,Low,n/a,7.161,,,,
