event,horizon,n_scouted,pos_scouted,base_rate_scouted,model_ap,fv_ap,ap_ratio_model_over_fv,model_auc,fv_auc,model_spearman,fv_spearman,model_ap_full_pop
TOP_100_PROSPECT,6,171,20,0.116959,0.604257,0.398902,1.514799,0.895695,0.840397,0.440521,0.467278,0.545733
MLB_DEBUT,6,217,122,0.562212,0.994501,0.750127,1.325777,0.994305,0.728171,0.849518,0.440263,0.661864
ESTABLISHED_MLB,6,217,20,0.092166,0.681051,0.138339,4.923040,0.947716,0.652030,0.448628,0.171037,0.389656
STAR_PLUS_ELITE,6,217,1,0.004608,0.333333,0.027778,12.000000,0.990741,0.891204,0.115137,0.103048,0.134415
