event,h,combo,ap,d_ap,lo,hi,calib
MLB_DEBUT,3,control+v3,0.5447655853553914,0.013608064768047459,0.007894698045135307,0.019758011386055704,0.9030552372313756
MLB_DEBUT,3,control+v3+haz,0.5420568668550424,0.010935864998869074,0.0035581788413202088,0.018954596236888253,0.8911078488733191
MLB_DEBUT,6,control+v3,0.5747690751893929,0.007477486107715074,0.003666482015550837,0.011975435493800687,0.9146855124192983
MLB_DEBUT,6,control+v3+haz,0.5745169354152193,0.007170361589389792,0.0015492537382943762,0.013077889801236042,0.9074666331764509
TOP_100_PROSPECT,3,control+v3,0.4582311146921421,0.0032120911932435317,-0.009272923059071654,0.014688279404409347,0.9728331009520985
TOP_100_PROSPECT,3,control+haz,0.46120363577673906,0.0062512821675893065,-0.008424897414318185,0.020021320850455864,0.9267495974104202
TOP_100_PROSPECT,3,control+v3+haz,0.45857308385763873,0.003440936595093366,-0.011412876393202537,0.01878310118570459,0.942978200443825
TOP_100_PROSPECT,6,control+v3,0.4332861825681192,0.0032580163749219722,-0.00986423136110438,0.014224327729589837,0.9660416575604365
TOP_100_PROSPECT,6,control+haz,0.43877596339471964,0.008637635301824485,-0.006625829800073806,0.024702260523315995,0.9755448771684098
TOP_100_PROSPECT,6,control+v3+haz,0.4352046945772112,0.005286985319093576,-0.012536993785475107,0.021149305541588292,0.9656357054034644
ESTABLISHED_MLB,3,control+v3cond,0.27191507437297535,0.0237009834709426,0.009642252194073837,0.0394344847073803,0.7282421222882832
ESTABLISHED_MLB,3,control+v3,0.2657285355107174,0.017285669904091007,0.0036955868097276663,0.03174264623396565,0.6817586561358963
ESTABLISHED_MLB,3,v3cond+haz,0.2713211721469068,0.021345295066337956,-0.0043329917682650805,0.05226666770355677,0.8325380900549219
ESTABLISHED_MLB,3,control+v3cond+haz,0.27087036686355087,0.022319339382205056,0.005821912168059235,0.044135362072806064,0.7611962424390564
ESTABLISHED_MLB,3,control+v3+v3cond+haz,0.2723230867789325,0.02383832000784139,0.004215052639100905,0.04509654158101291,0.757148373095409
ESTABLISHED_MLB,6,control+v3cond,0.34644782719953277,0.0213389419230033,0.012369631832098542,0.0317264981595994,0.7843464395265101
ESTABLISHED_MLB,6,control+v3,0.3392392021680255,0.014179795910658708,0.00432731417155884,0.023822519032281192,0.780918657262641
ESTABLISHED_MLB,6,v3cond+haz,0.34997016192097147,0.024951332962563216,0.008794508908840417,0.04114165499745635,0.824726598831833
ESTABLISHED_MLB,6,control+v3cond+haz,0.3473261101904431,0.022492163893125063,0.010585959692233348,0.03456252698480848,0.795354681049943
ESTABLISHED_MLB,6,control+v3+v3cond+haz,0.3466435816386703,0.021741970581171464,0.00845083500350477,0.03500944071900642,0.8028226280472369
STAR_PLUS_ELITE,3,v3cond,0.11907089599419961,0.05942634514668157,0.0021627687088026527,0.14775465462542955,0.7676459890708313
STAR_PLUS_ELITE,3,haz,0.10526137449799586,0.04877900174171708,-0.0024553818313028286,0.12012929372272135,0.5674687933950172
STAR_PLUS_ELITE,3,control+v3cond,0.09464656115034725,0.039697186287472444,0.002584969237399802,0.10090534585805952,0.6192012692407853
STAR_PLUS_ELITE,3,v3cond+haz,0.1226684337252669,0.06468564794260133,0.0018890014132046963,0.1573331650818311,0.6675573912329242
STAR_PLUS_ELITE,3,control+v3cond+haz,0.0963246860811015,0.042201422815544024,0.0010237218100863721,0.1092938415731265,0.6019571106255293
STAR_PLUS_ELITE,3,v3+v3cond+haz,0.10858140906482727,0.05139555518942042,-0.0007668223531376311,0.12987987068141532,0.6520957113595458
STAR_PLUS_ELITE,6,v3cond,0.185559449615055,0.05196507852020323,0.019266907445206483,0.09319643014770436,0.9164364147944689
STAR_PLUS_ELITE,6,haz,0.18355025600443284,0.05033824139920043,0.010354173420801497,0.09636455113322097,0.7724025667235502
STAR_PLUS_ELITE,6,control+v3cond,0.1745933827626238,0.040276532051590666,0.015423856554419574,0.07155872292884043,0.8413976415479397
STAR_PLUS_ELITE,6,v3cond+haz,0.1900601740573027,0.05654238912173949,0.01847418695809132,0.09714416353940727,0.8444194907590095
STAR_PLUS_ELITE,6,control+v3cond+haz,0.17991225782690895,0.046988078094165775,0.016299157734046717,0.08166787800098797,0.8183992832731432
STAR_PLUS_ELITE,6,v3+v3cond+haz,0.1902983787959024,0.05659356077808986,0.020475075545486002,0.0989799297226943,0.8659246201199459
