estimator,n,mae,spearman,bias,q25_q75_coverage,mean_window_width
"C_cdf_mean(cal,OOF)",2911,1.0915198250643585,0.6225413537655616,0.12489840337412592,,
"C_cdf_median(cal,OOF)",2911,1.0312607351425627,0.6133413031237319,-0.15183785640673308,0.7402954311233253,1.7131569907248367
A_cdf_mean(cal_valfit),2911,1.1179127610790058,0.6328449595682674,0.24980942391121846,,
lasso_timing.pkl,2911,1.1631700440671366,0.5714838558698382,0.17400225104526343,,
hazard_mean_t,2911,1.5394623617287024,0.5463674557902984,1.0329073071202821,,
