Y,variant,ap,auc,calib,n_feats
2016,A,0.5590865413462612,0.9411367306195034,1.358056601979367,251
2016,B,0.6406839775076579,0.9498370343056743,1.0706302026749692,336
2016,C1,0.5625497115565586,0.9436499208650186,1.3372892563502552,251
2016,B1,0.6537855597914457,0.9534854231070683,1.101065431092827,336
2016,blend A50/B50,0.6246614345174699,0.9472035294591166,1.2105439012768677,0
2016,blend A30/B70,0.6370302221180519,0.9488355667272136,1.1517479085508262,0
2016,blend A50/B150,0.6277374003013482,0.9493363005164438,1.219724500587113,0
2016,blend A30/B170,0.6421213772826068,0.9515287960879577,1.1689532344496554,0
2016,blend C150/B150,0.6266348441690051,0.9499123391279094,1.2126843124879365,0
2016,blend C130/B170,0.6410827129777377,0.9518572809159835,1.164931337746355,0
2014,A,0.39141666774612743,0.8562713539330625,0.4102918531450852,251
2014,B,0.32060411155409296,0.8403889989365122,0.2794517627431726,336
2014,C1,0.4188557376068066,0.8618796797592985,0.3806240457816169,251
2014,B1,0.3721422378606501,0.8595058911125709,0.22572500694698164,336
2014,blend A50/B50,0.37525626643604404,0.8557099098767142,0.32153373911003025,0
2014,blend A30/B70,0.35332839966359225,0.852000408496213,0.2987002854686222,0
2014,blend A50/B150,0.399768850322053,0.8635312941134615,0.28928555901999464,0
2014,blend A30/B170,0.38937395456421897,0.8639447138811206,0.2567849805906714,0
2014,blend C150/B150,0.4085662142389898,0.8664697033034192,0.27956484757068745,0
2014,blend C130/B170,0.39462694736589904,0.8656314284153269,0.25218904594926994,0
2012,A,0.5930659744778796,0.9485972728973711,1.170925397205875,251
2012,B,0.6461678442169667,0.9521068680419122,1.1033965401237935,336
2012,C1,0.5913901583175059,0.9507006326597436,1.1569238545349947,251
2012,B1,0.6508083331449076,0.955796554869492,1.1123591372380863,336
2012,blend A50/B50,0.6383544813132999,0.9526518207970813,1.121567698379902,0
2012,blend A30/B70,0.64719471551043,0.9531663684629057,1.1093365207921706,0
2012,blend A50/B150,0.6375210208886025,0.9543556752268686,1.1244150653152842,0
2012,blend A30/B170,0.6473948801680208,0.9555474670221722,1.1146337153844117,0
2012,blend C150/B150,0.6382739950597986,0.9551410913088222,1.1182629912078093,0
2012,blend C130/B170,0.6477444434167144,0.9559823475067827,1.111223924564096,0
