Y,variant,ap,auc,calib,n_feats
2016,A,0.5590865413462612,0.9411367306195034,1.358056601979367,251
2016,B,0.6406839775076579,0.9498370343056743,1.0706302026749692,336
2016,C1,0.5625497115565586,0.9436499208650186,1.3372892563502552,251
2016,C2,0.5590865413462612,0.9411367306195034,1.2470783797683074,251
2016,C3,0.5625497115565586,0.9436499208650186,1.2576918358339866,251
2014,A,0.39141666774612743,0.8562713539330625,0.4102918531450852,251
2014,B,0.32060411155409296,0.8403889989365122,0.2794517627431726,336
2014,C1,0.4188557376068066,0.8618796797592985,0.3806240457816169,251
2014,C2,0.39141666774612743,0.8562713539330625,0.39338363881154265,251
2014,C3,0.4188557376068066,0.8618796797592985,0.3626449959570495,251
2012,A,0.5930659744778796,0.9485972728973711,1.170925397205875,251
2012,B,0.6461678442169667,0.9521068680419122,1.1033965401237935,336
2012,C1,0.5913901583175059,0.9507006326597436,1.1569238545349947,251
2012,C2,0.5930659744778796,0.9485972728973711,1.1990195270132018,251
2012,C3,0.5913901583175059,0.9507006326597436,1.191653870255144,251
