rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Bryce Harper,1b,6-2,210,L,R,1992-10-16,"Las Vegas,NV",MLB,2012-2026,2011-2026,2010- 1- 1-WAS,premium,premium,premium
2,Mike Trout,cf,6-2,235,R,R,1991-08-07,"Vineland,NJ",MLB,2011-2026,2009-2026,2009- 1- 25-ANA,premium,premium,premium
3,Jesus Montero,c,6-3,235,R,R,1989-11-28,"Guacara,VZ",MLB,2011-2015,2007-2018,2006- UDFA -NYA,premium,premium,premium
4,Domonic Brown,lf,6-5,225,L,L,1987-09-03,"Zephyrhills,FL",MLB,2010-2015,2006-2019,2006- 20- 607-PHI,premium,premium,premium
5,Julio Teheran,p,6-2,205,R,R,1991-01-27,"Cartagena,CB",MLB,2011-2024,2008-2025,2007- UDFA -ATL,premium,premium,premium
6,Jeremy Hellickson,p,6-1,190,R,R,1987-04-08,"Des Moines,IA",MLB,2010-2019,2005-2019,2005- 4- 118-TBA,premium,premium,premium
7,Aroldis Chapman,p,6-4,235,L,L,1988-02-28,"Holguin,CU",MLB,2010-2026,2010-2026,2010- UDFA -CIN,premium,premium,premium
8,Eric Hosmer,1b,6-4,226,L,L,1989-10-24,"South Miami,FL",MLB,2011-2023,2008-2023,2008- 1- 3-KCA,premium,premium,premium
9,Mike Moustakas,3b-1b,6-0,230,L,R,1988-09-11,"Los Angeles,CA",MLB,2011-2023,2007-2023,2007- 1- 2-KCA,premium,premium,premium
10,Wil Myers,rf-1b,6-3,207,R,R,1990-12-10,"Thomasville,NC",MLB,2013-2023,2009-2023,2009- 3- 91-KCA,premium,premium,premium
11,Jameson Taillon,p,6-5,230,R,R,1991-11-18,"Lakeland,FL",MLB,2016-2026,2011-2026,2010- 1- 2-PIT,premium,premium,premium
12,Dustin Ackley,2b-cf,6-1,205,L,R,1988-02-26,"Winston-Salem,NC",MLB,2011-2016,2007-2018,2009- 1- 2-SEA,premium,premium,premium
13,Shelby Miller,p,6-3,225,R,R,1990-10-10,"Round Rock,TX",MLB,2012-2025,2009-2025,2009- 1- 19-SLN,premium,premium,premium
14,Manny Machado,3b-dh,6-2,218,R,R,1992-07-06,"Miami,FL",MLB,2012-2026,2010-2026,2010- 1- 3-BAL,premium,premium,premium
15,Matt Moore,p,6-3,210,L,L,1989-06-18,"Fort Walton Beach,FL",MLB,2011-2024,2007-2024,2007- 8- 245-TBA,premium,premium,premium
16,Michael Pineda,p,6-7,280,R,R,1989-01-18,"Yaguate,DR",MLB,2011-2022,2008-2022,2005- UDFA -SEA,premium,premium,premium
17,Freddie Freeman,1b,6-4,220,L,R,1989-09-12,"Villa Park,CA",MLB,2010-2026,2007-2026,2007- 2- 78-ATL,premium,premium,premium
