rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Gunnar Henderson,3b-ss,6-3,220,L,R,2001-06-29,"Montgomery,AL",MLB,2022-2026,2019-2026,2019- 2- 42-BAL,premium,premium,premium
2,Corbin Carroll,cf-lf,5-10,165,L,L,2000-08-21,"Seattle,WA",MLB,2022-2026,2019-2026,2019- 1- 16-ARI,premium,premium,premium
3,Jackson Chourio,lf-rf,6-0,204,R,R,2004-03-11,"Maracaibo,VZ",MLB,2024-2026,2021-2026,2021- UDFA -MIL,premium,premium,premium
4,Jordan Walker,rf,6-6,250,R,R,2002-05-22,"Stone Mountain,GA",MLB,2023-2026,2021-2026,2020- 1- 21-SLN,premium,premium,premium
5,Andrew Painter,p,6-7,215,R,R,2003-04-10,"Pompano Beach,FL",MLB,2026-2026,2021-2026,2021- 1- 13-PHI,premium,premium,premium
6,Grayson Rodriguez,p,6-5,230,L,R,1999-11-16,"Houston,TX",MLB,2023-2024,2018-2026,2018- 1- 11-BAL,premium,premium,premium
7,Eury Perez,p,6-8,220,R,R,2003-04-15,"Santiago,DR",MLB,2023-2026,2021-2026,2019- UDFA -MIA,premium,premium,premium
8,Elly De La Cruz,ss-3b,6-5,200,B,R,2002-01-11,"Sabana Grande De Boya,DR",MLB,2023-2026,2019-2026,2018- UDFA -CIN,premium,premium,premium
9,Francisco Alvarez,c,5-10,233,R,R,2001-11-19,"Guatire,VZ",MLB,2022-2026,2019-2026,2018- UDFA -NYN,premium,premium,premium
10,Marcelo Mayer,ss,6-3,188,L,R,2002-12-12,"Chula Vista,CA",MLB,2025-2026,2021-2026,2021- 1- 4-BOS,premium,premium,premium
11,James Wood,lf-cf,6-7,234,L,R,2002-09-17,"Rockville,MD",MLB,2024-2026,2021-2026,2021- 2- 62-SDN,premium,premium,premium
12,Gabriel Moreno,c,5-9,195,R,R,2000-02-14,"Barquisimeto,VZ",MLB,2022-2026,2017-2026,2016- UDFA -TOR,premium,premium,premium
13,Jordan Lawlar,ss-3b,6-0,190,R,R,2002-07-17,"Carrollton,TX",MLB,2023-2026,2021-2026,2021- 1- 6-ARI,premium,premium,premium
14,Anthony Volpe,ss,5-10,197,R,R,2001-04-28,"New York,NY",MLB,2023-2026,2019-2026,2019- 1- 30-NYA,premium,premium,premium
15,Jackson Holliday,ss-2b,6-0,185,L,R,2003-12-04,"Austin,TX",MLB,2024-2025,2022-2026,2022- 1- 1-BAL,premium,premium,premium
16,Kodai Senga,p,6-1,202,L,R,1993-01-30,"Gamagori,JP",MLB,2023-2026,2012-2026, ,premium,premium,premium
17,Ezequiel Tovar,ss,6-0,162,R,R,2001-08-01,"Maracay,VZ",MLB,2022-2026,2018-2026,2017- UDFA -COL,premium,premium,premium
18,Diego Cartaya,c,6-1,219,R,R,2001-09-07,"Maracay,VZ",AAA, ,2019-2026,2018- UDFA -LAN,premium,premium,premium
19,Daniel Espino,p,6-2,225,R,R,2001-01-05,"Panama City,PN",AAA, ,2019-2026,2019- 1- 24-CLE,premium,premium,premium
20,Gavin Williams,p,6-6,250,L,R,1999-07-26,"Fayetteville,NC",MLB,2023-2026,2018-2026,2021- 1- 23-CLE,premium,premium,premium
21,Bobby Miller,p,6-5,220,L,R,1999-04-05,"Elk Grove Village,IL",MLB,2023-2025,2018-2025,2020- 1- 29-LAN,premium,premium,premium
22,Jackson Merrill,cf,6-3,195,L,R,2003-04-19,"Baltimore,MD",MLB,2024-2026,2021-2026,2021- 1- 27-SDN,premium,premium,premium
23,Endy Rodriguez,c-1b,6-0,210,B,R,2000-05-26,"Santiago,DR",MLB,2023-2025,2018-2026,2018- UDFA -NYN,premium,premium,premium
24,Druw Jones,of,6-4,180,R,R,2003-11-28,"Atlanta,GA",AA, ,2023-2026,2022- 1- 2-ARI,premium,premium,premium
25,Pete Crow-Armstrong,cf,6-0,184,L,L,2002-03-25,"Sherman Oaks,CA",MLB,2023-2026,2021-2026,2020- 1- 19-NYN,premium,premium,premium
26,Evan Carter,lf-rf,6-3,190,L,R,2002-08-29,"Elizabethton,TN",MLB,2023-2026,2021-2026,2020- 2- 50-TEX,premium,premium,premium
