rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
27,Brandon Pfaadt,p,6-4,220,R,R,1998-10-15,"Louisville,KY",MLB,2023-2026,2018-2026,2020- 5- 149-ARI,premium,premium,premium
28,Hunter Brown,p,6-2,220,R,R,1998-08-29,"Detroit,MI",MLB,2022-2026,2017-2026,2019- 5- 166-HOU,premium,premium,premium
29,Triston Casas,1b,6-4,244,L,R,2000-01-15,"Miami,FL",MLB,2022-2025,2018-2025,2018- 1- 26-BOS,premium,premium,premium
30,Miguel Vargas,lf-3b,6-2,225,R,R,1999-11-17,"Havana,CU",MLB,2022-2026,2018-2026,2017- UDFA -LAN,premium,premium,premium
31,Ricky Tiedemann,p,6-4,220,L,L,2002-08-18,"Long Beach,CA",AAA, ,2022-2024,2021- 3- 91-TOR,premium,premium,premium
32,Shane Baz,p,6-3,200,R,R,1999-06-17,"Houston,TX",MLB,2021-2026,2017-2026,2017- 1- 12-PIT,premium,premium,premium
33,Brett Baty,3b-2b,6-3,210,L,R,1999-11-13,"Round Rock,TX",MLB,2022-2026,2019-2026,2019- 1- 12-NYN,premium,premium,premium
34,Sal Frelick,rf-cf,5-8,188,L,R,2000-04-19,"Boston,MA",MLB,2023-2026,2019-2026,2021- 1- 15-MIL,premium,premium,premium
35,Tyler Soderstrom,c-1b,6-2,200,L,R,2001-11-24,"Turlock,CA",MLB,2023-2026,2021-2026,2020- 1- 26-OAK,premium,premium,premium
36,Curtis Mead,3b-2b,6-1,225,R,R,2000-10-26,"Adelaide,AU",MLB,2023-2026,2018-2026,2018- UDFA -PHI,premium,premium,premium
37,Marco Luciano,ss-2b,6-1,215,R,R,2001-09-10,"San Francisco de Macoris,DR",MLB,2023-2024,2019-2026,2018- UDFA -SFN,premium,premium,premium
38,Kyle Harrison,p,6-2,209,R,L,2001-08-12,"San Jose,CA",MLB,2023-2026,2021-2026,2020- 3- 85-SFN,premium,premium,premium
39,Colson Montgomery,ss,6-3,230,L,R,2002-02-27,"Holland,IN",MLB,2025-2026,2021-2026,2021- 1- 22-CHA,premium,premium,premium
40,Mick Abel,p,6-5,190,R,R,2001-08-18,"Portland,OR",MLB,2025-2026,2021-2026,2020- 1- 15-PHI,premium,premium,premium
41,Colton Cowser,lf-cf,6-3,220,L,R,2000-03-20,"Houston,TX",MLB,2023-2026,2019-2026,2021- 1- 5-BAL,premium,premium,premium
42,Logan O'Hoppe,c,6-2,185,R,R,2000-02-09,"West Islip,NY",MLB,2022-2026,2018-2026,2018- 23- 677-PHI,premium,premium,premium
43,Royce Lewis,3b-dh,6-0,200,R,R,1999-06-05,"Aliso Viejo,CA",MLB,2022-2026,2017-2026,2017- 1- 1-MIN,premium,premium,premium
44,Taj Bradley,p,6-2,220,R,R,2001-03-20,"Los Angeles,CA",MLB,2023-2026,2018-2026,2018- 5- 150-TBA,premium,premium,premium
45,Brooks Lee,ss-3b,6-1,205,B,R,2001-02-14,"San Luis Obispo,CA",MLB,2024-2026,2020-2026,2022- 1- 8-MIN,premium,premium,premium
46,Emmanuel Rodriguez,cf,5-11,210,L,L,2003-02-28,"Santiago,CU",AAA, ,2021-2026,2019- UDFA -MIN,premium,premium,premium
47,Tink Hence,p,6-1,195,R,R,2002-08-06,"Pine Bluff,AR",AAA, ,2021-2026,2020- 2- 63-SLN,premium,premium,premium
48,Masyn Winn,ss,5-9,185,R,R,2002-03-21,"Katy,TX",MLB,2023-2026,2021-2026,2020- 2- 54-SLN,premium,premium,premium
49,Termarr Johnson,2b-ss,5-8,190,L,R,2004-06-11,"Atlanta,GA",AAA, ,2022-2026,2022- 1- 4-PIT,premium,premium,premium
50,Kevin Parada,c,5-11,197,R,R,2001-08-03,"Pasadena,CA",AAA, ,2021-2026,2022- 1- 11-NYN,premium,premium,premium
51,Zac Veen,lf-rf,6-3,190,L,R,2001-12-12,"Port Orange,FL",MLB,2025-2025,2021-2026,2020- 1- 9-COL,premium,premium,premium
52,Carson Williams,ss,6-2,180,R,R,2003-06-25,"San Diego,CA",MLB,2025-2026,2021-2026,2021- 1- 28-TBA,premium,premium,premium
53,Zach Neto,ss,5-11,185,R,R,2001-01-31,"Miami,FL",MLB,2023-2026,2020-2026,2022- 1- 13-ANA,premium,premium,premium
54,Michael Busch,1b,6-0,210,L,R,1997-11-09,"Inver Grove Heights,MN",MLB,2023-2026,2017-2026,2019- 1- 31-LAN,premium,premium,premium
55,Ryan Pepiot,p,6-3,210,R,R,1997-08-21,"Indianapolis,IN",MLB,2022-2025,2017-2025,2019- 3- 102-LAN,premium,premium,premium
56,Gavin Stone,p,6-1,175,R,R,1998-10-15,"Lake City,AR",MLB,2023-2024,2018-2024,2020- 5- 159-LAN,premium,premium,premium
57,Robert Hassell,cf-rf,6-1,186,L,L,2001-08-15,"Franklin,TN",MLB,2025-2025,2021-2026,2020- 1- 8-SDN,premium,premium,premium
58,Elijah Green,cf,6-3,225,R,R,2003-12-04,"Windermere,FL",A+, ,2022-2026,2022- 1- 5-WAS,premium,premium,premium
59,Owen White,p,6-3,200,R,R,1999-08-09,"Mount Ulla,NC",MLB,2023-2025,2021-2025,2018- 2- 55-TEX,premium,premium,premium
60,Kyle Manzardo,1b-dh,6-0,205,L,R,2000-07-18,"Coeur d'Alene,ID",MLB,2024-2026,2019-2026,2021- 2- 63-TBA,premium,premium,premium
61,Cade Cavalli,p,6-4,223,R,R,1998-08-14,"Tulsa,OK",MLB,2022-2026,2018-2026,2020- 1- 22-WAS,premium,premium,premium
62,Oswald Peraza,ss-3b,5-11,200,R,R,2000-06-15,"Barquisimeto,VZ",MLB,2022-2026,2017-2026,2016- UDFA -NYA,premium,premium,premium
63,Noelvi Marte,3b,6-2,216,R,R,2001-10-16,"Cotui,DR",MLB,2023-2026,2019-2026,2018- UDFA -SEA,premium,premium,premium
64,Harry Ford,c,5-10,200,R,R,2003-02-21,"Atlanta,GA",MLB,2025-2025,2021-2026,2021- 1- 12-SEA,premium,premium,premium
65,Edwin Arroyo,ss,5-11,173,B,R,2003-08-25,"Arecibo,PR",AAA, ,2021-2026,2021- 2- 48-SEA,premium,premium,premium
66,Josh Jung,3b,6-1,214,R,R,1998-02-12,"San Antonio,TX",MLB,2022-2026,2017-2026,2019- 1- 8-TEX,premium,premium,premium
67,Jasson Dominguez,cf-lf,5-9,218,B,R,2003-02-07,"Esperanza,DR",MLB,2023-2026,2021-2026,2019- UDFA -NYA,premium,premium,premium
68,Bo Naylor,c,6-0,205,L,R,2000-02-21,"Mississauga,ON",MLB,2022-2026,2018-2026,2018- 1- 29-CLE,premium,premium,premium
69,Dylan Lesko,p,6-2,195,R,R,2003-09-07,"Atlanta,GA",A+, ,2023-2026,2022- 1- 15-SDN,premium,premium,premium
70,Cam Collier,3b,6-1,210,L,R,2004-11-20,"Chicago,IL",AA, ,2022-2026,2022- 1- 18-CIN,premium,premium,premium
71,Ceddanne Rafaela,cf-ss,5-10,165,R,R,2000-09-18,"Willemstad,CC",MLB,2023-2026,2018-2026,2017- UDFA -BOS,premium,premium,premium
72,George Valera,rf-lf,5-10,195,L,L,2000-11-13,"Queens,NY",MLB,2025-2026,2018-2026,2017- UDFA -CLE,premium,premium,premium
73,Henry Davis,c,6-0,225,R,R,1999-09-21,"Bedford,NY",MLB,2023-2026,2019-2026,2021- 1- 1-PIT,premium,premium,premium
74,Luis Ortiz,p,6-2,235,R,R,1999-01-27,"San Pedro de Macoris,DR",MLB,2022-2025,2019-2025,2018- UDFA -PIT,premium,premium,premium
75,DL Hall,p,6-1,204,L,L,1998-09-19,"Valdosta,GA",MLB,2022-2026,2017-2026,2017- 1- 21-BAL,premium,premium,premium
76,Jordan Westburg,3b-2b,6-1,210,R,R,1999-02-18,"New Braunfels,TX",MLB,2023-2025,2018-2025,2020- 1- 30-BAL,premium,premium,premium
77,Brayan Rocchio,ss,5-9,170,B,R,2001-01-13,"Caracas,VZ",MLB,2023-2026,2018-2026,2017- UDFA -CLE,premium,premium,premium
78,Everson Pereira,cf-rf,5-11,203,R,R,2001-04-10,"Cabudare,VZ",MLB,2023-2026,2018-2026,2017- UDFA -NYA,premium,premium,premium
79,Matthew Liberatore,p,6-4,215,L,L,1999-11-06,"Peoria,AZ",MLB,2022-2026,2018-2026,2018- 1- 16-TBA,premium,premium,premium
80,Drew Romo,c,6-1,205,B,R,2001-08-29,"Fountain Valley,CA",MLB,2024-2026,2021-2026,2020- 1- 35-COL,premium,premium,premium
81,Adael Amador,2b,5-11,200,B,R,2003-04-11,"Santo Domingo,DR",MLB,2024-2025,2021-2026,2019- UDFA -COL,premium,premium,premium
82,Yainer Diaz,c-dh,5-11,195,R,R,1998-09-21,"Azua,DR",MLB,2022-2026,2017-2026,2016- UDFA -CLE,premium,premium,premium
83,Jackson Jobe,p,6-2,190,R,R,2002-07-30,"Irving,TX",MLB,2024-2025,2022-2025,2021- 1- 3-DET,premium,premium,premium
84,Brennen Davis,lf-rf,6-2,210,R,R,1999-11-02,"Chandler,AZ",AAA, ,2018-2026,2018- 2- 62-CHN,premium,premium,premium
85,Logan Allen,p,6-0,190,R,L,1998-09-05,"Altamonte Springs,FL",MLB,2023-2025,2018-2026,2020- 2- 56-CLE,premium,premium,premium
86,Tanner Bibee,p,6-2,205,R,R,1999-03-05,"Mission Viejo,CA",MLB,2023-2026,2018-2026,2021- 5- 156-CLE,premium,premium,premium
87,Masataka Yoshida,lf-dh,5-8,192,L,R,1993-07-15,"Fukui,JP",MLB,2023-2026,2016-2026, ,premium,premium,premium
88,Miguel Bleis,rf-cf,6-0,170,R,R,2004-03-01,"San Pedro De Macoris,DR",AA, ,2021-2026,2021- UDFA -BOS,premium,premium,premium
89,Oscar Colas,rf,6-0,230,L,L,1998-09-17,"Havana,CU",MLB,2023-2024,2019-2025,2022- UDFA -CHA,premium,premium,premium
90,Max Meyer,p,6-0,196,L,R,1999-03-12,"Woodbury,MN",MLB,2022-2026,2018-2026,2020- 1- 3-MIA,premium,premium,premium
91,Kevin Alcantara,cf,6-6,188,R,R,2002-07-12,"Santo Domingo,DR",MLB,2024-2025,2019-2026,2018- UDFA -NYA,premium,premium,premium
92,Alex Ramirez,cf-lf,6-4,170,R,R,2003-01-13,"Santo Domingo,DR",AA, ,2021-2026,2019- UDFA -NYN,premium,premium,premium
93,Connor Norby,2b-3b,5-10,180,R,R,2000-06-08,"Brooklyn Park,MN",MLB,2024-2026,2019-2026,2021- 2- 41-BAL,premium,premium,premium
94,Austin Wells,c,6-1,220,L,R,1999-07-12,"Scottsdale,AZ",MLB,2023-2026,2019-2026,2020- 1- 28-NYA,premium,premium,premium
95,Joey Ortiz,3b,5-10,183,R,R,1998-07-14,"Garden Grove,CA",MLB,2023-2026,2017-2026,2019- 4- 108-BAL,premium,premium,premium
96,Jonathan Aranda,1b-2b,6-0,215,L,R,1998-05-23,"Tijuana,MX",MLB,2022-2026,2016-2026,2015- UDFA -TBA,premium,premium,premium
97,Gavin Cross,rf,6-2,210,L,L,2001-02-13,"Bristol,TN",AAA, ,2020-2026,2022- 1- 9-KCA,premium,premium,premium
98,Jett Williams,ss-2b,5-7,175,R,R,2003-11-03,"Dallas,TX",AAA, ,2022-2026,2022- 1- 14-NYN,premium,premium,premium
99,Cole Young,ss-2b,5-11,180,L,R,2003-07-29,"Pittsburgh,PA",MLB,2025-2026,2022-2026,2022- 1- 21-SEA,premium,premium,premium
100,Bryce Miller,p,6-2,200,R,R,1998-08-23,"Mount Pleasant,TX",MLB,2023-2026,2018-2026,2021- 4- 113-SEA,premium,premium,premium
THE BASEBALL CUBE
