rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Matt Wieters,c,6-5,235,B,R,1986-05-21,"Charleston,SC",MLB,2009-2020,2005-2020,2007- 1- 5-BAL,premium,premium,premium
2,David Price,p,6-5,215,L,L,1985-08-26,"Murfreesboro,TN",MLB,2008-2022,2005-2022,2007- 1- 1-TBA,premium,premium,premium
3,Colby Rasmus,cf,6-2,195,L,L,1986-08-11,"Columbus,GA",MLB,2009-2018,2005-2018,2005- 1- 28-SLN,premium,premium,premium
4,Tommy Hanson,p,6-6,220,R,R,1986-08-28,"Tulsa,OK",MLB,2009-2013,2005-2015,2005- 22- 677-ATL,premium,premium,premium
5,Jason Heyward,rf,6-5,240,L,L,1989-08-09,"Ridgewood,NJ",MLB,2010-2025,2007-2025,2007- 1- 14-ATL,premium,premium,premium
6,Travis Snider,1b-rf,6-0,230,L,L,1988-02-02,"Kirkland,WA",MLB,2008-2015,2006-2021,2006- 1- 14-TOR,premium,premium,premium
7,Brett Anderson,p,6-4,230,L,L,1988-02-01,"Midland,TX",MLB,2009-2021,2007-2021,2006- 2- 55-ARI,premium,premium,premium
8,Cameron Maybin,lf-cf,6-3,215,R,R,1987-04-04,"Asheville,NC",MLB,2007-2021,2006-2021,2005- 1- 10-DET,premium,premium,premium
9,Madison Bumgarner,p,6-4,240,R,L,1989-08-01,"Hickory,NC",MLB,2009-2023,2008-2023,2007- 1- 10-SFN,premium,premium,premium
10,Neftali Feliz,p,6-3,235,R,R,1988-05-02,"Azua,DR",MLB,2009-2021,2006-2025,2005- UDFA -ATL,premium,premium,premium
11,Trevor Cahill,p,6-4,223,R,R,1988-03-01,"Oceanside,CA",MLB,2009-2021,2006-2025,2006- 2- 66-OAK,premium,premium,premium
12,Pedro Alvarez,3b,6-3,250,L,R,1987-02-06,"Santo Domingo,DR",MLB,2010-2018,2006-2018,2008- 1- 2-PIT,premium,premium,premium
13,Mike Moustakas,3b-1b,6-0,230,L,R,1988-09-11,"Los Angeles,CA",MLB,2011-2023,2007-2023,2007- 1- 2-KCA,premium,premium,premium
14,Buster Posey,c,6-1,213,R,R,1987-03-27,"Leesburg,GA",MLB,2009-2021,2006-2021,2008- 1- 5-SFN,premium,premium,premium
15,Dexter Fowler,rf,6-5,205,B,R,1986-03-22,"Atlanta,GA",MLB,2008-2021,2005-2022,2004- 14- 410-COL,premium,premium,premium
16,Giancarlo Stanton,dh-rf,6-6,245,R,R,1989-11-08,"Panorama City,CA",MLB,2010-2026,2007-2026,2007- 2- 76-MIA,premium,premium,premium
17,Lars Anderson,1b-of,6-4,215,L,L,1987-09-25,"Oakland,CA",MLB,2010-2012,2007-2016,2006- 18- 553-BOS,premium,premium,premium
18,Logan Morrison,1b,6-3,245,L,L,1987-08-25,"Kansas City,MO",MLB,2010-2020,2006-2022,2005- 22- 666-MIA,premium,premium,premium
