rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Jay Bruce,1b,6-3,230,L,L,1987-04-03,"Beaumont,TX",MLB,2008-2021,2005-2021,2005- 1- 12-CIN,premium,premium,premium
2,Evan Longoria,3b,6-1,213,R,R,1985-10-07,"Downey,CA",MLB,2008-2023,2005-2023,2006- 1- 3-TBA,premium,premium,premium
3,Joba Chamberlain,p,6-3,245,R,R,1985-09-23,"Lincoln,NE",MLB,2007-2016,2005-2016,2006- 1- 41-NYA,premium,premium,premium
4,Clay Buchholz,p,6-3,190,L,R,1984-08-14,"Nederland,TX",MLB,2007-2019,2004-2019,2005- 1- 42-BOS,premium,premium,premium
5,Colby Rasmus,cf,6-2,195,L,L,1986-08-11,"Columbus,GA",MLB,2009-2018,2005-2018,2005- 1- 28-SLN,premium,premium,premium
6,Cameron Maybin,lf-cf,6-3,215,R,R,1987-04-04,"Asheville,NC",MLB,2007-2021,2006-2021,2005- 1- 10-DET,premium,premium,premium
7,Clayton Kershaw,p,6-4,225,L,L,1988-03-19,"Dallas,TX",MLB,2008-2025,2006-2025,2006- 1- 7-LAN,premium,premium,premium
8,Franklin Morales,p,6-1,210,L,L,1986-01-24,"San Juan de los Morros,VZ",MLB,2007-2016,2004-2017,2002- UDFA -COL,premium,premium,premium
9,Homer Bailey,p,6-4,223,R,R,1986-05-03,"La Grange,TX",MLB,2007-2020,2004-2021,2004- 1- 7-CIN,premium,premium,premium
10,David Price,p,6-5,215,L,L,1985-08-26,"Murfreesboro,TN",MLB,2008-2022,2005-2022,2007- 1- 1-TBA,premium,premium,premium
11,Travis Snider,1b-rf,6-0,230,L,L,1988-02-02,"Kirkland,WA",MLB,2008-2015,2006-2021,2006- 1- 14-TOR,premium,premium,premium
12,Matt Wieters,c,6-5,235,B,R,1986-05-21,"Charleston,SC",MLB,2009-2020,2005-2020,2007- 1- 5-BAL,premium,premium,premium
13,Jacoby Ellsbury,cf,6-1,195,L,L,1983-09-11,"Madras,OR",MLB,2007-2017,2003-2017,2005- 1- 23-BOS,premium,premium,premium
14,Andrew McCutchen,dh,5-10,190,R,R,1986-10-10,"Fort Meade,FL",MLB,2009-2026,2005-2026,2005- 1- 11-PIT,premium,premium,premium
15,Jake McGee,p,6-4,229,L,L,1986-08-06,"San Jose,CA",MLB,2010-2022,2004-2022,2004- 5- 135-TBA,premium,premium,premium
16,Brandon Wood,ss-3b,6-3,205,R,R,1985-03-02,"Austin,TX",MLB,2007-2011,2003-2014,2003- 1- 23-ANA,premium,premium,premium
17,Wade Davis,p,6-5,225,R,R,1985-09-07,"Lake Wales,FL",MLB,2009-2021,2004-2021,2004- 3- 75-TBA,premium,premium,premium
18,Mike Moustakas,3b-1b,6-0,230,L,R,1988-09-11,"Los Angeles,CA",MLB,2011-2023,2007-2023,2007- 1- 2-KCA,premium,premium,premium
19,Elvis Andrus,2b-ss,6-0,210,R,R,1988-08-26,"Maracay,VZ",MLB,2009-2023,2005-2023,2005- UDFA -ATL,premium,premium,premium
20,Fernando Martinez,of,6-1,210,L,R,1988-10-10,"Rio San Juan,DR",MLB,2009-2013,2006-2015,2005- UDFA -NYN,premium,premium,premium
21,Rick Porcello,p,6-5,205,R,R,1988-12-27,"Morristown,NJ",MLB,2009-2020,2008-2020,2007- 1- 27-DET,premium,premium,premium
22,Carlos Gonzalez,lf,6-1,220,L,L,1985-10-17,"Maracaibo,VZ",MLB,2008-2019,2003-2019,2002- UDFA -ARI,premium,premium,premium
23,Matt LaPorta,1b,6-2,215,R,R,1985-01-08,"Port Charlotte,FL",MLB,2009-2012,2004-2014,2007- 1- 7-MIL,premium,premium,premium
24,Nick Adenhart,p,6-3,200,R,R,1986-08-24,"Silver Spring,MD",MLB,2008-2009,2005-2009,2004- 14- 413-ANA,premium,premium,premium
25,Jordan Schafer,cf-rf,6-1,205,L,L,1986-09-04,"Hammond,IN",MLB,2009-2015,2005-2018,2005- 3- 107-ATL,premium,premium,premium
26,Gio Gonzalez,p,6-0,205,R,L,1985-09-19,"Hialeah,FL",MLB,2008-2020,2004-2020,2004- 1- 38-CHA,premium,premium,premium
27,Chris Marrero,1b,6-3,229,R,R,1988-07-02,"Miami,FL",MLB,2011-2017,2006-2019,2006- 1- 15-WAS,premium,premium,premium
28,Jason Heyward,rf,6-5,240,L,L,1989-08-09,"Ridgewood,NJ",MLB,2010-2025,2007-2025,2007- 1- 14-ATL,premium,premium,premium
29,Adam Miller,p,6-4,215,R,R,1984-11-26,"Plano,TX",AAA, ,2003-2015,2003- 1- 31-CLE,premium,premium,premium
30,Kosuke Fukudome,1b,6-0,200,L,R,1977-04-26,"Osaka,JP",MLB,2008-2012,1999-2022,2007- UDFA -CHN,premium,premium,premium
31,Andy LaRoche,3b,6-0,205,R,R,1983-09-13,"Fort Scott,KS",MLB,2007-2013,2003-2016,2003- 39-1171-LAN,premium,premium,premium
32,Chase Headley,3b,6-2,215,B,R,1984-05-09,"Fountain,CO",MLB,2007-2018,2003-2018,2005- 2- 66-SDN,premium,premium,premium
33,Angel Villalona,1b,6-3,255,R,R,1990-08-13,"La Romana,DR",AA, ,2007-2016,2006- UDFA -SFN,premium,premium,premium
34,Johnny Cueto,p,5-11,229,R,R,1986-02-15,"San Pedro de Macoris,DR",MLB,2008-2024,2005-2024,2004- UDFA -CIN,premium,premium,premium
