rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Jackson Holliday,ss-2b,6-0,185,L,R,2003-12-04,"Austin,TX",MLB,2024-2025,2022-2026,2022- 1- 1-BAL,premium,premium,premium
2,Jackson Chourio,lf-rf,6-0,204,R,R,2004-03-11,"Maracaibo,VZ",MLB,2024-2026,2021-2026,2021- UDFA -MIL,premium,premium,premium
3,Junior Caminero,3b,6-1,220,R,R,2003-07-05,"Santo Domingo,DR",MLB,2023-2026,2021-2026,2019- UDFA -CLE,premium,premium,premium
4,Evan Carter,lf-rf,6-3,190,L,R,2002-08-29,"Elizabethton,TN",MLB,2023-2026,2021-2026,2020- 2- 50-TEX,premium,premium,premium
5,Wyatt Langford,lf,6-0,225,R,R,2001-11-15,"Trenton,FL",MLB,2024-2026,2021-2026,2023- 1- 4-TEX,premium,premium,premium
6,Dylan Crews,cf-rf,6-0,203,R,R,2002-02-26,"Altamonte Springs,FL",MLB,2024-2025,2021-2026,2023- 1- 2-WAS,premium,premium,premium
7,Jordan Lawlar,ss-3b,6-0,190,R,R,2002-07-17,"Carrollton,TX",MLB,2023-2026,2021-2026,2021- 1- 6-ARI,premium,premium,premium
8,Ethan Salas,c,6-1,185,L,R,2006-06-01,"Kissimmee,FL",AA, ,2023-2026,2023- UDFA -SDN,premium,premium,premium
9,Paul Skenes,p,6-6,260,R,R,2002-05-29,"Fullerton,CA",MLB,2024-2026,2021-2026,2023- 1- 1-PIT,premium,premium,premium
10,Samuel Basallo,c-1b,6-4,180,L,R,2004-08-13,"Santo Domingo,DR",MLB,2025-2026,2021-2026,2021- UDFA -BAL,premium,premium,premium
11,James Wood,lf-cf,6-7,234,L,R,2002-09-17,"Rockville,MD",MLB,2024-2026,2021-2026,2021- 2- 62-SDN,premium,premium,premium
12,Andrew Painter,p,6-7,215,R,R,2003-04-10,"Pompano Beach,FL",MLB,2026-2026,2021-2026,2021- 1- 13-PHI,premium,premium,premium
13,Walker Jenkins,cf,6-3,210,L,R,2005-02-19,"Wilmington,NC",AAA, ,2023-2026,2023- 1- 5-MIN,premium,premium,premium
14,Marcelo Mayer,ss,6-3,188,L,R,2002-12-12,"Chula Vista,CA",MLB,2025-2026,2021-2026,2021- 1- 4-BOS,premium,premium,premium
15,Colson Montgomery,ss,6-3,230,L,R,2002-02-27,"Holland,IN",MLB,2025-2026,2021-2026,2021- 1- 22-CHA,premium,premium,premium
16,Jasson Dominguez,cf-lf,5-9,218,B,R,2003-02-07,"Esperanza,DR",MLB,2023-2026,2021-2026,2019- UDFA -NYA,premium,premium,premium
17,Jackson Merrill,cf,6-3,195,L,R,2003-04-19,"Baltimore,MD",MLB,2024-2026,2021-2026,2021- 1- 27-SDN,premium,premium,premium
18,Pete Crow-Armstrong,cf,6-0,184,L,L,2002-03-25,"Sherman Oaks,CA",MLB,2023-2026,2021-2026,2020- 1- 19-NYN,premium,premium,premium
19,Max Clark,cf,6-0,205,L,L,2004-12-21,"Franklin,IN",AAA, ,2023-2026,2023- 1- 3-DET,premium,premium,premium
20,Jackson Jobe,p,6-2,190,R,R,2002-07-30,"Irving,TX",MLB,2024-2025,2022-2025,2021- 1- 3-DET,premium,premium,premium
