rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Corey Seager,ss,6-3,215,L,R,1994-04-27,"Charlotte,NC",MLB,2015-2026,2012-2026,2012- 1- 18-LAN,premium,premium,premium
2,Byron Buxton,cf-dh,6-2,190,R,R,1993-12-18,"Baxley,GA",MLB,2015-2026,2012-2026,2012- 1- 2-MIN,premium,premium,premium
3,Yoan Moncada,3b,6-0,220,B,R,1995-05-27,"Cienfuegos,CU",MLB,2016-2026,2015-2026,2015- UDFA -BOS,premium,premium,premium
4,Julio Urias,p,6-0,225,L,L,1996-08-12,"Culiacan,MX",MLB,2016-2023,2013-2023,2012- UDFA -LAN,premium,premium,premium
5,Lucas Giolito,p,6-6,245,R,R,1994-07-14,"Santa Monica,CA",MLB,2016-2025,2012-2026,2012- 1- 16-WAS,premium,premium,premium
6,J.P. Crawford,ss,6-0,202,L,R,1995-01-11,"Long Beach,CA",MLB,2017-2026,2013-2026,2013- 1- 16-PHI,premium,premium,premium
7,Alex Reyes,p,6-4,220,R,R,1994-08-29,"Elizabeth,NJ",MLB,2016-2021,2013-2021,2012- UDFA -SLN,premium,premium,premium
8,Orlando Arcia,ss,5-11,187,R,R,1994-08-04,"Anaco,VZ",MLB,2016-2025,2011-2026,2010- UDFA -MIL,premium,premium,premium
9,Trea Turner,ss,6-1,185,R,R,1993-06-30,"Boynton Beach,FL",MLB,2015-2026,2012-2026,2014- 1- 13-SDN,premium,premium,premium
10,Joey Gallo,1b-rf,6-5,250,L,R,1993-11-19,"Henderson,NV",MLB,2015-2024,2012-2024,2012- 1- 39-TEX,premium,premium,premium
11,AJ Reed,1b,6-4,275,L,L,1993-05-10,"Terre Haute,IN",MLB,2016-2019,2012-2019,2014- 2- 42-HOU,premium,premium,premium
12,Blake Snell,p,6-4,225,L,L,1992-12-04,"Seattle,WA",MLB,2016-2026,2011-2026,2011- 1- 52-TBA,premium,premium,premium
13,Steven Matz,p,6-2,205,R,L,1991-05-29,"Stony Brook,NY",MLB,2015-2026,2012-2026,2009- 2- 72-NYN,premium,premium,premium
