rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Konnor Griffin,of,6-4,225,R,R,2006-04-24,"Jackson,MS",MLB,2026-2026,2025-2026,2024- 1- 9-PIT,premium,premium,premium
2,Kevin McGonigle,ss-2b,5-10,187,L,R,2004-08-18,"Media,PA",MLB,2026-2026,2023-2026,2023- 1- 37-DET,premium,premium,premium
3,JJ Wetherholt,ss,5-10,190,L,R,2002-09-10,"Baltimore,MD",MLB,2026-2026,2022-2026,2024- 1- 7-SLN,premium,premium,premium
4,Jesus Made,ss-3b,6-1,187,B,R,2007-05-08,"San Cristobal,DR",AA, ,2024-2026,2024- UDFA -MIL,premium,premium,premium
5,Walker Jenkins,cf,6-3,210,L,R,2005-02-19,"Wilmington,NC",AAA, ,2023-2026,2023- 1- 5-MIN,premium,premium,premium
6,Max Clark,cf,6-0,205,L,L,2004-12-21,"Franklin,IN",AAA, ,2023-2026,2023- 1- 3-DET,premium,premium,premium
7,Colt Emerson,ss-3b,6-0,195,L,R,2005-07-20,"Zanesville,OH",AAA, ,2023-2026,2023- 1- 22-SEA,premium,premium,premium
8,Nolan McLean,p,6-2,214,R,R,2001-07-24,"Willow Spring,NC",MLB,2025-2026,2021-2026,2023- 3- 91-NYN,premium,premium,premium
9,Samuel Basallo,c-1b,6-4,180,L,R,2004-08-13,"Santo Domingo,DR",MLB,2025-2026,2021-2026,2021- UDFA -BAL,premium,premium,premium
10,Trey Yesavage,p,6-4,225,R,R,2003-07-28,"Pottstown,PA",MLB,2025-2026,2022-2026,2024- 1- 20-TOR,premium,premium,premium
11,Carter Jensen,c,6-0,210,L,R,2003-07-03,"Kansas City,MO",MLB,2025-2026,2021-2026,2021- 3- 78-KCA,premium,premium,premium
12,Leo De Vries,ss,6-1,183,B,R,2006-10-11,"Azua,DR",AA, ,2024-2026,2024- UDFA -SDN,premium,premium,premium
13,Thomas White,p,6-5,240,L,L,2004-09-29,"Rowley,MA",AAA, ,2023-2026,2023- 1- 35-MIA,premium,premium,premium
14,Aidan Miller,ss,6-1,205,R,R,2004-06-09,"Dunedin,FL",AAA, ,2023-2025,2023- 1- 27-PHI,premium,premium,premium
15,Bubba Chandler,p,6-3,218,B,R,2002-09-14,"Lawrenceville,GA",MLB,2025-2026,2021-2026,2021- 3- 72-PIT,premium,premium,premium
16,Sebastian Walcott,ss,6-4,190,R,R,2006-03-14,"Nassau,BM",AA, ,2023-2025,2023- UDFA -TEX,premium,premium,premium
17,Payton Tolle,p-if,6-6,250,L,L,2002-11-01,"Stillwater,OK",MLB,2025-2026,2022-2026,2024- 2- 50-BOS,premium,premium,premium
18,Bryce Eldridge,1b,6-7,240,L,R,2004-10-20,"Fairfax,VA",MLB,2025-2026,2023-2026,2023- 1- 16-SFN,premium,premium,premium
19,Carson Benge,cf,6-1,184,L,R,2003-01-20,"Oklahoma City,OK",MLB,2026-2026,2023-2026,2024- 1- 19-NYN,premium,premium,premium
20,Eduardo Quintero,cf-rf,6-1,175,R,R,2005-09-16,"Ocumare del Tuy,VZ",A+, ,2023-2026,2023- UDFA -LAN,premium,premium,premium
21,Dylan Beavers,rf-cf,6-5,206,L,R,2001-08-11,"San Luis Obispo,CA",MLB,2025-2026,2020-2026,2022- 1- 33-BAL,premium,premium,premium
22,Travis Bazzana,2b,6-0,199,L,R,2002-08-28,"Hornsby,AU",MLB,2026-2026,2022-2026,2024- 1- 1-CLE,premium,premium,premium
