rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Joe Mauer,c,6-5,225,L,R,1983-04-19,"St. Paul,MN",MLB,2004-2018,2001-2018,2001- 1- 1-MIN,premium,premium,premium
2,B.J. Upton,cf,6-3,185,R,R,1984-08-21,"Norfolk,VA",MLB,2004-2016,2003-2017,2002- 1- 2-TBA,premium,premium,premium
3,Delmon Young,rf,6-3,240,R,R,1985-09-14,"Montgomery,AL",MLB,2006-2015,2004-2018,2003- 1- 1-TBA,premium,premium,premium
4,Edwin Jackson,p,6-2,215,R,R,1983-09-09,"Neu-Ulm,GE",MLB,2003-2019,2001-2021,2001- 6- 190-LAN,premium,premium,premium
5,Rickie Weeks,2b,6-0,210,R,R,1982-09-13,"Daytona Beach,FL",MLB,2003-2017,2001-2017,2003- 1- 2-MIL,premium,premium,premium
6,Alex Rios,rf,6-5,210,R,R,1981-02-18,"Coffee,AL",MLB,2004-2015,1999-2015,1999- 1- 19-TOR,premium,premium,premium
7,Kazuo Matsui,ss,5-10,187,B,R,1975-10-23,"Osaka,JP",MLB,2004-2010,1995-2018,2003- UDFA -NYN,premium,premium,premium
8,Greg Miller,p,6-6,215,L,L,1984-11-03,"Yorba Linda,CA",AAA, ,2002-2013,2002- 1- 31-LAN,premium,premium,premium
9,Grady Sizemore,cf,6-2,205,L,L,1982-08-02,"Seattle,WA",MLB,2004-2015,2000-2015,2000- 3- 75-MON,premium,premium,premium
10,Prince Fielder,1b,5-11,275,L,R,1984-05-09,"Ontario,CA",MLB,2005-2016,2002-2016,2002- 1- 7-MIL,premium,premium,premium
11,Andy Marte,3b,6-1,205,R,R,1983-10-21,"Villa Tapia,DR",MLB,2005-2014,2001-2014,2000- UDFA -ATL,premium,premium,premium
12,Scott Kazmir,p,6-0,185,L,L,1984-01-24,"Houston,TX",MLB,2004-2021,2002-2021,2002- 1- 15-NYN,premium,premium,premium
13,Adam Loewen,p,6-6,245,L,L,1984-04-09,"Vancouver,BC",MLB,2006-2016,2003-2018,2002- 1- 4-BAL,premium,premium,premium
14,Zack Greinke,p,6-2,200,R,R,1983-10-21,"Orlando,FL",MLB,2004-2023,2002-2023,2002- 1- 6-KCA,premium,premium,premium
15,Casey Kotchman,1b,6-3,220,L,L,1983-02-22,"St. Petersburg,FL",MLB,2004-2013,2001-2016,2001- 1- 13-ANA,premium,premium,premium
16,Justin Morneau,1b,6-4,220,L,R,1981-05-15,"New Westminster,BC",MLB,2003-2016,1999-2016,1999- 3- 89-MIN,premium,premium,premium
17,Cole Hamels,p,6-4,205,L,L,1983-12-27,"San Diego,CA",MLB,2006-2020,2003-2020,2002- 1- 17-PHI,premium,premium,premium
