rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Ronald Acuna,rf,6-0,205,R,R,1997-12-18,"La Guaira,VZ",MLB,2018-2026,2015-2026,2014- UDFA -ATL,premium,premium,premium
2,Shohei Ohtani,dh,6-3,210,L,R,1994-07-05,"Oshu,JP",MLB,2018-2026,2013-2026,2017- UDFA -ANA,premium,premium,premium
3,Vladimir Guerrero,1b-dh,6-0,245,R,R,1999-03-16,"Montreal,QC",MLB,2019-2026,2016-2026,2015- UDFA -TOR,premium,premium,premium
4,Eloy Jimenez,dh,6-4,250,R,R,1996-11-27,"Santo Domingo,DR",MLB,2019-2026,2014-2026,2013- UDFA -CHN,premium,premium,premium
5,Victor Robles,cf,6-0,193,R,R,1997-05-19,"Santo Domingo Este,DR",MLB,2017-2026,2014-2026,2013- UDFA -WAS,premium,premium,premium
6,Gleyber Torres,2b,5-11,205,R,R,1996-12-13,"Caracas,VZ",MLB,2018-2026,2014-2026,2013- UDFA -CHN,premium,premium,premium
7,Nick Senzel,3b-dh,6-1,217,R,R,1995-06-29,"Atlanta,GA",MLB,2019-2024,2014-2026,2016- 1- 2-CIN,premium,premium,premium
8,Bo Bichette,ss,5-11,190,R,R,1998-03-05,"Orlando,FL",MLB,2019-2026,2016-2026,2016- 2- 66-TOR,premium,premium,premium
9,Fernando Tatis,ss-rf,6-3,217,R,R,1999-01-02,"San Pedro de Macoris,DR",MLB,2019-2026,2016-2026,2015- UDFA -CHA,premium,premium,premium
10,Forrest Whitley,p,6-7,208,R,R,1997-09-15,"San Antonio,TX",MLB,2024-2025,2016-2025,2016- 1- 17-HOU,premium,premium,premium
11,Michael Kopech,p,6-3,220,R,R,1996-04-30,"Longview,TX",MLB,2018-2025,2014-2025,2014- 1- 33-BOS,premium,premium,premium
12,Mitch Keller,p,6-3,212,R,R,1996-04-04,"Cedar Rapids,IA",MLB,2019-2026,2014-2026,2014- 2- 64-PIT,premium,premium,premium
13,Walker Buehler,p,6-2,185,R,R,1994-07-28,"Lexington,KY",MLB,2017-2026,2013-2026,2015- 1- 24-LAN,premium,premium,premium
14,Brent Honeywell,p,6-2,195,R,R,1995-03-31,"Augusta,GA",MLB,2021-2024,2014-2024,2014- 2- 72-TBA,premium,premium,premium
15,Kyle Tucker,rf,6-4,212,L,R,1997-01-17,"Tampa,FL",MLB,2018-2026,2015-2026,2015- 1- 5-HOU,premium,premium,premium
16,J.P. Crawford,ss,6-0,202,L,R,1995-01-11,"Long Beach,CA",MLB,2017-2026,2013-2026,2013- 1- 16-PHI,premium,premium,premium
17,Alex Reyes,p,6-4,220,R,R,1994-08-29,"Elizabeth,NJ",MLB,2016-2021,2013-2021,2012- UDFA -SLN,premium,premium,premium
18,Lewis Brinson,cf-rf,6-5,212,R,R,1994-05-08,"Fort Lauderdale,FL",MLB,2017-2022,2012-2024,2012- 1- 29-TEX,premium,premium,premium
19,Willy Adames,ss,6-0,215,R,R,1995-09-02,"Santiago,DR",MLB,2018-2026,2013-2026,2012- UDFA -DET,premium,premium,premium
20,Francisco Mejia,c,5-8,188,B,R,1995-10-27,"Bani,DR",MLB,2017-2023,2013-2025,2012- UDFA -CLE,premium,premium,premium
