rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Daisuke Matsuzaka,p,6-0,205,R,R,1980-09-13,"Tokyo,JP",MLB,2007-2014,1999-2021,2006- UDFA -BOS,premium,premium,premium
2,Alex Gordon,lf,6-1,220,L,R,1984-02-10,"Lincoln,NE",MLB,2007-2020,2003-2020,2005- 1- 2-KCA,premium,premium,premium
3,Delmon Young,rf,6-3,240,R,R,1985-09-14,"Montgomery,AL",MLB,2006-2015,2004-2018,2003- 1- 1-TBA,premium,premium,premium
4,Phil Hughes,p,6-5,240,R,R,1986-06-24,"Mission Viejo,CA",MLB,2007-2018,2004-2018,2004- 1- 23-NYA,premium,premium,premium
5,Homer Bailey,p,6-4,223,R,R,1986-05-03,"La Grange,TX",MLB,2007-2020,2004-2021,2004- 1- 7-CIN,premium,premium,premium
6,Cameron Maybin,lf-cf,6-3,215,R,R,1987-04-04,"Asheville,NC",MLB,2007-2021,2006-2021,2005- 1- 10-DET,premium,premium,premium
7,Evan Longoria,3b,6-1,213,R,R,1985-10-07,"Downey,CA",MLB,2008-2023,2005-2023,2006- 1- 3-TBA,premium,premium,premium
8,Brandon Wood,ss-3b,6-3,205,R,R,1985-03-02,"Austin,TX",MLB,2007-2011,2003-2014,2003- 1- 23-ANA,premium,premium,premium
9,Justin Upton,dh-rf,6-1,215,R,R,1987-08-25,"Norfolk,VA",MLB,2007-2022,2006-2022,2005- 1- 1-ARI,premium,premium,premium
10,Andrew Miller,p,6-7,200,L,L,1985-05-21,"Gainesville,FL",MLB,2006-2021,2004-2021,2006- 1- 6-DET,premium,premium,premium
11,Tim Lincecum,p,5-11,170,L,R,1984-06-15,"Bellevue,WA",MLB,2007-2016,2004-2018,2006- 1- 10-SFN,premium,premium,premium
12,Chris Young,cf,6-2,200,R,R,1983-09-05,"Houston,TX",MLB,2006-2018,2002-2018,2001- 16- 493-CHA,premium,premium,premium
13,Andrew McCutchen,dh,5-10,190,R,R,1986-10-10,"Fort Meade,FL",MLB,2009-2026,2005-2026,2005- 1- 11-PIT,premium,premium,premium
14,Jay Bruce,1b,6-3,230,L,L,1987-04-03,"Beaumont,TX",MLB,2008-2021,2005-2021,2005- 1- 12-CIN,premium,premium,premium
15,Troy Tulowitzki,ss,6-3,205,R,R,1984-10-10,"Santa Clara,CA",MLB,2006-2019,2003-2019,2005- 1- 7-COL,premium,premium,premium
16,Yovani Gallardo,p,6-2,205,R,R,1986-02-27,"La Pieded,MX",MLB,2007-2018,2004-2018,2004- 2- 46-MIL,premium,premium,premium
17,Reid Brignac,ss-3b,6-2,197,L,R,1986-01-16,"St. Amant,LA",MLB,2008-2016,2004-2018,2004- 2- 45-TBA,premium,premium,premium
18,Carlos Gonzalez,lf,6-1,220,L,L,1985-10-17,"Maracaibo,VZ",MLB,2008-2019,2003-2019,2002- UDFA -ARI,premium,premium,premium
19,Andy LaRoche,3b,6-0,205,R,R,1983-09-13,"Fort Scott,KS",MLB,2007-2013,2003-2016,2003- 39-1171-LAN,premium,premium,premium
20,Mike Pelfrey,p,6-7,240,R,R,1984-01-14,"Wichita,KS",MLB,2006-2017,2003-2017,2005- 1- 9-NYN,premium,premium,premium
21,Matt Garza,p,6-4,220,R,R,1983-11-26,"Selma,CA",MLB,2006-2017,2003-2017,2005- 1- 25-MIN,premium,premium,premium
22,Fernando Martinez,of,6-1,210,L,R,1988-10-10,"Rio San Juan,DR",MLB,2009-2013,2006-2015,2005- UDFA -NYN,premium,premium,premium
23,Adam Miller,p,6-4,215,R,R,1984-11-26,"Plano,TX",AAA, ,2003-2015,2003- 1- 31-CLE,premium,premium,premium
24,Clayton Kershaw,p,6-4,225,L,L,1988-03-19,"Dallas,TX",MLB,2008-2025,2006-2025,2006- 1- 7-LAN,premium,premium,premium
25,Billy Butler,dh,6-0,260,R,R,1986-04-18,"Orange Park,FL",MLB,2007-2016,2004-2016,2004- 1- 14-KCA,premium,premium,premium
26,Ryan Braun,lf,6-2,205,R,R,1983-11-17,"Mission Hills,CA",MLB,2007-2020,2003-2020,2005- 1- 5-MIL,premium,premium,premium
