rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Roki Sasaki,p,6-2,187,R,R,2001-11-03,"Rikuzentakata,JP",MLB,2025-2026,2021-2026,2025- UDFA -LAN,premium,premium,premium
2,Roman Anthony,cf-lf,6-3,200,L,R,2004-05-13,"West Palm Beach,FL",MLB,2025-2026,2022-2026,2022- 2- 79-BOS,premium,premium,premium
3,Jackson Jobe,p,6-2,190,R,R,2002-07-30,"Irving,TX",MLB,2024-2025,2022-2025,2021- 1- 3-DET,premium,premium,premium
4,Kristian Campbell,ss-2b,6-3,191,R,R,2002-06-28,"Chattanooga,TN",MLB,2025-2025,2023-2026,2023- 4- 132-BOS,premium,premium,premium
5,Walker Jenkins,cf,6-3,210,L,R,2005-02-19,"Wilmington,NC",AAA, ,2023-2026,2023- 1- 5-MIN,premium,premium,premium
6,Dylan Crews,cf-rf,6-0,203,R,R,2002-02-26,"Altamonte Springs,FL",MLB,2024-2025,2021-2026,2023- 1- 2-WAS,premium,premium,premium
7,Bubba Chandler,p,6-3,218,B,R,2002-09-14,"Lawrenceville,GA",MLB,2025-2026,2021-2026,2021- 3- 72-PIT,premium,premium,premium
8,Chase Dollander,p,6-2,200,R,R,2001-10-26,"Evans,GA",MLB,2025-2026,2021-2026,2023- 1- 9-COL,premium,premium,premium
9,Andrew Painter,p,6-7,215,R,R,2003-04-10,"Pompano Beach,FL",MLB,2026-2026,2021-2026,2021- 1- 13-PHI,premium,premium,premium
10,Noah Schultz,p,6-10,240,L,L,2003-08-05,"Naperville,IL",MLB,2026-2026,2023-2026,2022- 1- 26-CHA,premium,premium,premium
11,Carson Williams,ss,6-2,180,R,R,2003-06-25,"San Diego,CA",MLB,2025-2026,2021-2026,2021- 1- 28-TBA,premium,premium,premium
12,Bryce Eldridge,1b,6-7,240,L,R,2004-10-20,"Fairfax,VA",MLB,2025-2026,2023-2026,2023- 1- 16-SFN,premium,premium,premium
13,Jordan Lawlar,ss-3b,6-0,190,R,R,2002-07-17,"Carrollton,TX",MLB,2023-2026,2021-2026,2021- 1- 6-ARI,premium,premium,premium
14,Samuel Basallo,c-1b,6-4,180,L,R,2004-08-13,"Santo Domingo,DR",MLB,2025-2026,2021-2026,2021- UDFA -BAL,premium,premium,premium
15,Marcelo Mayer,ss,6-3,188,L,R,2002-12-12,"Chula Vista,CA",MLB,2025-2026,2021-2026,2021- 1- 4-BOS,premium,premium,premium
16,Colt Emerson,ss-3b,6-0,195,L,R,2005-07-20,"Zanesville,OH",AAA, ,2023-2026,2023- 1- 22-SEA,premium,premium,premium
17,Jesus Made,ss-3b,6-1,187,B,R,2007-05-08,"San Cristobal,DR",AA, ,2024-2026,2024- UDFA -MIL,premium,premium,premium
18,Leo De Vries,ss,6-1,183,B,R,2006-10-11,"Azua,DR",AA, ,2024-2026,2024- UDFA -SDN,premium,premium,premium
19,Emmanuel Rodriguez,cf,5-11,210,L,L,2003-02-28,"Santiago,CU",AAA, ,2021-2026,2019- UDFA -MIN,premium,premium,premium
20,Kumar Rocker,p,6-5,245,R,R,1999-11-22,"Watkinsville,GA",MLB,2024-2026,2019-2026,2022- 1- 3-TEX,premium,premium,premium
