rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Byron Buxton,cf-dh,6-2,190,R,R,1993-12-18,"Baxley,GA",MLB,2015-2026,2012-2026,2012- 1- 2-MIN,premium,premium,premium
2,Xander Bogaerts,ss,6-2,218,R,R,1992-10-01,"Oranjestad,AA",MLB,2013-2026,2010-2026,2009- UDFA -BOS,premium,premium,premium
3,Oscar Taveras,of,6-2,200,L,L,1992-06-19,"Puerto Plata,DR",MLB,2014-2014,2010-2014,2008- UDFA -SLN,premium,premium,premium
4,Masahiro Tanaka,p,6-2,214,R,R,1988-11-01,"Itami,JP",MLB,2014-2020,2007-2024,2014- UDFA -NYA,premium,premium,premium
5,Javier Baez,ss,5-11,190,R,R,1992-12-01,"Bayamon,PR",MLB,2014-2026,2011-2026,2011- 1- 9-CHN,premium,premium,premium
6,Miguel Sano,1b,6-4,272,R,R,1993-05-11,"San Pedro de Macoris,DR",MLB,2015-2024,2010-2024,2009- UDFA -MIN,premium,premium,premium
7,Carlos Correa,ss,6-3,220,R,R,1994-09-22,"Ponce,PR",MLB,2015-2026,2012-2026,2012- 1- 1-HOU,premium,premium,premium
8,Kris Bryant,3b-lf,6-5,230,R,R,1992-01-04,"Las Vegas,NV",MLB,2015-2025,2011-2025,2013- 1- 2-CHN,premium,premium,premium
9,Archie Bradley,p,6-4,215,R,R,1992-08-10,"Muskogee,OK",MLB,2015-2023,2011-2023,2011- 1- 7-ARI,premium,premium,premium
10,Gregory Polanco,rf,6-5,240,L,L,1991-09-14,"Santo Domingo,DR",MLB,2014-2021,2010-2025,2009- UDFA -PIT,premium,premium,premium
11,Taijuan Walker,p,6-4,235,R,R,1992-08-13,"Shreveport,LA",MLB,2013-2026,2010-2026,2010- 1- 43-SEA,premium,premium,premium
12,Jon Gray,p,6-4,225,R,R,1991-11-05,"Shawnee,OK",MLB,2015-2025,2012-2025,2013- 1- 3-COL,premium,premium,premium
13,Francisco Lindor,ss,5-10,190,B,R,1993-11-14,"Caguas,PR",MLB,2015-2026,2011-2026,2011- 1- 8-CLE,premium,premium,premium
14,Addison Russell,ss,6-0,200,R,R,1994-01-23,"Pensacola,FL",MLB,2015-2019,2012-2025,2012- 1- 11-OAK,premium,premium,premium
15,Dylan Bundy,p,6-1,225,B,R,1992-11-15,"Tulsa,OK",MLB,2012-2022,2012-2023,2011- 1- 4-BAL,premium,premium,premium
