rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Jason Heyward,rf,6-5,240,L,L,1989-08-09,"Ridgewood,NJ",MLB,2010-2025,2007-2025,2007- 1- 14-ATL,premium,premium,premium
2,Stephen Strasburg,p,6-5,239,R,R,1988-07-20,"San Diego,CA",MLB,2010-2022,2007-2022,2009- 1- 1-WAS,premium,premium,premium
3,Giancarlo Stanton,dh-rf,6-6,245,R,R,1989-11-08,"Panorama City,CA",MLB,2010-2026,2007-2026,2007- 2- 76-MIA,premium,premium,premium
4,Jesus Montero,c,6-3,235,R,R,1989-11-28,"Guacara,VZ",MLB,2011-2015,2007-2018,2006- UDFA -NYA,premium,premium,premium
5,Brian Matusz,p,6-5,190,L,L,1987-02-11,"Grand Junction,CO",MLB,2009-2016,2006-2019,2008- 1- 4-BAL,premium,premium,premium
6,Desmond Jennings,cf,6-2,210,R,R,1986-10-30,"Birmingham,AL",MLB,2010-2016,2006-2018,2006- 10- 289-TBA,premium,premium,premium
7,Buster Posey,c,6-1,213,R,R,1987-03-27,"Leesburg,GA",MLB,2009-2021,2006-2021,2008- 1- 5-SFN,premium,premium,premium
8,Pedro Alvarez,3b,6-3,250,L,R,1987-02-06,"Santo Domingo,DR",MLB,2010-2018,2006-2018,2008- 1- 2-PIT,premium,premium,premium
9,Neftali Feliz,p,6-3,235,R,R,1988-05-02,"Azua,DR",MLB,2009-2021,2006-2025,2005- UDFA -ATL,premium,premium,premium
10,Carlos Santana,1b,5-10,210,B,R,1986-04-08,"Santo Domingo,DR",MLB,2010-2026,2005-2026,2004- UDFA -LAN,premium,premium,premium
11,Dustin Ackley,2b-cf,6-1,205,L,R,1988-02-26,"Winston-Salem,NC",MLB,2011-2016,2007-2018,2009- 1- 2-SEA,premium,premium,premium
12,Alcides Escobar,ss,6-1,205,R,R,1986-12-16,"La Sabana,VZ",MLB,2008-2022,2004-2024,2003- UDFA -MIL,premium,premium,premium
13,Justin Smoak,1b,6-4,220,B,L,1986-12-05,"Goose Creek,SC",MLB,2010-2020,2006-2021,2008- 1- 11-TEX,premium,premium,premium
14,Madison Bumgarner,p,6-4,240,R,L,1989-08-01,"Hickory,NC",MLB,2009-2023,2008-2023,2007- 1- 10-SFN,premium,premium,premium
15,Domonic Brown,lf,6-5,225,L,L,1987-09-03,"Zephyrhills,FL",MLB,2010-2015,2006-2019,2006- 20- 607-PHI,premium,premium,premium
16,Starlin Castro,3b,6-2,218,R,R,1990-03-24,"Monte Cristi,DR",MLB,2010-2021,2008-2023,2006- UDFA -CHN,premium,premium,premium
17,Martin Perez,p,6-0,210,L,L,1991-04-04,"Guanare,VZ",MLB,2012-2026,2008-2026,2007- UDFA -TEX,premium,premium,premium
18,Jeremy Hellickson,p,6-1,190,R,R,1987-04-08,"Des Moines,IA",MLB,2010-2019,2005-2019,2005- 4- 118-TBA,premium,premium,premium
19,Aaron Hicks,rf-dh,6-1,205,B,R,1989-10-02,"San Pedro,CA",MLB,2013-2024,2008-2024,2008- 1- 14-MIN,premium,premium,premium
