rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Wander Franco,ss,5-10,189,B,R,2001-03-01,"Bani,DR",MLB,2021-2023,2018-2023,2017- UDFA -TBA,premium,premium,premium
2,Luis Robert,cf,6-2,225,R,R,1997-08-03,"Ciego de Avila,CU",MLB,2020-2026,2017-2026,2017- UDFA -CHA,premium,premium,premium
3,Jo Adell,rf,6-2,215,R,R,1999-04-08,"Shelby,NC",MLB,2020-2026,2017-2026,2017- 1- 10-ANA,premium,premium,premium
4,Gavin Lux,2b,5-11,190,L,R,1997-11-23,"Kenosha,WI",MLB,2019-2025,2016-2026,2016- 1- 20-LAN,premium,premium,premium
5,Adley Rutschman,c-dh,6-2,230,B,R,1998-02-06,"Portland,OR",MLB,2022-2026,2017-2026,2019- 1- 1-BAL,premium,premium,premium
6,MacKenzie Gore,p,6-2,193,L,L,1999-02-24,"Wilmington,NC",MLB,2022-2026,2017-2026,2017- 1- 3-SDN,premium,premium,premium
7,Nate Pearson,p,6-6,255,R,R,1996-08-20,"Odessa,FL",MLB,2020-2025,2016-2026,2017- 1- 28-TOR,premium,premium,premium
8,Julio Rodriguez,cf,6-3,228,R,R,2000-12-29,"Loma de Cabrera,DR",MLB,2022-2026,2018-2026,2017- UDFA -SEA,premium,premium,premium
9,Jesus Luzardo,p,6-0,218,L,L,1997-09-30,"Lima,PU",MLB,2019-2026,2017-2026,2016- 3- 94-WAS,premium,premium,premium
10,Dylan Carlson,cf-rf,6-2,200,B,L,1998-10-23,"Elk Grove,CA",MLB,2020-2026,2016-2026,2016- 1- 33-SLN,premium,premium,premium
11,Jarred Kelenic,lf-cf,5-11,206,L,L,1999-07-16,"Waukesha,WI",MLB,2021-2026,2018-2026,2018- 1- 6-NYN,premium,premium,premium
12,Cristian Pache,cf-lf,6-1,215,R,R,1998-11-19,"Santo Domingo Centro,DR",MLB,2020-2024,2016-2026,2015- UDFA -ATL,premium,premium,premium
13,Casey Mize,p,6-3,212,R,R,1997-05-01,"Springville,AL",MLB,2020-2026,2016-2026,2018- 1- 1-DET,premium,premium,premium
14,Brendan McKay,p,6-2,220,L,L,1995-12-18,"Beaver Falls,PA",MLB,2019-2019,2015-2024,2017- 1- 4-TBA,premium,premium,premium
15,Carter Kieboom,3b-1b,6-1,221,R,R,1997-09-03,"Marietta,GA",MLB,2019-2025,2016-2026,2016- 1- 28-WAS,premium,premium,premium
