rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Delmon Young,rf,6-3,240,R,R,1985-09-14,"Montgomery,AL",MLB,2006-2015,2004-2018,2003- 1- 1-TBA,premium,premium,premium
2,Justin Upton,dh-rf,6-1,215,R,R,1987-08-25,"Norfolk,VA",MLB,2007-2022,2006-2022,2005- 1- 1-ARI,premium,premium,premium
3,Brandon Wood,ss-3b,6-3,205,R,R,1985-03-02,"Austin,TX",MLB,2007-2011,2003-2014,2003- 1- 23-ANA,premium,premium,premium
4,Jeremy Hermida,of,6-3,220,L,R,1984-01-30,"Atlanta,GA",MLB,2005-2012,2002-2015,2002- 1- 11-MIA,premium,premium,premium
5,Stephen Drew,ss,6-0,200,L,R,1983-03-16,"Hahira,GA",MLB,2006-2017,2005-2017,2004- 1- 15-ARI,premium,premium,premium
6,Francisco Liriano,p,6-3,220,L,L,1983-10-26,"San Cristobal,DR",MLB,2005-2019,2001-2019,2000- UDFA -SFN,premium,premium,premium
7,Chad Billingsley,p,6-1,240,R,R,1984-07-29,"Defiance,OH",MLB,2006-2015,2003-2015,2003- 1- 24-LAN,premium,premium,premium
8,Justin Verlander,p,6-5,240,R,R,1983-02-20,"Manakin-Sabot,VA",MLB,2005-2026,2002-2026,2004- 1- 2-DET,premium,premium,premium
9,Lastings Milledge,lf-rf,5-11,210,R,R,1985-04-05,"Bradenton,FL",MLB,2006-2011,2003-2017,2003- 1- 12-NYN,premium,premium,premium
10,Matt Cain,p,6-3,230,R,R,1984-10-01,"Dothan,AL",MLB,2005-2017,2002-2017,2002- 1- 25-SFN,premium,premium,premium
11,Prince Fielder,1b,5-11,275,L,R,1984-05-09,"Ontario,CA",MLB,2005-2016,2002-2016,2002- 1- 7-MIL,premium,premium,premium
12,Howie Kendrick,2b,5-11,225,R,R,1983-07-12,"Jacksonville,FL",MLB,2006-2020,2002-2020,2002- 10- 294-ANA,premium,premium,premium
13,Alex Gordon,lf,6-1,220,L,R,1984-02-10,"Lincoln,NE",MLB,2007-2020,2003-2020,2005- 1- 2-KCA,premium,premium,premium
14,Andy Marte,3b,6-1,205,R,R,1983-10-21,"Villa Tapia,DR",MLB,2005-2014,2001-2014,2000- UDFA -ATL,premium,premium,premium
15,Ryan Zimmerman,1b,6-3,215,R,R,1984-09-28,"Washington,NC",MLB,2005-2021,2003-2021,2005- 1- 4-WAS,premium,premium,premium
