rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Wander Franco,ss,5-10,189,B,R,2001-03-01,"Bani,DR",MLB,2021-2023,2018-2023,2017- UDFA -TBA,premium,premium,premium
2,Adley Rutschman,c-dh,6-2,230,B,R,1998-02-06,"Portland,OR",MLB,2022-2026,2017-2026,2019- 1- 1-BAL,premium,premium,premium
3,Julio Rodriguez,cf,6-3,228,R,R,2000-12-29,"Loma de Cabrera,DR",MLB,2022-2026,2018-2026,2017- UDFA -SEA,premium,premium,premium
4,Jarred Kelenic,lf-cf,5-11,206,L,L,1999-07-16,"Waukesha,WI",MLB,2021-2026,2018-2026,2018- 1- 6-NYN,premium,premium,premium
5,Spencer Torkelson,1b,6-1,220,R,R,1999-08-26,"Petaluma,CA",MLB,2022-2026,2018-2026,2020- 1- 1-DET,premium,premium,premium
6,Sixto Sanchez,p,6-0,234,R,R,1998-07-29,"San Cristobal,DR",MLB,2020-2024,2015-2024,2015- UDFA -PHI,premium,premium,premium
7,Cristian Pache,cf-lf,6-1,215,R,R,1998-11-19,"Santo Domingo Centro,DR",MLB,2020-2024,2016-2026,2015- UDFA -ATL,premium,premium,premium
8,Ian Anderson,p,6-3,170,R,R,1998-05-02,"Rexford,NY",MLB,2020-2025,2016-2025,2016- 1- 3-ATL,premium,premium,premium
9,Dylan Carlson,cf-rf,6-2,200,B,L,1998-10-23,"Elk Grove,CA",MLB,2020-2026,2016-2026,2016- 1- 33-SLN,premium,premium,premium
10,MacKenzie Gore,p,6-2,193,L,L,1999-02-24,"Wilmington,NC",MLB,2022-2026,2017-2026,2017- 1- 3-SDN,premium,premium,premium
11,CJ Abrams,ss,6-0,191,L,R,2000-10-03,"Alpharetta,GA",MLB,2022-2026,2019-2026,2019- 1- 6-SDN,premium,premium,premium
12,Marco Luciano,ss-2b,6-1,215,R,R,2001-09-10,"San Francisco de Macoris,DR",MLB,2023-2024,2019-2026,2018- UDFA -SFN,premium,premium,premium
13,Jo Adell,rf,6-2,215,R,R,1999-04-08,"Shelby,NC",MLB,2020-2026,2017-2026,2017- 1- 10-ANA,premium,premium,premium
14,Nate Pearson,p,6-6,255,R,R,1996-08-20,"Odessa,FL",MLB,2020-2025,2016-2026,2017- 1- 28-TOR,premium,premium,premium
15,Ke'Bryan Hayes,3b,5-11,215,R,R,1997-01-28,"Tomball,TX",MLB,2020-2026,2015-2026,2015- 1- 32-PIT,premium,premium,premium
16,Bobby Witt,ss-3b,6-1,200,R,R,2000-06-14,"Colleyville,TX",MLB,2022-2026,2019-2026,2019- 1- 2-KCA,premium,premium,premium
17,Randy Arozarena,lf,5-10,185,R,R,1995-02-28,"Havana,CU",MLB,2019-2026,2016-2026,2016- UDFA -SLN,premium,premium,premium
18,Alex Kirilloff,lf-1b,6-2,195,L,L,1997-11-09,"Pittsburgh,PA",MLB,2021-2024,2016-2024,2016- 1- 15-MIN,premium,premium,premium
19,Austin Martin,2b-lf,5-11,185,R,R,1999-03-23,"DeLand,FL",MLB,2024-2026,2018-2026,2020- 1- 5-TOR,premium,premium,premium
20,Tarik Skubal,p,6-3,240,R,L,1996-11-20,"Hayward,CA",MLB,2020-2026,2015-2026,2018- 9- 255-DET,premium,premium,premium
21,Andrew Vaughn,1b-dh,5-10,215,R,R,1998-04-03,"Santa Rosa,CA",MLB,2021-2026,2017-2026,2019- 1- 3-CHA,premium,premium,premium
22,Grayson Rodriguez,p,6-5,230,L,R,1999-11-16,"Houston,TX",MLB,2023-2024,2018-2026,2018- 1- 11-BAL,premium,premium,premium
23,Luis Patino,p,6-1,192,R,R,1999-10-26,"Barranquilla,CB",MLB,2020-2023,2017-2025,2016- UDFA -SDN,premium,premium,premium
24,Michael Kopech,p,6-3,220,R,R,1996-04-30,"Longview,TX",MLB,2018-2025,2014-2025,2014- 1- 33-BOS,premium,premium,premium
25,Daniel Lynch,p,6-6,200,L,L,1996-11-17,"Richmond,VA",MLB,2021-2026,2016-2026,2018- 1- 34-KCA,premium,premium,premium
26,Triston McKenzie,p,6-5,165,R,R,1997-08-02,"Brooklyn,NY",MLB,2020-2025,2015-2026,2015- 1- 42-CLE,premium,premium,premium
27,Spencer Howard,p,6-3,210,R,R,1996-07-28,"San Luis Obispo,CA",MLB,2020-2024,2016-2025,2017- 2- 45-PHI,premium,premium,premium
28,Casey Mize,p,6-3,212,R,R,1997-05-01,"Springville,AL",MLB,2020-2026,2016-2026,2018- 1- 1-DET,premium,premium,premium
29,Royce Lewis,3b-dh,6-0,200,R,R,1999-06-05,"Aliso Viejo,CA",MLB,2022-2026,2017-2026,2017- 1- 1-MIN,premium,premium,premium
30,Matt Manning,p,6-6,195,R,R,1998-01-28,"Sacramento,CA",MLB,2021-2024,2016-2025,2016- 1- 9-DET,premium,premium,premium
31,Riley Greene,lf-dh,6-2,200,L,L,2000-09-28,"Orlando,FL",MLB,2022-2026,2019-2026,2019- 1- 5-DET,premium,premium,premium
32,Drew Waters,cf-rf,6-1,185,B,R,1998-12-30,"Atlanta,GA",MLB,2022-2025,2017-2026,2017- 2- 41-ATL,premium,premium,premium
33,Jasson Dominguez,cf-lf,5-9,218,B,R,2003-02-07,"Esperanza,DR",MLB,2023-2026,2021-2026,2019- UDFA -NYA,premium,premium,premium
34,Jordan Groshans,3b-1b,6-2,200,R,R,1999-11-10,"Magnolia,TX",MLB,2022-2022,2018-2026,2018- 1- 12-TOR,premium,premium,premium
35,Logan Gilbert,p,6-6,215,R,R,1997-05-05,"Winter Park,FL",MLB,2021-2026,2016-2026,2018- 1- 14-SEA,premium,premium,premium
36,Luis Campusano,c,5-10,232,R,R,1998-09-29,"Augusta,GA",MLB,2020-2026,2017-2026,2017- 2- 39-SDN,premium,premium,premium
37,Asa Lacy,p,6-4,215,L,L,1999-06-02,"Bryan,TX",AA, ,2018-2022,2020- 1- 4-KCA,premium,premium,premium
38,Brandon Marsh,lf-cf,6-2,215,L,R,1997-12-18,"Buford,GA",MLB,2021-2026,2017-2026,2016- 2- 60-ANA,premium,premium,premium
39,Trevor Larnach,lf-dh,6-3,223,L,R,1997-02-26,"Walnut Creek,CA",MLB,2021-2026,2016-2026,2018- 1- 20-MIN,premium,premium,premium
40,Nick Madrigal,3b-2b,5-7,175,R,R,1997-03-05,"Sacramento,CA",MLB,2020-2024,2016-2026,2018- 1- 4-CHA,premium,premium,premium
41,Joey Bart,c,6-3,235,R,R,1996-12-15,"Buford,GA",MLB,2020-2026,2016-2026,2018- 1- 2-SFN,premium,premium,premium
42,Corbin Carroll,cf-lf,5-10,165,L,L,2000-08-21,"Seattle,WA",MLB,2022-2026,2019-2026,2019- 1- 16-ARI,premium,premium,premium
43,JJ Bleday,cf,6-2,205,L,L,1997-11-10,"Danville,PA",MLB,2022-2026,2017-2026,2019- 1- 4-MIA,premium,premium,premium
44,Max Meyer,p,6-0,196,L,R,1999-03-12,"Woodbury,MN",MLB,2022-2026,2018-2026,2020- 1- 3-MIA,premium,premium,premium
45,Nolan Jones,lf,6-5,195,L,R,1998-05-07,"Langhorne,PA",MLB,2022-2025,2016-2026,2016- 2- 55-CLE,premium,premium,premium
