rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Adley Rutschman,c-dh,6-2,230,B,R,1998-02-06,"Portland,OR",MLB,2022-2026,2017-2026,2019- 1- 1-BAL,premium,premium,premium
2,Julio Rodriguez,cf,6-3,228,R,R,2000-12-29,"Loma de Cabrera,DR",MLB,2022-2026,2018-2026,2017- UDFA -SEA,premium,premium,premium
3,Bobby Witt,ss-3b,6-1,200,R,R,2000-06-14,"Colleyville,TX",MLB,2022-2026,2019-2026,2019- 1- 2-KCA,premium,premium,premium
4,Riley Greene,lf-dh,6-2,200,L,L,2000-09-28,"Orlando,FL",MLB,2022-2026,2019-2026,2019- 1- 5-DET,premium,premium,premium
5,Spencer Torkelson,1b,6-1,220,R,R,1999-08-26,"Petaluma,CA",MLB,2022-2026,2018-2026,2020- 1- 1-DET,premium,premium,premium
6,Grayson Rodriguez,p,6-5,230,L,R,1999-11-16,"Houston,TX",MLB,2023-2024,2018-2026,2018- 1- 11-BAL,premium,premium,premium
7,Gabriel Moreno,c,5-9,195,R,R,2000-02-14,"Barquisimeto,VZ",MLB,2022-2026,2017-2026,2016- UDFA -TOR,premium,premium,premium
8,Shane Baz,p,6-3,200,R,R,1999-06-17,"Houston,TX",MLB,2021-2026,2017-2026,2017- 1- 12-PIT,premium,premium,premium
9,CJ Abrams,ss,6-0,191,L,R,2000-10-03,"Alpharetta,GA",MLB,2022-2026,2019-2026,2019- 1- 6-SDN,premium,premium,premium
10,Anthony Volpe,ss,5-10,197,R,R,2001-04-28,"New York,NY",MLB,2023-2026,2019-2026,2019- 1- 30-NYA,premium,premium,premium
11,Keibert Ruiz,c,6-0,238,B,R,1998-07-20,"Valencia,VZ",MLB,2020-2026,2015-2026,2014- UDFA -LAN,premium,premium,premium
12,George Kirby,p,6-4,215,R,R,1998-02-04,"Rye,NY",MLB,2022-2026,2017-2026,2019- 1- 20-SEA,premium,premium,premium
