Y,config,rounds,inner_ap3,outer_ap3
2016,"c00 base (fixed 340, logloss)",340,0.5308404377708047,0.656535580487342
2016,c01 es-aucpr,628,0.5341439756116478,0.648720864828846
2016,c02 es + h<=4,352,0.5242859957334519,0.6428889949930383
2016,c03 es + far-h x0.35,1114,0.5341192228894555,0.6401758272985418
2016,c04 es + depth6 mcw30,896,0.5364744163954328,0.6285466602726988
2016,c05 es + depth10 mcw200,528,0.5298585967641898,0.6462633340937438
2016,c06 es + depth5 mcw50 col.4,1110,0.5284412961200284,0.6519367550678224
2016,c07 es + col.4,1025,0.5296085119751226,0.6510583360888725
2016,c08 es + col.8 sub.8,446,0.5301438636625608,0.6562362044599399
2016,c09 es + lr.015,866,0.5309332144530441,0.6528568495469689
2016,c10 es + mds1 (imbalance),358,0.5298852364171394,0.6549672031830434
2016,c11 es + pos x3,525,0.5355338268448839,0.6468847081679678
2016,c12 es + lambda5 gamma1,331,0.5283393709538041,0.6526680219957793
2016,c13 es + depth6 mcw30 col.4 lr.02,593,0.529947326386786,0.6540871185661489
2014,"c00 base (fixed 340, logloss)",340,0.5789086339850873,0.4668537750896846
2014,c01 es-aucpr,211,0.5786209108023745,0.4681226664116653
2014,c02 es + h<=4,454,0.5774211049221886,0.48112411771585434
2014,c03 es + far-h x0.35,824,0.5895712222678722,0.4790852057856513
2014,c04 es + depth6 mcw30,337,0.5797031965810401,0.48063937743262647
2014,c05 es + depth10 mcw200,803,0.5862829564357089,0.4799712666055177
2014,c06 es + depth5 mcw50 col.4,604,0.5805563960527044,0.48700079491036585
2014,c07 es + col.4,456,0.584680471312369,0.48748156190427633
2014,c08 es + col.8 sub.8,371,0.579298468995253,0.4812574455861731
2014,c09 es + lr.015,704,0.5825023703015915,0.4731720915598331
2014,c10 es + mds1 (imbalance),527,0.5846746500092922,0.4830740466675228
2014,c11 es + pos x3,353,0.5837517088270934,0.47152575565576804
2014,c12 es + lambda5 gamma1,457,0.5808780044960327,0.4771083310449441
2014,c13 es + depth6 mcw30 col.4 lr.02,1092,0.5854194333809445,0.4756518099800278
2012,"c00 base (fixed 340, logloss)",340,0.5705084787251161,0.6653745996110297
2012,c01 es-aucpr,549,0.5753168035218718,0.6688870001243776
2012,c02 es + h<=4,804,0.5851914076027424,0.6600671811162903
2012,c03 es + far-h x0.35,629,0.5814981341050187,0.6669794640620947
2012,c04 es + depth6 mcw30,795,0.57897999644063,0.6678118126096783
2012,c05 es + depth10 mcw200,495,0.5810565197315393,0.6700206081002931
2012,c06 es + depth5 mcw50 col.4,672,0.5745316642062998,0.6671944464783214
2012,c07 es + col.4,920,0.5816818349848017,0.661921188219021
2012,c08 es + col.8 sub.8,1000,0.584882191388367,0.6642702666672277
2012,c09 es + lr.015,1130,0.5823398560054708,0.669012942532502
2012,c10 es + mds1 (imbalance),898,0.5853647058029109,0.662696927706205
2012,c11 es + pos x3,756,0.5825579886647322,0.6688494150198828
2012,c12 es + lambda5 gamma1,910,0.5817574337206523,0.664767440360402
2012,c13 es + depth6 mcw30 col.4 lr.02,1500,0.5789459881091205,0.6688129629890744
