player_id,name,draft_round,bucket,snap_year,snap_offset,p_TOP_100_PROSPECT,mean_t_TOP_100_PROSPECT,p_MLB_DEBUT,mean_t_MLB_DEBUT,p_ESTABLISHED_MLB,mean_t_ESTABLISHED_MLB,p_ALL_STAR_ONCE,mean_t_ALL_STAR_ONCE,p_ALL_STAR_THREE_PLUS,mean_t_ALL_STAR_THREE_PLUS,p_MAJOR_AWARD,mean_t_MAJOR_AWARD,p_ELITE,mean_t_ELITE,p_STAR,mean_t_STAR,p_STAR_PLUS_ELITE,mean_t_STAR_PLUS_ELITE,birth_year,age_at_snap_centered,years_in_pro,yip_centered,p_TOP_100_PROSPECT_x_yip_centered,p_MLB_DEBUT_x_yip_centered,p_ESTABLISHED_MLB_x_yip_centered,p_ELITE_x_yip_centered,p_STAR_x_yip_centered,p_STAR_PLUS_ELITE_x_yip_centered,xgb_p_TOP_100_PROSPECT,xgb_p_MLB_DEBUT,xgb_p_ESTABLISHED_MLB,xgb_p_STAR_PLUS_ELITE,realized_MLB_DEBUT,realized_TOP_100_PROSPECT,realized_ESTABLISHED_MLB,mlb_debut_year,rank_in_snap,rank
draft_2021_gunnar_hoglund_r1p19,Gunnar Hoglund,1,R1,2025,4,4.406068446116685e-05,2.698640842436204,1.0,0.0,0.0025761794493428,15.0,0.0032215491615361,5.238583391290221,0.002706969744422,5.316582475675028,0.0009485370779898,5.388093188800688,0.0038936443491934,5.386576863476645,0.0033814637208694,5.359640775516114,0.0072619418529541,5.359640775516114,1999.0,4.0,4,1,4.406068446116685e-05,1.0,0.0025761794493428,0.0038936443491934,0.0033814637208694,0.0072619418529541,0.0025752406,0.95847917,0.0034564587,0.00021230639,0,0,0,2025.0,1,1
draft_2021_will_dion_r9p276,Will Dion,9,R4-R10,2025,4,6.141590879638059e-05,2.6166451172033645,0.8878976775179853,1.8462487590722432,0.001433384976488,3.7334797205948353,0.0016019143442906,4.4394522669781,0.0027347683749572,4.598818077334745,0.0002253748999484,4.478137690705748,0.0038803292781975,4.476653048171853,0.0038616912559187,4.512414929104227,0.0077270359004726,4.476653048171853,2000.0,3.0,4,1,6.141590879638059e-05,0.8878976775179853,0.001433384976488,0.0038803292781975,0.0038616912559187,0.0077270359004726,0.0024164612,0.95377254,0.0031812042,0.00027462115,0,0,0,,2,2
draft_2021_andrew_hoffmann_r12p367,Andrew Hoffmann,12,R10+,2025,4,0.000107293276376,2.147833519938524,1.0,0.0,0.0025783227997108,15.0,0.0007228816812866,4.287207707270021,0.0022879427062511,4.363352103754881,0.0007667117859015,4.323956058755756,0.002467823028553,4.32329090338006,0.0010045068455808,4.335128985848148,0.003469850929008,4.32329090338006,2000.0,3.0,4,1,0.000107293276376,1.0,0.0025783227997108,0.002467823028553,0.0010045068455808,0.003469850929008,0.001668871,0.9448106,0.003931398,0.00021769878,0,0,0,2025.0,3,3
draft_2021_chase_lee_r6p164,Chase Lee,6,R4-R10,2025,4,0.000125556323682,2.56022997634094,1.0,0.0,0.007645159968306,15.0,0.0003016901742435,4.415854531596696,0.0019591140639806,4.272340895089436,0.0005273273553365,4.203084939837164,0.0022740977114694,4.202479727536804,0.0005363409384349,4.307369918456407,0.0028092189582037,4.202479727536804,1998.0,5.0,4,1,0.000125556323682,1.0,0.007645159968306,0.0022740977114694,0.0005363409384349,0.0028092189582037,0.0016983754,0.93002635,0.0040057744,0.00017945557,0,0,0,2025.0,4,4
draft_2021_andrew_alvarez_r12p353,Andrew Alvarez,12,R10+,2025,4,0.0004341562289985,1.6497545874689543,1.0,0.0,0.001599733050461,15.0,0.0008518300869574,4.411248369781523,0.0021571240547877,4.50951142132109,0.0007239463833311,4.288891528072691,0.0026259615685411,4.288164251172459,0.0009353021710908,4.313031972873423,0.0035588076720757,4.288164251172459,1999.0,4.0,4,1,0.0004341562289985,1.0,0.001599733050461,0.0026259615685411,0.0009353021710908,0.0035588076720757,0.0019039197,0.92557526,0.0035804454,0.0001484412,0,0,0,2025.0,5,5
draft_2021_noah_cameron_r7p199,Noah Cameron,7,R4-R10,2025,4,3.6481375149555184e-05,2.2875509954214226,1.0,0.0,0.001624263940119,15.0,0.0006216565030823,4.170386325193952,0.0019845865245582,4.1090831339354565,0.0006584402209188,4.111135984442557,0.0021984148861223,4.110606881108299,0.0006395506093158,4.502056156797329,0.0028365594978583,4.110606881108299,1999.0,4.0,4,1,3.6481375149555184e-05,1.0,0.001624263940119,0.0021984148861223,0.0006395506093158,0.0028365594978583,0.0017980138,0.9199122,0.0043333964,0.00020013347,0,0,0,2025.0,6,6
draft_2021_will_bednar_r1p14,Will Bednar,1,R1,2025,4,0.0002639088274418,1.8513874380466828,0.9008531022580604,1.993260765328995,0.0008638866803001,4.502508645074196,0.0012202897075407,5.351179102753554,0.0024262511906409,5.200270783298182,0.0006368983718605,5.209946889594161,0.0026455306947632,5.2091047967021655,0.00209753575141,5.302016308238169,0.0047375173509596,5.2091047967021655,2000.0,3.0,4,1,0.0002639088274418,0.9008531022580604,0.0008638866803001,0.0026455306947632,0.00209753575141,0.0047375173509596,0.0018126882,0.91848266,0.0036369008,0.00019108299,0,0,0,,7,7
draft_2021_colton_gordon_r8p238,Colton Gordon,8,R4-R10,2025,4,1.582067181560287e-05,2.352624575912924,1.0,0.0,0.0021252650808012,15.0,0.0006424007910288,4.166634019427875,0.001992506373968,4.165505979427017,0.0006415423687036,4.086871640725253,0.0021441059151399,4.086350644080526,0.0005379971945136,4.143558703074191,0.0026809495866865,4.086350644080526,1998.0,5.0,4,1,1.582067181560287e-05,1.0,0.0021252650808012,0.0021441059151399,0.0005379971945136,0.0026809495866865,0.003244995,0.91739565,0.005764571,0.00038404873,0,0,0,2025.0,8,8
draft_2021_mike_vasil_r8p232,Mike Vasil,8,R4-R10,2025,4,1.962527669985281e-05,2.349041764065397,1.0,0.0,0.0013523622792849,15.0,0.0004422741870017,3.959734117712733,0.0018413997797245,3.949189222771025,0.0001828423554993,4.008961238702951,0.0029366594279841,4.00799626669342,0.000342508238569,3.998748376468381,0.0032781618365053,3.998748376468381,2000.0,3.0,4,1,1.962527669985281e-05,1.0,0.0013523622792849,0.0029366594279841,0.000342508238569,0.0032781618365053,0.0046604862,0.9171801,0.00600874,0.00052764534,0,0,0,2025.0,9,9
draft_2021_hunter_dobbins_r8p226,Hunter Dobbins,8,R4-R10,2025,4,5.735563810504996e-05,2.0438633471439505,1.0,0.0,0.0041411193481529,15.0,0.0014146853636822,3.7058678532081712,0.0015204954512676,3.670322320956655,0.0005473335183719,3.555702509027568,0.0018276821566838,3.5553351128897748,0.0003365067255015,3.7329255787125,0.0021635738548475,3.5553351128897748,1999.0,4.0,4,1,5.735563810504996e-05,1.0,0.0041411193481529,0.0018276821566838,0.0003365067255015,0.0021635738548475,0.0018457684,0.91206574,0.004937062,0.00020783533,0,0,0,2025.0,10,10
