mean_fwd_years,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,ap,ap_lift,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%,event,snap_year
2.0,2217,12,0.005412719891745603,0.0076372906245602825,0.989644746787604,0.9799690688984117,0.9973847969314767,0.49334707846705816,91.145872746789,0.004039345822698941,0.24966953059926256,0.0033448947966642274,0.11389472136145096,58.78409090909091,0.5833333333333334,22,18.30855855855856,0.9166666666666666,111,9.986486486486486,1.0,222,TOP_100_PROSPECT,2023
2.0,2218,121,0.0545536519386835,0.13422012677066855,0.981888727304256,0.9720172816226353,0.9909039317709873,0.892896114369939,16.367302327872103,0.03915247604434523,0.24090083212309832,0.08244311227694126,0.0,18.330578512396695,0.18181818181818182,22,15.853473308018764,0.7933884297520661,111,9.000148909239817,0.9008264462809917,222,MLB_DEBUT,2023
2.0,2246,0,0.0,0.005994319466035668,,,,,,,,0.005994319466035669,2.7495240319419523e-05,,,22,,,112,,,225,ESTABLISHED_MLB,2023
2.0,2246,0,0.0,0.0013235405550190813,,,,,,,,0.0013235405550190813,0.07676178803730282,,,22,,,112,,,225,STAR_PLUS_ELITE,2023
