event,h,combo,ap,d_ap,lo,hi,calib
MLB_DEBUT,3,control+v3,0.5423817200242101,0.011279351383779574,0.005653981393084856,0.01728172232640778,0.9214367196779515
MLB_DEBUT,3,control+v3+haz,0.5403595610037805,0.009258721783464435,0.001845172055738137,0.017708906779872,0.9100000884525193
MLB_DEBUT,6,control+v3,0.5737688591478931,0.006409588719768246,0.0015406883739390782,0.011867863061754693,0.92526980595816
MLB_DEBUT,6,control+v3+haz,0.5733692991349825,0.006033089204661297,-0.0011761726756299494,0.013327940354497036,0.9211754650796558
TOP_100_PROSPECT,3,control+v3,0.45495109658036686,9.429571703621871e-05,-0.011993247708622892,0.011982910583888735,0.987785954111241
TOP_100_PROSPECT,3,control+haz,0.46069111406186847,0.005989516572596651,-0.010531101813842952,0.021948388269140064,0.9387146059371438
TOP_100_PROSPECT,3,control+v3+haz,0.4574676095988446,0.002636621024444747,-0.01417802963513126,0.018460334695007644,0.9609234415677357
TOP_100_PROSPECT,6,control+v3,0.42955578389872145,-0.0003625743624464445,-0.014952600710604452,0.013146104491241763,0.9802622611863149
TOP_100_PROSPECT,6,control+haz,0.4391565474394007,0.009103477458185944,-0.006084522574993162,0.025338870432399498,0.9893668620298166
TOP_100_PROSPECT,6,control+v3+haz,0.43264462948561194,0.00293169487167207,-0.01641067500086931,0.020322618036501938,0.9843307643949876
ESTABLISHED_MLB,3,control+v3cond,0.2750592372506784,0.02701737911300136,0.012547053273785786,0.043019957069030675,0.7353778812787505
ESTABLISHED_MLB,3,control+v3,0.26694176242713236,0.018642953952558466,0.005268460866754801,0.03372954274833009,0.6873285231233579
ESTABLISHED_MLB,3,v3cond+haz,0.27663239471767326,0.026971658130756495,-9.886510820508038e-06,0.058916471245463765,0.8551010440072566
ESTABLISHED_MLB,3,control+v3cond+haz,0.2764146640471804,0.02720863686699771,0.00993022961362115,0.050582341129521494,0.776238211740613
ESTABLISHED_MLB,3,control+v3+v3cond+haz,0.2771384991587694,0.02803923910043963,0.009485810392747308,0.05181880261600328,0.7712147835653073
ESTABLISHED_MLB,6,control+v3cond,0.34589963852528854,0.020883321195317408,0.01044418987701637,0.03318974715083451,0.7885590783726838
ESTABLISHED_MLB,6,control+v3,0.3425057947673328,0.017637150330563445,0.006186336856843386,0.02757575245240106,0.7866543718286466
ESTABLISHED_MLB,6,v3cond+haz,0.3501044976293284,0.02509038190526222,0.006756623075733697,0.04185127289183027,0.8360228091098805
ESTABLISHED_MLB,6,control+v3cond+haz,0.3484048445927832,0.02357333438663224,0.010238907335480293,0.036441537085863236,0.8028854879019747
ESTABLISHED_MLB,6,control+v3+v3cond+haz,0.3481359231803594,0.02333736766234711,0.007462577440752379,0.03729339828926935,0.8113385904692634
STAR_PLUS_ELITE,3,v3cond,0.1278182260470187,0.06995250058052074,0.0037708677141577106,0.1545376143021982,0.7039224657323648
STAR_PLUS_ELITE,3,haz,0.1019332848405079,0.04525324522401852,-0.0026547097857924197,0.11372087120022693,0.603529722417118
STAR_PLUS_ELITE,3,control+v3cond,0.09571264967722368,0.04082849835237184,0.0022272188394573517,0.10261076888866527,0.5873395075715522
STAR_PLUS_ELITE,3,v3cond+haz,0.120719997019582,0.06529574979524431,0.002712044467564623,0.15661336009475474,0.6537260940747412
STAR_PLUS_ELITE,3,control+v3cond+haz,0.09220794992635747,0.04022941812001767,-0.00021143393876004568,0.10621535707877872,0.5927362458534075
STAR_PLUS_ELITE,3,v3+v3cond+haz,0.10544063037677241,0.04791941217633784,-0.0006986204178372338,0.12590629153602084,0.6438940970822046
STAR_PLUS_ELITE,6,v3cond,0.19072905134949425,0.05715231451631637,0.025552969585594824,0.10100553511470815,0.9487429185927541
STAR_PLUS_ELITE,6,haz,0.18163308780772727,0.04854868019846439,0.008532777387958459,0.09082253726628046,0.806562336755976
STAR_PLUS_ELITE,6,control+v3cond,0.17644555075580073,0.043262443278153026,0.019009713307943203,0.0775014161895745,0.8575508934470824
STAR_PLUS_ELITE,6,v3cond+haz,0.19062570158822056,0.0569376582285995,0.01989335905194583,0.09882150288342961,0.877652627674365
STAR_PLUS_ELITE,6,control+v3cond+haz,0.18110189718677913,0.04805670624533686,0.019287856874348995,0.08449761637226408,0.8405547078833802
STAR_PLUS_ELITE,6,v3+v3cond+haz,0.19347031693750247,0.05963972427512165,0.023742230878791258,0.10241829093999212,0.8880668299137833
