event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,haz,-0.008859930975397794,-0.020959569400672704,0.0038191778046481957
MLB_DEBUT,3,mix_haz,0.006732597830011206,0.0003053967554849826,0.013961906835229652
MLB_DEBUT,3,v3,0.010817984383331713,0.0007023750769795835,0.022447772578676604
MLB_DEBUT,3,mix_v3,0.013608064768047459,0.007894698045135307,0.019758011386055704
MLB_DEBUT,6,haz,-0.0016447046493733416,-0.010958336038810888,0.008021555931450835
MLB_DEBUT,6,mix_haz,0.0055644307721021006,0.0004437928739483622,0.010493527280735859
MLB_DEBUT,6,v3,0.004123315881350517,-0.003784887892437044,0.01306269827111084
MLB_DEBUT,6,mix_v3,0.007477486107715074,0.003666482015550837,0.011975435493800687
TOP_100_PROSPECT,3,haz,-0.0234341219900909,-0.05546421387992374,0.007308659411004099
TOP_100_PROSPECT,3,mix_haz,0.0062512821675893065,-0.008424897414318185,0.020021320850455864
TOP_100_PROSPECT,3,v3,-0.011940236734392205,-0.03514244716015256,0.009345377575697204
TOP_100_PROSPECT,3,mix_v3,0.0032120911932435317,-0.009272923059071654,0.014688279404409347
TOP_100_PROSPECT,6,haz,-0.01235706744904386,-0.04306485931344449,0.018014086718707283
TOP_100_PROSPECT,6,mix_haz,0.008637635301824485,-0.006625829800073806,0.024702260523315995
TOP_100_PROSPECT,6,v3,-0.008764158481676502,-0.03409292892440987,0.013724027708286794
TOP_100_PROSPECT,6,mix_v3,0.0032580163749219722,-0.00986423136110438,0.014224327729589837
ESTABLISHED_MLB,3,haz,0.002660403306410056,-0.024464648498009403,0.036662931504475985
ESTABLISHED_MLB,3,mix_haz,0.01169426396811587,-0.002271069979023192,0.027998421498421563
ESTABLISHED_MLB,3,v3,0.015945938458039665,-0.012415291809903006,0.04558764220384628
ESTABLISHED_MLB,3,mix_v3,0.017285669904091007,0.0036955868097276663,0.03174264623396565
ESTABLISHED_MLB,3,v3cond,0.027376517190665,0.000956744182223796,0.05617886742427551
ESTABLISHED_MLB,3,mix_cond,0.0237009834709426,0.009642252194073837,0.0394344847073803
ESTABLISHED_MLB,6,haz,0.015164980004143716,-0.004098641959765575,0.03264823142376045
ESTABLISHED_MLB,6,mix_haz,0.01571485721814503,0.005267877211853846,0.025504405102704235
ESTABLISHED_MLB,6,v3,0.013471693917391215,-0.003401586460487876,0.02994931891624488
ESTABLISHED_MLB,6,mix_v3,0.014179795910658708,0.00432731417155884,0.023822519032281192
ESTABLISHED_MLB,6,v3cond,0.027707886605967513,0.011801283164260311,0.045283819489769644
ESTABLISHED_MLB,6,mix_cond,0.0213389419230033,0.012369631832098542,0.0317264981595994
STAR_PLUS_ELITE,3,haz,0.04877900174171708,-0.0024553818313028286,0.12012929372272135
STAR_PLUS_ELITE,3,mix_haz,0.017092839376950525,-0.001916465634513742,0.05857421380059619
STAR_PLUS_ELITE,3,v3,0.022941370839994406,-0.011973075373807486,0.07638601994091178
STAR_PLUS_ELITE,3,mix_v3,0.010358132249213656,-0.010055542317082727,0.04540393169830389
STAR_PLUS_ELITE,3,v3cond,0.05942634514668157,0.0021627687088026527,0.14775465462542955
STAR_PLUS_ELITE,3,mix_cond,0.039697186287472444,0.002584969237399802,0.10090534585805952
STAR_PLUS_ELITE,6,haz,0.05033824139920043,0.010354173420801497,0.09636455113322097
STAR_PLUS_ELITE,6,mix_haz,0.03238248471043018,0.007233039685620992,0.06336914524968103
STAR_PLUS_ELITE,6,v3,0.042407240676778125,0.00909731917702977,0.09028596253887461
STAR_PLUS_ELITE,6,mix_v3,0.031685232653929016,0.008603860706059204,0.06533168371124835
STAR_PLUS_ELITE,6,v3cond,0.05196507852020323,0.019266907445206483,0.09319643014770436
STAR_PLUS_ELITE,6,mix_cond,0.040276532051590666,0.015423856554419574,0.07155872292884043
