event,h,arm,n,pos,ap,auc,calib
TOP_100_PROSPECT,3,deployed_4x,41850,319,0.4550399249131201,0.976540468429784,0.9702307953935627
TOP_100_PROSPECT,3,joint_small,41850,319,0.4181015778303514,0.9727406856788399,0.977321020780032
TOP_100_PROSPECT,3,joint_small_xcal,41850,319,0.4014451232074704,0.9721852973972911,0.9978034725436739
TOP_100_PROSPECT,3,mcw100,41850,319,0.42608337365320853,0.9713541397372919,0.9696926894600629
TOP_100_PROSPECT,3,mcw100_xcal,41850,319,0.4095121186724333,0.9708918948560463,0.9959798736370679
TOP_100_PROSPECT,3,mcw20,41850,319,0.38135076063288453,0.9688243981966411,0.9352143351017822
TOP_100_PROSPECT,3,mcw20_xcal,41850,319,0.366997317733912,0.96670791444907,0.9997808396428598
TOP_100_PROSPECT,3,mcw5,41850,319,0.3669583122158401,0.9690765043206384,0.8839915769297314
TOP_100_PROSPECT,3,mcw5_xcal,41850,319,0.34221065266969136,0.9658744546223695,0.9975825536097601
TOP_100_PROSPECT,6,deployed_4x,35057,368,0.43028776672720964,0.9686223909471364,0.9862659532472999
TOP_100_PROSPECT,6,joint_small,35057,368,0.41049173207988027,0.9629902020688177,0.9324045917677248
TOP_100_PROSPECT,6,joint_small_xcal,35057,368,0.39827511189979103,0.9613378254226688,0.9943368698144104
TOP_100_PROSPECT,6,mcw100,35057,368,0.40928280428399993,0.9617799136300569,0.921041100835124
TOP_100_PROSPECT,6,mcw100_xcal,35057,368,0.39367203180362126,0.9600592281477527,0.995743643346591
TOP_100_PROSPECT,6,mcw20,35057,368,0.3796154336527522,0.9600249953938538,0.8670768289619287
TOP_100_PROSPECT,6,mcw20_xcal,35057,368,0.3646094945068298,0.9566106894554971,0.9955700733064637
TOP_100_PROSPECT,6,mcw5,35057,368,0.3723314318476828,0.9599265664344167,0.8217841602441774
TOP_100_PROSPECT,6,mcw5_xcal,35057,368,0.34517223268557595,0.9559077429632499,0.9988616483654134
