estimator,n,mae,spearman,bias,q25_q75_coverage,mean_window_width
"G_cdf_mean(cal,OOF)",2911,1.1246257315155308,0.617530428699623,0.21578274026311012,,
"G_cdf_median(cal,OOF)",2911,1.0326348333905875,0.609448341969144,-0.12229474407420131,0.7523187907935417,1.872552387495706
lasso_timing.pkl,2911,1.1976633014314144,0.5696410945914615,0.2581537851204021,,
