event,h,arm,d_ap,lo,hi
MLB_DEBUT,3,v3,0.00604583268854465,-0.004116506082374394,0.0157845471616275
MLB_DEBUT,3,mix_v3,0.011766214720294745,0.006440295738209481,0.01686828719280902
MLB_DEBUT,6,v3,6.38157050684529e-05,-0.008565621560873985,0.008675370754871986
MLB_DEBUT,6,mix_v3,0.007287441127381753,0.0024258323419452804,0.011639068344901946
TOP_100_PROSPECT,3,v3,-0.01388331934733102,-0.0440453579574607,0.017859226150522368
TOP_100_PROSPECT,3,mix_v3,0.007136571615450906,-0.0059414391017662774,0.025011921544942643
TOP_100_PROSPECT,6,v3,-0.013427580984267383,-0.039068166473823364,0.010785898754499878
TOP_100_PROSPECT,6,mix_v3,0.006023390332346407,-0.007826200363600445,0.01940973406637016
ESTABLISHED_MLB,3,v3,0.003383443798057073,-0.02482018556812029,0.02976460302873871
ESTABLISHED_MLB,3,mix_v3,0.015076094043163983,0.002664540487498181,0.029447320187821088
ESTABLISHED_MLB,3,v3cond,-0.00020153380889868664,-0.030139098507058936,0.0320598560279973
ESTABLISHED_MLB,3,mix_cond,0.014205112751087188,0.00010221757559067891,0.027969185174082638
ESTABLISHED_MLB,6,v3,0.01098408907621812,-0.005649022848131088,0.02602285808798771
ESTABLISHED_MLB,6,mix_v3,0.014374533011987349,0.005718704913339476,0.02326526317100847
ESTABLISHED_MLB,6,v3cond,0.01877472077083034,0.0034321238333867065,0.03427373043149582
ESTABLISHED_MLB,6,mix_cond,0.016423882321460952,0.007903622941762242,0.02494605454570464
STAR_PLUS_ELITE,3,v3,-0.010612698893512667,-0.05198436101522686,0.012557541049599621
STAR_PLUS_ELITE,3,mix_v3,0.013156779261600278,-0.003668030182155298,0.04253842992353912
STAR_PLUS_ELITE,3,v3cond,0.01779618532646287,-0.020148044355959144,0.05248370623466226
STAR_PLUS_ELITE,3,mix_cond,0.016897926252547393,-0.0016862509313706742,0.045964114391326645
STAR_PLUS_ELITE,6,v3,-0.0012085044785642828,-0.018317600673127703,0.01545646509334822
STAR_PLUS_ELITE,6,mix_v3,0.00640262289320191,-0.005163022302717342,0.021308033765238533
STAR_PLUS_ELITE,6,v3cond,0.006142016648735412,-0.012314156808856615,0.029960513556175152
STAR_PLUS_ELITE,6,mix_cond,0.009940526979178908,-0.0007162796131129501,0.024881426678425408
