oof,cal,event,h,slice,n,ece,brier,logloss,ratio,top_n,top_pred,top_actual,top_gap
single,spline,TOP_100_PROSPECT,3,yip<=3,19336,0.0028081001675499553,0.010896124088253141,0.04303732484591589,0.9187560485003888,65,0.8032117121292106,0.7538461538461538,-0.049365558283056776
single,spline,TOP_100_PROSPECT,6,all,35351,0.0014468939472112312,0.007054189979413243,0.027965476965015074,0.9377898548516574,69,0.8048480851692476,0.7536231884057971,-0.051224896763450434
single,spline,TOP_100_PROSPECT,6,yip<=3,17531,0.003148957304777179,0.01393779046286748,0.05501085917747832,0.9175759128407959,67,0.804274997217151,0.746268656716418,-0.058006340500733056
single,spline,MLB_DEBUT,1,all,45887,0.0018675424489231365,0.011759739259323047,0.04318992396768918,0.9397512021580937,73,0.7733101587420126,0.6986301369863014,-0.0746800217557112
single,spline,MLB_DEBUT,1,yip<=3,19535,0.0016619578494066582,0.014657204355060136,0.053155639088022344,0.9697214784404028,48,0.7755051127040472,0.6875,-0.0880051127040472
single,spline,MLB_DEBUT,3,all,42591,0.005582434669577633,0.030920991242233083,0.10716569459341349,0.9457284384327787,377,0.8052780523497369,0.7586206896551724,-0.04665736269456455
single,spline,MLB_DEBUT,3,yip<=3,19518,0.008774100969125766,0.04703840143841686,0.1606034033584056,0.939794317185734,280,0.8054586651366736,0.7642857142857142,-0.0411729508509594
single,spline,MLB_DEBUT,6,all,35658,0.00666150424309742,0.047599431072604156,0.15897656371849064,0.9725830986982283,615,0.7994539095121855,0.791869918699187,-0.007583990812998542
single,spline,MLB_DEBUT,6,yip<=3,17696,0.012008882021895411,0.07572623302449594,0.24973297028049654,0.9563274074124556,507,0.7985766492489224,0.7928994082840237,-0.005677240964898633
single,spline,ESTABLISHED_MLB,1,all,45887,5.630423362704597e-05,8.13798465281201e-05,0.0005292448905512378,1.2108807371390475,0,,,
single,spline,ESTABLISHED_MLB,1,yip<=3,19535,6.014377127631596e-05,0.0001907476663183174,0.0011396433415405405,0.7062728570292918,0,,,
single,spline,ESTABLISHED_MLB,3,all,42591,0.0017218622577740682,0.004885676266618073,0.019964751914686062,0.7410436510292178,1,0.7121367786835545,1.0,0.2878632213164455
single,spline,ESTABLISHED_MLB,3,yip<=3,19518,0.003089180453168165,0.008223905348145199,0.03183833227757292,0.7306971379478091,1,0.7121367786835545,1.0,0.2878632213164455
single,spline,ESTABLISHED_MLB,6,all,35658,0.002543776965887191,0.017279202787961995,0.06556425512638163,0.891863210950683,19,0.7363409645622926,0.6842105263157895,-0.0521304382465031
