Y,variant,ap,auc,calib
2016,A_oof_capY,0.6335867790246832,0.9503762860786918,1.2063663707482086
2016,A_oof_fresh,0.6306333204159207,0.9500703061400695,1.1842858357762645
2016,B1,0.6537855597914457,0.9534854231070683,1.101065431092827
2016,blend A_oof_capY 50 / B1 50,0.6512984939284877,0.952976033591144,1.1430533201675486
2016,blend A_oof_fresh 50 / B1 50,0.6521144174916093,0.9532711938713992,1.129759017556756
2014,A_oof_capY,0.3739847813362221,0.8692564352447737,0.29833793433578043
2014,A_oof_fresh,0.35093815939949496,0.8705188505437511,0.3072384160697351
2014,B1,0.3721422378606501,0.8595058911125709,0.22572500694698164
2014,blend A_oof_capY 50 / B1 50,0.37914867337635894,0.8672179247884142,0.25130782802423596
2014,blend A_oof_fresh 50 / B1 50,0.3717751420551491,0.8694660833789688,0.25193359401914306
2012,A_oof_capY,0.6452434828317574,0.9541507332304238,1.1657924797468886
2012,A_oof_fresh,0.6484887770700527,0.954272792122743,1.1433100354354993
2012,B1,0.6508083331449076,0.955796554869492,1.1123591372380863
2012,blend A_oof_capY 50 / B1 50,0.6547322334708497,0.955825936710637,1.130376378877172
2012,blend A_oof_fresh 50 / B1 50,0.6574655454246949,0.9559047268219667,1.1194948691694524
