scorer,event,h,n,pos,base,auc,ap,brier,calib
D+E+F,ESTABLISHED_MLB,7,17790,895,0.05030916245081506,0.9392559366841865,0.4901707292613594,0.034140253198179975,0.865629687281327
D+E+F,ESTABLISHED_MLB,8,16407,948,0.05778021576156519,0.9358895914414145,0.5019825478941069,0.038559560093138115,0.8672805997126634
D+E+F,ESTABLISHED_MLB,9,15013,962,0.0640777992406581,0.9323660348676361,0.5027780293933389,0.04250537302451102,0.8610748094151084
D+E+F,ESTABLISHED_MLB,10,13617,950,0.06976573400895938,0.9280002742310106,0.5062000648535478,0.046077952888333315,0.8505592816391322
D+E+F,STAR_PLUS_ELITE,1,23864,7,0.0002933288635601743,0.9972035760693178,0.13010290509664665,0.00028583512555656,0.8865639946685147
D+E+F,STAR_PLUS_ELITE,2,23192,19,0.0008192480165574336,0.9862339791999309,0.14271153644057893,0.0007861279284095284,0.582937937553652
D+E+F,STAR_PLUS_ELITE,3,22409,36,0.0016064973894417422,0.9661273260924627,0.12094701895017132,0.0015149879682914234,0.8206461335017441
D+E+F,STAR_PLUS_ELITE,4,21482,58,0.002699934829159296,0.9672660052535346,0.19839597558286362,0.002440332483619774,0.9027634039027268
D+E+F,STAR_PLUS_ELITE,5,20398,86,0.0042160996176095695,0.959084216455847,0.18550018991030176,0.003783578956978646,0.9075917024864434
D+E+F,STAR_PLUS_ELITE,6,19155,112,0.00584703732706865,0.9549250849581024,0.2034041653903974,0.005167679709428758,0.9536465077875391
D+E+F,STAR_PLUS_ELITE,7,17790,132,0.007419898819561552,0.9515180259955998,0.19913022200872546,0.0065700556966315025,0.9735634613153072
D+E+F,STAR_PLUS_ELITE,8,16407,147,0.008959590418723715,0.9484923981892881,0.2006562215593948,0.00791767026138886,0.9715326465239388
D+E+F,STAR_PLUS_ELITE,9,15013,162,0.010790648104975688,0.9462778829375915,0.2114396526882414,0.009479488124265655,0.9112406538615574
D+E+F,STAR_PLUS_ELITE,10,13617,170,0.012484394506866416,0.9441727654101724,0.22909182510276394,0.010869099497036818,0.8533769498532339
