key_fangraphs,key_mlbam,name_first,name_last
8580,502522,Justin,Miller
5448,445926,Jesse,Chavez
1006072,116199,Chris,Howard
1002074,112126,Roy,Castleton
1002269,112339,Bobby,Clark
1003224,113285,Paul,Derringer
4293,451109,Brett,Hayes
1175,407870,Josh,Pearce
29715,696100,Hunter,Goodman
1007516,117668,Mark,Lemke
-1,819429,,Gardner
1005429,115545,Rit,Harrison
1008797,118985,Matt,Merullo
1006881,117029,Fred,Ketchum
1007214,117368,Ryan,Kurosaki
-1,817020,Bob,Taylor
1011272,121522,Dick,Rozek
1002640,112703,Frank,Corridon
1009597,119800,Tom,Niland
1005547,115663,Egyptian,Healy
1001985,112027,Charlie,Carr
-1,818445,Red,Longley
1010767,120992,Hugh,Reid
15474,608337,Lucas,Giolito
1011812,122069,Shag,Shaughnessy
19698,658668,Edward,Olivares
1001370,111408,Frank,Brazill
-1,-1,Frank,Wilson
1001433,111470,Frank,Brill
1003356,113420,Ed,Doheny
-1,446973,Rudy,Hernandez
1000847,110875,Shayne,Bennett
1004633,114717,George,Gerken
25629,683227,Cody,Freeman
1002929,112994,John,Dailey
15124,641796,Tim,Locastro
1000544,406723,Andy,Barkett
-1,819325,Sam,Gordon
4505,519455,Jordan,Zimmermann
1011421,121675,Roy,Sanders
20205,676886,Jeremy,Beasley
1001923,111967,Tom,Cantwell
1008958,119141,Jack,Mills
29958,695670,Harry,Ford
1007260,117415,Eddie,Lake
16618,613317,Kyle,Bird
-1,819135,Garrell,Hartman
1013876,124205,Guerdon,Whiteley
1008007,118182,Frank,Makosky
-1,490997,Jon,Byrne
1000521,136270,Travis,Baptist
-1,820341,Elmer,Brown
1007937,118106,Keith,MacWhorter
7759,506648,Yoslán,Herrera
-1,-1,Terry,Bovey
1006874,117017,John,Kerr
1002279,112321,Ed,Clark
1005568,115683,Neal,Heaton
7487,455090,Jack,Egbert
1010792,121028,Billy,Reid
1049,119732,Phil,Nevin
1013879,124177,Jack,White
-1,820802,Thurman,Jennings
1002423,112475,Jerry,Coleman
1007381,117537,Tim,Laudner
-1,817990,Henry,Nears
1012453,122710,James,Steels
7385,519096,Dan,Otero
1008105,118282,Joe,Margoneri
21741,665871,Javier,Assad
1002170,112224,Dave,Cheadle
733,407053,Adam,Johnson
13807,608700,Kevin,Plawecki
1012116,122370,Dave,Smith
1000619,110634,John,Barry
1006750,116898,Jimmie,Keenan
1960,116058,Aaron,Holbert
-1,819595,,Face
-1,431092,Bill,Zavestoski
1007202,117356,Joe,Kuhel
-1,819686,Frank,Duncan
1007062,117215,Cliff,Knox
1002972,113038,Jack,Daniels
2786,451546,Julio,De Paula
28806,694192,Jackson,Chourio
1006070,116196,Joe,Hovlik
1012071,122330,Joe,Slusarski
-1,-1,Epy,Guerrero
-1,-1,,Steward
-1,-1,Moses,Chandler
948,111262,Ricky,Bottalico
22707,672569,Gustavo,Campero
1008863,119051,Jim,Miles
2832,501255,Rafael,Ynoa
-1,819779,Samuel,Dewitt
-1,534229,Don,Long
1000448,110468,Del,Baker
1002219,112260,Mike,Chris
16017,628333,Odrisamer,Despaigne
-1,817434,Dick,Ross
1002049,112096,Harry,Cassady
-1,-1,Art,Queisser
1010651,120887,Frank,Ragland
1009000,119197,Dale,Mitchell
1009336,119534,Masanori,Murakami
1014265,124587,Chuck,Wortman
1008493,118676,Howie,McFarland
1010979,121224,Allen,Ripley
1006131,116258,Rex,Hudler
8066,448276,Brett,Carroll
1007572,117727,Dennis,Lewallyn
1004036,114115,Bien,Figueroa
-1,-1,Reid,Zellars
1009999,120230,Clay,Parker
2368,430944,Bucky,Jacobsen
1005371,115485,Bob,Harmon
-1,817226,,Smith
-1,650888,Kara,Blackstone
1002840,112900,Henry,Cruz
5450,537953,Daniel,Nava
1012822,123086,Jesse,Tannehill
1252,115114,Rusty,Greer
956,114844,Doug,Glanville
1008944,119136,John,Milligan
10029,572119,Patrick,Schuster
-1,-1,Jim,Pacheco
1006908,117057,Ed,Killian
1694,276913,Derrick,Turnbow
9959,572910,Alex,Hassan
1002173,112227,Harry,Cheek
1008607,118791,Barney,McLaughlin
15492,624427,Stephen,Gonsalves
1002459,112497,Orlin,Collier
1001970,112014,Chet,Carmichael
1209,115132,Ben,Grieve
24586,680694,Kyle,Bradish
-1,818244,Fred,McDaniel
1004861,114954,Art,Goodwin
1013550,123862,Jeff,Wallace
1003251,113315,Jim,Devlin
-1,427537,Hunter,Wendelstedt
1010181,120409,George,Perez
1001504,111538,Clint,Brown
1014138,124457,George,Winn
1009453,119655,Jerry,Narron
1005032,115127,Reddy,Grey
1013577,123883,Joe,Walsh
-1,820606,Fred,Bankhead
1002191,112244,Pearce,Chiles
21707,665828,Oswaldo,Cabrera
